|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 255 255 255 
|0   0   192| 255 255 255 
|0   0   0  | 255 255 255 
|0   54  0  | 255 255 255 
|40  0   0  | 255 255 255 
|0   0   0  | 0   0   0   
|0   0   128| 255 255 255 
|0   128 0  | 255 255 255 
|1   0   0  | 255 255 255 
|0   24  0  | 0   0   0   
|0   0   0  | 255 255 255 
|192 0   0  | 255 255 255 
|19  0   0  | 255 255 255 
|0   0   11 | 255 255 255 
|0   11  19 | 255 255 255 
|0   0   0  | 255 255 255 
|0   0   0  | 255 255 255 
|0   0   0  | 255 255 255 
|127 128 126| 255 255 255 
|127 131 131| 255 255 255 
|147 147 144| 0   0   0   
|171 163 158| 0   0   0   
|194 190 187| 255 255 255 
|215 212 211| 255 255 255 
|164 162 165| 255 255 255 
|121 118 117| 255 255 255 
|143 139 138| 255 255 255 
|189 183 180| 255 255 255 
|214 207 201| 255 255 255 
|227 223 212| 0   0   0   
|223 217 214| 0   0   0   
|166 165 169| 255 255 255 
|127 130 138| 255 255 255 
|121 132 133| 255 255 255 
|116 126 128| 255 255 255 
|129 136 139| 255 255 255 
|195 196 201| 255 255 255 
|214 210 214| 255 255 255 
|217 213 216| 0   0   0   
|214 212 216| 0   0   0   
|212 211 211| 255 255 255 
|197 199 200| 255 255 255 
|184 186 184| 255 255 255 
|148 152 148| 255 255 255 
|118 125 117| 255 255 255 
|140 144 141| 255 255 255 
|123 126 124| 255 255 255 
|128 130 126| 255 255 255 
|149 151 151| 255 255 255 
|152 155 159| 255 255 255 
|139 144 150| 255 255 255 
|131 139 145| 255 255 255 
|129 139 140| 255 255 255 
|134 139 142| 255 255 255 
|164 167 171| 255 255 255 
|156 159 164| 255 255 255 
|149 150 153| 255 255 255 
|174 173 170| 255 255 255 
|208 207 201| 255 255 255 
|192 190 191| 255 255 255 
|156 154 163| 0   0   0   
|138 134 144| 255 255 255 
|164 162 165| 255 255 255 
|186 181 176| 255 255 255 
|160 153 139| 255 255 255 
|158 152 135| 0   0   0   
|153 150 134| 255 255 255 
|147 143 128| 255 255 255 
|149 140 127| 255 255 255 
|151 144 130| 255 255 255 
|150 145 129| 255 255 255 
|152 146 132| 255 255 255 
|150 141 131| 255 255 255 
|148 139 129| 255 255 255 
|149 140 131| 255 255 255 
|148 139 130| 255 255 255 
|142 133 124| 255 255 255 
|128 119 110| 255 255 255 
|123 114 106| 255 255 255 
|120 110 98 | 255 255 255 
|122 109 95 | 255 255 255 
|116 107 91 | 255 255 255 
|111 103 91 | 255 255 255 
|109 102 86 | 255 255 255 
|110 101 82 | 255 255 255 
|112 102 80 | 255 255 255 
