|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 0   7   7   
|0   0   192| 0   8   0   
|0   0   0  | 0   1   0   
|0   54  0  | 11  1   0   
|40  0   0  | 12  0   0   
|0   0   0  | 12  0   1   
|0   0   128| 1   0   2   
|0   128 0  | 0   0   2   
|1   0   0  | 0   0   1   
|0   24  0  | 0   0   0   
|0   0   0  | 2   2   2   
|192 0   0  | 3   4   4   
|19  0   0  | 5   6   5   
|0   0   11 | 6   6   6   
|0   11  19 | 8   7   6   
|0   0   0  | 9   8   7   
|0   0   0  | 8   8   7   
|0   0   0  | 7   7   7   
|127 128 126| 6   6   6   
|127 131 131| 7   6   5   
|147 147 144| 8   7   6   
|171 163 158| 10  9   7   
|194 190 187| 10  9   7   
|215 212 211| 9   8   7   
|164 162 165| 7   7   7   
|121 118 117| 5   6   7   
|143 139 138| 4   5   6   
|189 183 180| 4   6   6   
|214 207 201| 5   6   7   
|227 223 212| 7   7   8   
|223 217 214| 9   8   9   
|166 165 169| 9   8   9   
|127 130 138| 9   8   9   
|121 132 133| 8   8   9   
|116 126 128| 8   8   8   
|129 136 139| 7   8   7   
|195 196 201| 6   7   6   
|214 210 214| 5   6   5   
|217 213 216| 5   6   5   
|214 212 216| 5   6   5   
|212 211 211| 5   6   5   
|197 199 200| 6   6   6   
|184 186 184| 5   6   7   
|148 152 148| 5   6   7   
|118 125 117| 4   6   7   
|140 144 141| 4   6   7   
|123 126 124| 5   6   7   
|128 130 126| 6   6   7   
|149 151 151| 6   6   7   
|152 155 159| 6   6   7   
|139 144 150| 7   7   7   
|131 139 145| 8   8   7   
|129 139 140| 8   7   8   
|134 139 142| 7   6   7   
|164 167 171| 6   5   7   
|156 159 164| 7   6   7   
|149 150 153| 8   7   5   
|174 173 170| 8   7   4   
|208 207 201| 8   7   3   
|192 190 191| 7   7   3   
|156 154 163| 7   7   3   
|138 134 144| 8   7   3   
|164 162 165| 8   7   3   
|186 181 176| 8   7   3   
|160 153 139| 8   7   3   
|158 152 135| 8   6   3   
|153 150 134| 8   6   3   
|147 143 128| 8   6   3   
|149 140 127| 7   6   3   
|151 144 130| 7   6   3   
|150 145 129| 7   5   3   
|152 146 132| 7   5   2   
|150 141 131| 7   5   2   
|148 139 129| 7   5   1   
|149 140 131| 6   5   1   
|148 139 130| 6   5   1   
|142 133 124| 6   5   1   
|128 119 110| 6   5   0   
|123 114 106| 6   5   0   
|120 110 98 | 6   5   0   
|122 109 95 | 6   5   0   
|116 107 91 | 6   5   0   
|111 103 91 | 6   5   0   
|109 102 86 | 7   5   0   
|110 101 82 | 7   5   0   
|112 102 80 | 6   5   0   
