|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 20  0   0   
|0   0   192| 0   0   64  
|0   0   0  | 0   64  64  
|0   54  0  | 1   64  0   
|40  0   0  | 1   12  0   
|0   0   0  | 0   12  0   
|0   0   128| 96  0   0   
|0   128 0  | 106 0   0   
|1   0   0  | 10  0   6   
|0   24  0  | 0   1   14  
|0   0   0  | 0   1   8   
|192 0   0  | 0   0   0   
|19  0   0  | 0   0   0   
|0   0   11 | 16  17  15  
|0   11  19 | 30  34  32  
|0   0   0  | 33  36  34  
|0   0   0  | 44  40  33  
|0   0   0  | 51  45  37  
|127 128 126| 54  50  46  
|127 131 131| 49  45  46  
|147 147 144| 37  34  35  
|171 163 158| 36  32  30  
|194 190 187| 46  40  36  
|215 212 211| 56  50  41  
|164 162 165| 61  57  42  
|121 118 117| 62  57  45  
|143 139 138| 52  47  46  
|189 183 180| 35  35  43  
|214 207 201| 25  33  41  
|227 223 212| 22  35  39  
|223 217 214| 24  34  39  
|166 165 169| 36  40  47  
|127 130 138| 51  48  54  
|121 132 133| 56  50  54  
|116 126 128| 55  50  55  
|129 136 139| 54  51  54  
|195 196 201| 51  51  52  
|214 210 214| 47  49  49  
|217 213 216| 41  45  41  
|214 212 216| 31  40  31  
|212 211 211| 29  38  31  
|197 199 200| 31  36  34  
|184 186 184| 31  35  31  
|148 152 148| 34  37  34  
|118 125 117| 35  38  41  
|140 144 141| 32  36  44  
|123 126 124| 28  34  44  
|128 130 126| 25  35  42  
|149 151 151| 27  35  40  
|152 155 159| 34  37  44  
|139 144 150| 37  39  47  
|131 139 145| 36  37  44  
|129 139 140| 41  40  41  
|134 139 142| 50  49  43  
|164 167 171| 52  50  47  
|156 159 164| 44  40  47  
|149 150 153| 37  31  44  
|174 173 170| 39  33  42  
|208 207 201| 47  42  40  
|192 190 191| 50  45  29  
|156 154 163| 48  45  19  
|138 134 144| 46  45  19  
|164 162 165| 44  43  19  
|186 181 176| 46  41  18  
|160 153 139| 47  41  18  
|158 152 135| 46  43  18  
|153 150 134| 46  43  19  
|147 143 128| 46  40  20  
|149 140 127| 46  38  20  
|151 144 130| 46  38  21  
|150 145 129| 46  38  22  
|152 146 132| 45  37  21  
|150 141 131| 43  34  18  
|148 139 129| 41  31  16  
|149 140 131| 40  31  13  
|148 139 130| 42  32  8   
|142 133 124| 42  32  6   
|128 119 110| 38  31  8   
|123 114 106| 36  31  8   
|120 110 98 | 38  32  4   
|122 109 95 | 41  33  1   
|116 107 91 | 40  33  1   
|111 103 91 | 37  32  3   
|109 102 86 | 37  32  3   
|110 101 82 | 39  33  1   
|112 102 80 | 41  32  0   
