|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|100 98  108| 0   128 128 
|62  60  66 | 0   128 128 
|82  80  83 | 0   128 128 
|161 160 161| 0   128 128 
|109 117 123| 0   128 128 
|198 199 197| 0   128 128 
|186 186 179| 0   128 128 
|147 155 159| 0   128 128 
|117 128 137| 0   128 128 
|122 133 133| 0   128 128 
|146 157 162| 0   128 128 
|137 144 151| 0   128 128 
|130 138 140| 0   128 128 
|139 144 151| 0   128 128 
|137 147 153| 0   128 128 
|142 156 165| 0   128 128 
|134 142 154| 0   128 128 
|167 166 167| 0   128 128 
|177 170 166| 0   128 128 
|165 161 166| 0   128 128 
|141 146 156| 1   128 128 
|141 151 158| 2   128 128 
|122 135 136| 3   128 128 
|126 138 142| 3   128 128 
|106 116 119| 3   128 128 
|108 110 101| 4   128 128 
|144 138 126| 4   128 128 
|140 138 116| 4   128 128 
|138 136 123| 4   128 128 
|142 132 125| 4   128 128 
|145 136 123| 4   128 128 
|148 137 122| 4   128 128 
|135 115 98 | 4   128 128 
|103 71  57 | 4   128 128 
|92  56  36 | 3   128 128 
|95  50  40 | 3   128 128 
|101 55  31 | 3   128 128 
|100 55  24 | 3   128 128 
|95  51  26 | 3   128 128 
|92  47  27 | 4   128 128 
|93  46  23 | 4   128 128 
|91  46  20 | 4   128 128 
|95  52  26 | 4   128 128 
|98  56  36 | 4   128 129 
|87  51  33 | 3   128 128 
|61  30  23 | 3   128 128 
|79  58  47 | 3   128 128 
|56  52  49 | 3   128 128 
|78  77  69 | 3   128 128 
|69  64  64 | 3   128 128 
|140 131 120| 3   128 128 
|147 138 130| 3   128 128 
|111 108 95 | 3   128 128 
|98  95  90 | 3   128 128 
|118 119 119| 0   128 128 
|111 114 109| 1   128 129 
|113 114 108| 2   128 129 
|89  88  96 | 2   127 129 
|62  63  74 | 2   128 129 
|42  47  50 | 1   128 128 
|39  40  46 | 0   128 128 
|74  70  83 | 0   128 128 
|134 131 145| 0   128 128 
|151 153 162| 0   128 128 
|160 159 168| 0   128 128 
|81  78  93 | 0   128 128 
|65  63  70 | 0   128 128 
|135 133 132| 0   128 128 
|153 154 165| 0   128 128 
|130 130 129| 4   128 128 
|149 145 139| 4   128 128 
|105 110 114| 4   128 128 
|100 110 116| 4   128 128 
|110 116 118| 4   128 128 
|134 142 146| 5   127 127 
|134 142 149| 5   127 127 
|126 131 138| 4   128 128 
|134 140 143| 3   127 129 
|150 158 162| 3   127 131 
|126 140 147| 3   128 131 
|130 141 150| 3   129 130 
|138 139 139| 2   130 129 
|175 164 157| 3   129 128 
|209 202 201| 4   129 128 
|158 164 170| 7   128 128 
|119 130 139| 10  128 128 
|132 143 150| 13  128 128 
|126 135 140| 14  128 128 
|95  101 99 | 15  128 128 
|117 114 101| 16  128 128 
|140 129 117| 16  128 128 
|135 133 116| 16  128 128 
|142 137 124| 16  128 128 
|156 136 129| 16  128 128 
|142 118 103| 17  128 128 
|133 96  72 | 18  128 128 
|125 80  56 | 18  128 128 
|120 68  52 | 17  128 128 
|115 62  45 | 15  128 128 
|113 54  45 | 14  128 128 
|106 55  32 | 14  128 128 
|92  49  28 | 14  129 128 
|81  47  21 | 15  128 128 
|80  43  20 | 16  128 128 
|81  41  19 | 16  128 128 
|81  43  21 | 17  128 129 
|83  47  21 | 16  128 128 
|90  53  27 | 15  128 128 
|90  56  33 | 15  128 129 
|79  45  35 | 14  127 129 
|55  28  19 | 14  127 129 
|77  65  62 | 14  127 129 
|63  54  51 | 14  126 128 
|95  87  82 | 13  127 129 
|132 122 114| 12  127 129 
|115 108 101| 7   127 130 
|87  87  88 | 7   127 130 
|103 102 102| 7   127 130 
|144 145 143| 0   128 128 
|108 109 111| 2   128 128 
|72  72  73 | 4   127 129 
|56  53  63 | 6   126 129 
|54  51  66 | 4   127 129 
|99  99  106| 3   128 129 
|144 144 150| 1   128 128 
|156 152 161| 0   128 128 
|150 150 159| 0   128 128 
|143 147 151| 0   128 128 
|151 152 156| 0   128 128 
|128 127 135| 0   128 128 
|63  62  67 | 0   128 128 
|105 103 103| 0   128 128 
|162 159 168| 0   128 128 
|133 141 150| 16  127 127 
|163 161 164| 15  126 128 
|178 183 183| 14  128 128 
|166 173 173| 15  128 129 
|213 212 218| 16  128 128 
|121 128 130| 17  127 127 
|107 118 122| 16  127 127 
|97  108 115| 14  126 128 
|112 121 121| 12  126 131 
|131 138 137| 11  127 133 
|96  108 113| 10  128 133 
|129 141 144| 10  130 131 
|164 165 161| 10  131 129 
|192 180 172| 12  131 127 
|220 211 205| 15  130 127 
|143 147 151| 20  129 127 
|124 134 144| 27  129 127 
|130 139 148| 34  128 128 
|121 127 133| 37  128 128 
|117 112 109| 39  128 128 
|115 111 95 | 40  128 128 
|136 128 119| 41  128 128 
|147 139 124| 41  128 128 
|153 136 116| 40  128 128 
|138 102 83 | 39  130 126 
|139 93  71 | 42  129 127 
|142 89  58 | 44  129 127 
|133 77  51 | 44  129 128 
|121 63  46 | 42  128 128 
|114 59  42 | 39  128 128 
|105 57  34 | 37  128 128 
|105 57  32 | 37  129 126 
|101 53  39 | 37  129 127 
|93  50  30 | 38  130 126 
|86  47  28 | 40  129 127 
|79  41  24 | 41  128 128 
|79  41  25 | 41  128 128 
|80  44  24 | 40  128 129 
|83  47  20 | 37  127 129 
|85  52  24 | 37  126 129 
|92  54  39 | 37  125 131 
|73  38  27 | 37  125 131 
|90  62  59 | 37  124 130 
|64  39  42 | 36  124 130 
|140 125 110| 34  125 130 
|110 97  96 | 32  125 131 
|82  76  69 | 10  125 131 
|101 99  107| 10  125 131 
|142 141 147| 10  125 131 
|151 149 149| 0   128 128 
|93  96  101| 3   127 129 
|59  61  61 | 7   126 130 
|106 100 97 | 10  125 131 
|160 155 159| 7   126 130 
|145 147 151| 4   127 129 
|150 149 154| 3   128 128 
|148 146 149| 0   128 128 
|144 146 149| 0   128 128 
|50  54  61 | 0   128 128 
|133 134 141| 0   128 128 
|167 167 173| 0   128 128 
|79  76  85 | 0   128 128 
|89  89  93 | 0   128 128 
|150 153 154| 0   128 128 
|139 148 154| 37  126 128 
|126 134 142| 34  126 129 
|132 141 146| 33  127 129 
|161 168 169| 35  128 129 
|178 182 182| 36  127 127 
|208 209 206| 37  127 127 
|189 192 193| 35  126 127 
|127 137 144| 32  125 128 
|171 171 174| 27  125 131 
|221 215 214| 24  126 133 
|135 139 148| 22  128 134 
|163 168 173| 23  130 131 
|187 184 175| 25  132 128 
|201 192 181| 29  132 128 
|207 203 195| 34  131 127 
|133 140 140| 41  131 126 
|127 140 149| 50  130 126 
|127 137 142| 59  130 125 
|117 120 119| 63  130 125 
|121 116 106| 64  130 126 
|132 126 110| 66  129 127 
|157 144 130| 67  130 126 
|144 119 99 | 67  130 126 
|139 95  70 | 66  130 125 
|143 91  60 | 66  130 125 
|145 85  55 | 68  131 126 
|134 78  47 | 72  130 126 
|120 69  47 | 74  129 127 
|120 64  47 | 71  129 127 
|118 65  46 | 67  129 127 
|113 66  42 | 64  130 126 
|108 59  33 | 63  130 126 
|102 59  39 | 64  131 126 
|98  58  38 | 65  130 125 
|98  54  39 | 66  130 126 
|90  51  34 | 68  128 128 
|81  46  29 | 68  128 129 
|78  42  26 | 65  127 129 
|81  43  25 | 64  125 129 
|84  50  23 | 63  124 130 
|92  53  34 | 63  122 131 
|91  49  32 | 62  122 132 
|80  56  49 | 62  121 133 
|63  42  42 | 60  121 133 
|137 121 101| 56  123 132 
|142 133 128| 53  121 134 
|134 131 121| 12  124 133 
|154 151 153| 12  124 133 
|146 146 155| 12  124 133 
|139 141 149| 0   128 128 
|139 143 151| 4   127 130 
|55  55  61 | 8   125 131 
|88  79  76 | 12  124 133 
|146 143 138| 8   125 131 
|147 153 156| 5   127 129 
|70  71  74 | 5   128 129 
|114 112 112| 0   128 128 
|165 165 169| 0   128 128 
|89  88  102| 0   128 128 
|101 101 109| 0   128 128 
|142 139 144| 0   128 128 
|94  87  93 | 0   128 128 
|91  92  87 | 0   128 128 
|123 130 126| 0   128 128 
|157 156 150| 59  125 129 
|149 160 163| 56  125 129 
|131 143 156| 54  126 130 
|124 134 146| 54  127 129 
|139 146 148| 56  127 127 
|197 198 190| 56  126 127 
|158 161 160| 53  126 127 
|111 124 134| 48  126 127 
|126 130 135| 42  126 130 
|210 203 204| 38  127 133 
|160 157 165| 36  127 132 
|181 179 182| 38  130 131 
|195 188 181| 42  131 129 
|207 199 191| 48  132 127 
|179 177 169| 55  131 126 
|123 131 130| 65  131 125 
|127 140 145| 74  131 125 
|118 124 130| 83  130 124 
|127 127 118| 85  131 125 
|123 115 96 | 86  131 125 
|167 147 138| 87  130 125 
|144 109 84 | 89  130 125 
|154 99  74 | 89  131 125 
|153 92  66 | 88  132 124 
|144 86  56 | 88  132 124 
|141 80  50 | 90  132 124 
|125 71  45 | 94  131 125 
|119 71  48 | 96  131 126 
|121 71  50 | 95  130 127 
|116 69  46 | 92  129 127 
|108 63  39 | 89  130 127 
|109 62  33 | 87  131 125 
|98  61  37 | 86  131 125 
|92  57  33 | 87  131 124 
|92  48  32 | 87  131 126 
|88  48  31 | 88  128 128 
|83  46  28 | 87  128 128 
|78  46  28 | 86  125 129 
|76  42  25 | 84  124 130 
|78  45  25 | 84  122 132 
|90  49  31 | 84  120 133 
|99  55  34 | 84  119 134 
|62  44  31 | 81  119 134 
|50  33  31 | 78  119 134 
|146 129 117| 73  119 136 
|143 131 117| 68  118 138 
|106 100 81 | 12  123 134 
|164 162 161| 12  123 134 
|156 161 169| 12  123 134 
|135 140 149| 0   128 128 
|152 150 161| 4   127 130 
|73  74  81 | 8   125 132 
|71  75  73 | 11  125 134 
|110 110 106| 8   125 132 
|156 159 159| 6   126 130 
|107 107 110| 6   128 129 
|87  85  87 | 0   128 128 
|153 148 154| 0   128 128 
|108 103 115| 0   128 128 
|79  79  84 | 0   128 128 
|79  77  77 | 0   128 128 
|90  82  81 | 0   128 128 
|91  89  78 | 0   128 128 
|101 100 95 | 0   128 128 
|104 86  69 | 75  124 130 
|140 132 113| 71  126 130 
|158 155 147| 69  127 130 
|194 193 196| 68  127 129 
|208 208 214| 69  127 127 
|191 190 188| 68  128 126 
|196 198 193| 64  126 127 
|153 164 170| 58  127 127 
|123 133 141| 53  128 129 
|166 168 172| 50  128 130 
|144 144 151| 50  129 130 
|187 184 186| 52  130 129 
|203 197 190| 57  130 129 
|186 179 175| 65  130 127 
