|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|0   0   0  | 132 12  195 
|0   0   0  | 131 123 132 
|0   0   0  | 112 37  59  
|0   0   0  | 112 20  119 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 15  163 
|0   0   0  | 112 11  223 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 16  147 
|0   0   0  | 112 12  207 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 18  131 
|0   0   0  | 132 13  191 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 20  115 
|0   0   0  | 112 14  175 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 15  159 
|0   0   0  | 112 11  219 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 17  143 
|0   0   0  | 112 12  203 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 19  127 
|0   0   0  | 132 13  187 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 21  111 
|0   0   0  | 112 14  171 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 16  155 
|0   0   0  | 112 11  215 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 17  139 
|0   0   0  | 112 12  199 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 19  123 
|0   0   0  | 112 13  183 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 22  107 
|0   0   0  | 112 14  167 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 16  151 
|0   0   0  | 112 12  211 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 102 15  
|0   0   0  | 132 12  195 
|0   0   0  | 131 123 132 
|0   0   0  | 112 37  59  
|0   0   0  | 112 20  119 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 11  223 
|0   0   0  | 112 69  27  
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 112 12  207 
|0   0   0  | 112 122 11  
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 132 13  191 
