|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|54  77  66 | 110 0   0   
|0   0   192| 90  128 14  
|0   0   0  | 90  128 10  
|0   54  0  | 90  0   0   
|40  0   0  | 110 128 32  
|0   0   0  | 90  128 32  
|0   0   128| 110 128 0   
|0   128 0  | 90  128 6   
|1   0   0  | 90  0   0   
|0   24  0  | 90  128 48  
|0   0   0  | 90  128 5   
|192 0   0  | 90  128 3   
|19  0   0  | 95  128 4   
|0   0   11 | 90  0   0   
|0   11  19 | 90  0   0   
|0   0   0  | 110 0   0   
|0   0   0  | 132 15  16  
|0   0   0  | 133 23  16  
|127 128 126| 133 13  18  
|127 131 131| 114 46  20  
|147 147 144| 116 25  24  
|171 163 158| 104 14  26  
|194 190 187| 133 12  20  
|215 212 211| 112 16  15  
|164 162 165| 101 26  18  
|121 118 117| 112 30  23  
|143 139 138| 119 38  26  
|189 183 180| 129 41  26  
|214 207 201| 108 29  28  
|227 223 212| 112 12  21  
|223 217 214| 96  43  18  
|166 165 169| 123 58  16  
|127 130 138| 122 54  15  
|121 132 133| 115 45  16  
|116 126 128| 90  19  25  
|129 136 139| 119 14  26  
|195 196 201| 119 14  26  
|214 210 214| 119 14  26  
|217 213 216| 90  5   26  
|214 212 216| 132 10  25  
|212 211 211| 110 5   24  
|197 199 200| 110 18  20  
|184 186 184| 110 40  16  
|148 152 148| 139 20  18  
|118 125 117| 132 15  16  
|140 144 141| 124 21  16  
|123 126 124| 133 7   18  
|128 130 126| 107 29  20  
|149 151 151| 102 41  18  
|152 155 159| 109 52  18  
|139 144 150| 122 51  16  
|131 139 145| 107 32  18  
|129 139 140| 99  27  22  
|134 139 142| 99  28  20  
|164 167 171| 90  18  20  
|156 159 164| 119 17  22  
|149 150 153| 133 19  25  
|174 173 170| 112 10  24  
|208 207 201| 104 33  20  
|192 190 191| 115 43  18  
|156 154 163| 133 12  20  
|138 134 144| 115 34  22  
|164 162 165| 127 75  17  
|186 181 176| 130 80  16  
|160 153 139| 133 70  16  
|158 152 135| 130 76  16  
|153 150 134| 122 80  16  
|147 143 128| 127 78  16  
|149 140 127| 130 78  16  
|151 144 130| 126 72  16  
|150 145 129| 120 72  16  
|152 146 132| 120 72  16  
|150 141 131| 119 67  17  
|148 139 129| 119 67  17  
|149 140 131| 119 70  16  
|148 139 130| 116 79  14  
|142 133 124| 115 77  14  
|128 119 110| 122 96  12  
|123 114 106| 119 111 12  
|120 110 98 | 123 109 12  
|122 109 95 | 123 92  12  
|116 107 91 | 127 107 10  
|111 103 91 | 124 122 10  
|109 102 86 | 125 128 10  
|110 101 82 | 126 121 10  
|112 102 80 | 128 114 10  
