|106 97  79 | 126 121 10  
|107 100 82 | 127 128 10  
|108 99  80 | 121 128 10  
|108 99  76 | 123 128 10  
|109 95  75 | 122 128 10  
|112 99  80 | 123 121 10  
|107 96  78 | 123 128 10  
|106 96  79 | 121 128 11  
|104 91  68 | 119 128 11  
|106 92  67 | 117 128 11  
|107 92  72 | 117 122 12  
|113 97  80 | 117 116 12  
|112 96  82 | 115 94  12  
|115 101 87 | 107 85  10  
|109 98  88 | 122 79  9   
|83  73  69 | 153 60  12  
|80  75  68 | 142 34  13  
|105 103 94 | 133 26  9   
|106 107 101| 112 21  11  
|74  77  76 | 90  0   10  
|87  89  90 | 112 39  11  
|79  80  80 | 106 60  13  
|91  87  85 | 95  51  16  
|105 97  94 | 101 32  14  
|128 117 118| 115 47  16  
|112 107 109| 119 64  18  
|128 123 118| 120 76  16  
|159 151 141| 116 79  14  
|137 129 118| 112 56  18  
|129 119 110| 101 45  19  
|152 142 138| 90  43  18  
|154 144 142| 112 37  18  
|138 127 128| 108 45  16  
|148 142 139| 106 47  18  
|134 128 124| 104 50  18  
|146 137 135| 101 41  21  
|152 142 140| 104 46  20  
|170 159 159| 116 51  20  
|166 156 153| 116 49  21  
|172 164 157| 90  0   0   
|177 169 162| 90  0   0   
|173 167 158| 90  0   0   
|175 167 163| 153 14  17  
|161 158 153| 132 18  13  
|138 138 135| 133 47  9   
|103 107 105| 133 14  8   
|75  81  80 | 101 43  10  
|71  71  69 | 139 35  10  
|83  78  77 | 119 49  10  
|80  78  75 | 119 49  10  
|76  81  74 | 110 46  12  
|76  83  76 | 124 32  10  
|83  89  82 | 90  8   16  
|82  85  81 | 97  33  20  
|129 130 128| 94  52  22  
|151 154 159| 102 78  16  
|153 157 169| 133 128 6   
|111 120 131| 104 59  10  
|36  47  52 | 112 49  17  
|73  82  75 | 110 61  18  
|129 137 141| 132 47  18  
|128 138 144| 132 13  18  
|135 142 146| 133 19  18  
|145 147 144| 112 45  19  
|148 153 152| 119 58  16  
|147 154 157| 116 38  14  
|120 129 132| 90  8   16  
|112 117 120| 119 20  18  
|128 128 130| 133 26  18  
|142 140 137| 124 27  22  
|152 150 145| 90  17  28  
|180 177 173| 116 23  26  
|225 219 220| 99  30  18  
|204 200 207| 122 54  15  
|140 143 148| 121 50  14  
|116 126 128| 90  26  18  
|113 122 122| 116 29  20  
|135 137 142| 90  23  20  
|155 152 159| 104 17  22  
|150 151 157| 119 14  26  
|171 171 175| 101 18  27  
|213 210 215| 112 19  25  
|214 209 209| 132 10  24  
|201 197 195| 90  6   20  
|195 193 191| 116 38  14  
|153 155 153| 135 47  16  
|112 118 119| 153 38  14  
|120 127 129| 139 23  16  
|118 126 125| 133 27  17  
|123 128 126| 104 35  19  
|137 143 143| 101 45  19  
|144 149 153| 104 48  20  
|140 144 152| 134 52  18  
|143 149 156| 133 27  17  
|133 142 145| 112 23  20  
|137 143 143| 99  29  20  
|155 159 162| 110 0   19  
|148 148 154| 126 31  22  
|150 150 151| 133 44  24  
|185 185 177| 126 30  23  
|210 208 195| 133 24  19  
|193 189 183| 132 28  16  
|158 152 158| 112 15  16  
|129 127 133| 126 38  17  
|127 129 128| 122 70  16  
|143 141 134| 123 76  16  
|143 137 126| 122 70  16  
|143 136 123| 125 64  16  
|143 137 125| 122 67  17  
|149 144 132| 145 85  16  
|152 144 133| 130 83  16  
|151 143 128| 127 78  16  
|147 145 126| 121 78  16  
|151 144 129| 116 80  16  
|147 138 126| 116 72  16  
|146 135 125| 115 81  15  
|142 132 123| 115 81  15  
|132 121 113| 113 79  14  
|130 119 110| 119 77  14  
|129 118 110| 118 99  14  
|124 116 106| 119 105 13  
|126 115 102| 123 104 12  
|122 110 96 | 127 94  12  
|122 112 97 | 127 101 12  
|118 111 96 | 126 116 12  
|115 109 92 | 129 128 10  
|120 112 92 | 129 128 10  
|118 110 87 | 124 128 12  
|121 112 89 | 121 128 12  
|121 109 85 | 118 128 14  
|124 108 83 | 116 128 14  
|132 111 86 | 115 128 14  
|134 111 88 | 119 128 12  
|131 109 88 | 124 116 12  
|128 111 90 | 127 128 12  
|125 114 94 | 126 128 12  
|127 116 90 | 120 128 12  
|124 112 86 | 118 128 12  
|117 102 81 | 114 128 12  
|114 98  80 | 117 128 11  
|111 93  77 | 117 108 11  
|107 91  74 | 115 102 9   
|107 95  84 | 121 108 8   
|84  75  67 | 123 72  12  
|73  67  58 | 124 46  12  
|105 100 92 | 133 26  9   
|101 99  94 | 90  39  11  
|75  72  75 | 104 32  10  
|80  80  85 | 119 32  10  
|83  82  85 | 133 69  10  
|88  85  84 | 121 50  14  
|88  86  77 | 90  43  15  
|123 118 112| 114 58  16  
|117 108 110| 121 78  16  
|133 125 119| 127 83  16  
|144 136 124| 116 69  18  
|146 140 124| 109 50  18  
|153 144 134| 90  38  14  
|153 145 141| 101 37  12  
|112 105 106| 107 38  14  
|97  90  93 | 104 23  16  
|120 115 113| 101 30  15  
|127 123 123| 107 38  14  
|120 114 114| 107 29  20  
|119 113 112| 108 37  20  
|160 155 153| 121 39  20  
|167 161 158| 126 38  17  
|165 160 155| 90  0   0   
|146 143 136| 90  0   0   
|144 141 131| 90  0   0   
|138 134 127| 153 23  10  
|113 110 106| 132 26  9   
|83  82  80 | 153 38  8   
|72  75  73 | 110 32  10  
|68  73  72 | 132 23  10  
|76  80  76 | 139 35  10  
|80  80  78 | 121 43  10  
|78  79  74 | 110 43  10  
|76  80  74 | 132 59  10  
|76  81  75 | 115 69  10  
|83  86  77 | 124 43  12  
|79  81  71 | 90  6   20  
|108 105 100| 96  37  20  
|155 155 156| 102 56  20  
|152 152 162| 136 107 7   
|142 148 158| 101 51  8   
|52  62  66 | 110 67  18  
|59  65  60 | 108 87  18  
|138 149 157| 110 67  18  
|131 146 157| 128 47  18  
|139 150 157| 120 56  18  
|144 154 154| 113 61  18  
|142 153 155| 121 70  14  
|131 142 146| 116 61  16  
|112 125 128| 124 20  18  
|123 133 136| 110 8   16  
|135 138 139| 110 8   16  
|132 133 132| 112 13  18  
|130 131 129| 119 17  20  
|142 144 143| 107 27  22  
|167 165 169| 102 41  18  
|170 169 176| 114 58  16  
|138 142 149| 120 64  15  
|115 124 128| 101 28  16  
|116 127 129| 108 41  18  
|125 127 131| 101 64  18  
|146 143 153| 102 43  18  
|128 135 145| 90  15  24  
|132 137 143| 112 9   26  
|182 183 186| 90  14  26  
|210 208 207| 112 10  24  
|202 198 198| 104 18  20  
|192 189 191| 101 28  16  
|156 155 159| 135 45  16  
|122 125 129| 153 37  18  
|126 133 136| 133 28  16  
|146 155 154| 107 34  16  
|129 136 135| 97  37  18  
|127 132 135| 101 47  18  
|134 138 144| 101 43  20  
|134 138 146| 112 43  20  
|150 154 161| 121 43  18  
|155 162 166| 117 47  18  
|137 145 147| 90  28  20  
|141 149 151| 90  0   20  
|154 155 162| 128 39  22  
|159 159 159| 129 50  22  
|190 187 178| 127 36  22  
|201 197 184| 112 26  18  
|182 179 171| 124 23  16  
|144 139 142| 104 24  14  
|121 121 125| 133 36  16  
|113 117 114| 124 64  15  
|134 133 127| 123 72  16  
|135 130 120| 121 64  16  
|148 141 129| 123 72  16  
|148 141 131| 123 72  16  
|150 142 131| 144 78  16  
|151 143 132| 127 83  16  
|149 141 128| 133 79  14  
|143 142 122| 124 81  15  
|141 137 121| 118 78  16  
|140 132 119| 110 83  16  
|141 131 121| 112 81  15  
|134 120 113| 112 81  15  
|129 117 109| 115 81  15  
|131 118 110| 123 83  14  
|132 120 112| 123 99  14  
|127 120 108| 120 99  14  
|130 121 106| 119 100 14  
|128 116 102| 123 99  14  
|132 119 106| 123 105 13  
|131 121 106| 124 116 12  
|127 118 100| 127 128 10  
|122 112 92 | 120 128 12  
|108 98  73 | 116 128 12  
|110 95  70 | 112 128 12  
|102 84  60 | 109 128 14  
|101 77  51 | 108 128 14  
|101 71  45 | 109 128 14  
|111 78  53 | 112 128 12  
|106 77  52 | 113 128 12  
|102 78  55 | 121 128 11  
|103 82  60 | 122 128 12  
|102 87  61 | 119 128 12  
|114 99  74 | 119 128 12  
|125 109 86 | 118 128 12  
|124 108 89 | 121 128 10  
|118 101 84 | 118 109 12  
|107 94  76 | 120 104 10  
|109 98  84 | 119 118 7   
|89  81  70 | 117 88  10  
|69  61  51 | 101 64  12  
|96  87  79 | 104 32  10  
|98  88  87 | 112 21  11  
|83  78  80 | 110 12  10  
|87  85  88 | 110 12  10  
|82  81  83 | 112 59  10  
|81  82  81 | 133 38  14  
|81  84  75 | 90  35  19  
|123 122 115| 115 67  17  
|150 140 141| 124 87  14  
|149 139 131| 127 81  15  
|137 129 114| 122 67  17  
|141 134 119| 101 51  16  
|152 144 134| 112 39  11  
|128 119 117| 119 27  12  
|91  86  89 | 133 10  12  
|104 99  103| 133 10  12  
|99  98  99 | 90  10  12  
|100 99  100| 90  10  12  
|98  96  96 | 112 16  15  
|99  98  98 | 112 13  18  
|120 118 117| 153 23  16  
|147 145 143| 116 40  14  
|130 129 126| 90  0   0   
|112 113 107| 90  0   0   
|130 131 121| 90  0   0   
|103 104 96 | 132 26  9   
|82  82  77 | 153 26  9   
|73  72  71 | 153 35  10  
|71  74  74 | 153 47  9   
|77  83  82 | 153 26  9   
|71  77  76 | 132 26  9   
|72  76  75 | 153 28  8   
|72  74  73 | 110 26  9   
|66  69  68 | 146 64  9   
|69  71  68 | 127 69  10  
|80  80  71 | 121 64  10  
|86  85  76 | 116 30  18  
|91  86  80 | 122 24  19  
|152 149 146| 90  32  21  
|153 150 155| 124 48  13  
|158 159 167| 112 64  6   
|98  102 107| 110 69  20  
|47  53  49 | 107 67  18  
|149 162 170| 107 56  18  
|134 144 153| 116 56  18  
|135 142 149| 120 56  18  
|140 150 154| 120 72  16  
|139 151 154| 119 58  16  
|127 141 144| 122 49  17  
|118 128 130| 122 26  18  
|135 144 145| 90  26  18  
|144 148 149| 142 26  18  
|136 138 143| 133 30  18  
|141 146 147| 114 50  18  
|149 157 156| 104 50  18  
|142 150 154| 102 59  18  
|136 143 149| 104 67  17  
|131 138 147| 110 64  16  
|121 130 138| 112 49  17  
|122 130 137| 116 30  18  
|127 134 138| 112 64  18  
|145 151 153| 113 61  18  
|136 146 153| 114 50  18  
|131 141 146| 121 37  20  
|142 151 155| 126 32  21  
|161 169 170| 122 22  21  
|167 174 174| 104 18  20  
|166 170 171| 104 19  18  
|155 157 159| 90  13  18  
|144 144 147| 90  6   22  
|143 141 141| 90  12  21  
|171 169 170| 90  32  21  
|165 165 168| 96  41  18  
|155 156 164| 101 49  17  
|135 138 145| 107 30  18  
|125 130 137| 112 43  20  
|140 144 148| 120 58  17  
|153 161 164| 113 64  16  
|131 143 146| 90  24  19  
|123 133 138| 90  17  20  
|144 146 151| 108 33  24  
|163 159 160| 117 43  20  
|191 185 181| 133 8   16  
|169 164 158| 104 40  16  
|125 125 124| 90  28  16  
|120 124 129| 122 30  15  
|119 121 126| 133 40  16  
|124 122 119| 133 79  14  
|139 138 130| 130 81  15  
|141 138 121| 122 80  16  
|147 142 125| 113 77  18  
|150 141 128| 116 72  16  
|152 140 131| 116 72  16  
|148 138 129| 126 73  15  
|145 136 127| 126 79  14  
|139 133 120| 122 87  14  
|137 130 117| 116 76  16  
|137 128 115| 115 73  15  
|135 125 116| 113 76  16  
|131 121 113| 115 95  14  
|136 125 117| 122 106 14  
|133 120 109| 124 106 14  
|134 123 106| 122 101 14  
|136 126 107| 115 97  16  
|141 129 113| 114 107 14  
|141 127 114| 116 128 12  
|132 115 103| 113 128 11  
|116 98  81 | 110 128 10  
|98  78  59 | 107 128 10  
|85  65  46 | 102 128 10  
|74  52  35 | 104 128 11  
|68  41  24 | 104 128 12  
|69  41  21 | 105 128 13  
|82  50  26 | 105 128 14  
|83  50  23 | 104 128 14  
|93  58  29 | 103 128 14  
|89  53  25 | 101 128 14  
|85  50  25 | 104 128 12  
|85  49  26 | 106 128 11  
|77  48  24 | 108 128 10  
|71  45  22 | 111 128 12  
|73  50  27 | 113 122 12  
|96  74  56 | 114 107 14  
|116 97  84 | 122 108 11  
|128 112 100| 133 119 8   
|110 101 86 | 129 128 6   
|91  88  69 | 110 101 8   
|65  60  45 | 102 69  10  
|77  67  62 | 121 37  12  
|77  67  71 | 146 55  11  
|96  91  90 | 104 32  10  
|96  95  88 | 132 21  11  
|80  82  78 | 104 26  14  
|87  88  89 | 133 40  14  
|104 108 105| 115 64  18  
|116 115 108| 124 83  16  
|155 145 137| 125 91  16  
|146 138 123| 122 80  16  
|148 140 123| 112 61  16  
|152 143 130| 96  56  12  
|137 127 123| 122 37  12  
|100 90  93 | 133 20  12  
|99  94  98 | 127 46  12  
|99  97  100| 153 27  12  
|88  91  95 | 110 23  16  
|100 104 104| 136 43  12  
|118 122 117| 124 26  14  
|102 104 97 | 153 8   16  
|107 111 107| 153 9   14  
|133 135 134| 116 38  14  
|116 118 118| 90  0   0   
|111 118 114| 90  0   0   
|104 111 102| 90  0   0   
|76  80  73 | 90  13  10  
|71  74  69 | 90  23  10  
|74  74  75 | 90  35  10  
|76  77  80 | 132 26  9   
|70  71  75 | 133 14  8   
|68  70  72 | 104 43  8   
|68  69  70 | 112 64  6   
|56  56  60 | 132 32  7   
|46  45  50 | 119 38  8   
|54  55  56 | 133 47  9   
|72  73  69 | 124 53  10  
|81  80  74 | 112 30  15  
|82  79  74 | 112 24  19  
|124 121 119| 112 12  20  
|154 149 152| 119 40  16  
|161 160 162| 116 128 5   
|126 132 134| 108 67  17  
|34  44  47 | 108 61  19  
|125 135 143| 104 41  24  
|139 148 156| 122 45  19  
|175 181 188| 124 56  18  
|151 160 162| 116 61  16  
|142 154 155| 119 61  14  
|125 135 139| 126 43  15  
|114 124 126| 116 32  18  
|119 127 128| 104 33  20  
|135 140 142| 117 45  19  
|155 159 164| 123 48  20  
|147 156 158| 123 46  20  
|156 167 168| 115 67  17  
|161 172 173| 108 64  18  
|129 140 145| 104 61  19  
|131 141 149| 106 56  20  
|137 146 154| 116 56  18  
|143 151 159| 119 52  18  
|138 148 151| 110 59  18  
|136 146 149| 113 61  18  
|136 146 152| 113 61  18  
|132 143 148| 120 58  17  
|131 142 146| 114 55  16  
|133 144 146| 107 28  20  
|128 137 141| 90  13  19  
|157 162 164| 90  7   18  
|150 150 153| 112 23  20  
|146 145 145| 112 12  20  
|163 159 158| 90  17  20  
|160 156 158| 104 33  20  
|157 157 161| 96  41  18  
|156 154 163| 104 52  18  
|136 137 146| 112 45  19  
|129 135 142| 119 35  19  
|143 150 154| 123 50  18  
|148 155 157| 113 72  16  
|144 155 156| 104 38  17  
|124 136 141| 90  7   18  
|130 134 138| 112 23  20  
|148 146 147| 132 27  17  
|161 157 155| 112 21  11  
|140 136 133| 107 36  16  
|88  90  87 | 90  8   16  
|117 121 124| 119 40  16  
|124 124 125| 153 64  15  
|135 132 127| 127 81  15  
|141 138 125| 133 89  15  
|141 141 122| 118 87  16  
|152 147 127| 114 82  17  
|151 140 127| 118 78  16  
|148 135 126| 124 61  16  
|145 135 125| 129 64  15  
|143 137 127| 126 73  15  
|136 132 120| 126 79  14  
|137 132 120| 121 81  15  
|137 130 117| 116 76  16  
|136 127 116| 117 85  16  
|139 129 120| 119 97  16  
|142 130 119| 122 113 14  
|148 135 120| 126 123 12  
|145 132 112| 119 128 11  
|134 122 99 | 112 128 11  
|112 96  78 | 108 128 11  
|101 80  67 | 106 128 12  
|85  61  45 | 109 128 12  
|86  58  38 | 102 128 12  
|78  51  25 | 100 128 12  
|84  51  32 | 100 128 12  
|82  49  34 | 100 128 13  
|82  48  33 | 101 128 14  
|80  44  26 | 102 128 14  
|85  47  25 | 103 128 14  
|89  51  24 | 103 128 15  
|91  53  24 | 101 128 15  
|92  52  24 | 101 128 16  
|97  57  33 | 101 128 14  
|99  57  34 | 103 128 12  
|91  53  32 | 100 128 10  
|75  43  20 | 104 128 10  
|60  31  11 | 101 128 10  
|58  33  15 | 109 128 10  
|65  41  30 | 117 101 14  
|90  71  61 | 128 128 9   
|136 123 109| 126 128 6   
|102 95  75 | 101 93  7   
|69  63  48 | 101 57  7   
|60  50  49 | 119 51  12  
|57  50  53 | 127 64  10  
|100 96  92 | 133 35  10  
|94  92  84 | 90  21  11  
|81  80  76 | 133 9   14  
|85  82  83 | 117 49  17  
|110 110 108| 115 75  17  
|143 138 132| 130 83  16  
|149 138 128| 127 83  16  
|148 143 126| 123 76  16  
|148 142 125| 112 71  13  
|140 133 121| 97  48  13  
|113 103 99 | 142 37  12  
|100 91  94 | 110 10  12  
|99  95  101| 153 43  10  
|98  99  98 | 132 34  13  
|83  89  88 | 127 36  16  
|102 108 104| 139 48  13  
|121 125 117| 110 9   14  
|106 108 100| 139 21  16  
|115 117 115| 136 38  14  
|130 135 133| 112 43  10  
|114 120 117| 90  0   0   
|79  85  81 | 90  0   0   
|69  77  68 | 90  0   0   
|77  84  79 | 104 35  10  
|76  77  74 | 101 47  9   
|72  72  75 | 101 47  9   
|70  69  75 | 104 43  8   
|69  68  73 | 112 73  5   
|58  58  62 | 101 128 2   
|36  39  42 | 104 85  6   
|10  10  16 | 90  38  8   
|45  43  52 | 112 28  8   
|63  63  67 | 133 13  10  
|63  62  65 | 112 23  10  
|76  75  77 | 133 9   14  
|80  79  78 | 124 18  20  
|110 108 109| 133 6   20  
|156 152 154| 126 37  18  
|156 157 157| 106 117 6   
|147 155 155| 112 37  24  
|38  46  55 | 112 41  21  
|185 192 196| 116 27  22  
|161 168 172| 119 18  20  
|169 174 176| 114 50  18  
|155 158 159| 113 64  16  
|143 151 155| 116 64  15  
|125 136 140| 116 71  13  
|113 124 127| 117 54  15  
|99  110 113| 122 47  18  
|115 124 127| 119 50  18  
|139 149 150| 120 67  18  
|145 155 158| 116 56  18  
|142 157 160| 115 61  19  
|139 150 153| 113 56  20  
|147 159 163| 115 64  18  
|147 158 162| 113 61  18  
|138 150 154| 112 58  17  
|134 145 150| 112 56  18  
|131 140 145| 115 64  18  
|135 145 150| 116 69  18  
|136 148 152| 112 72  18  
|132 146 151| 112 72  18  
|131 144 152| 107 58  17  
|132 144 152| 90  17  20  
|123 131 138| 90  6   22  
|160 161 165| 112 23  20  
|179 178 178| 90  17  22  
|165 161 159| 133 20  18  
|171 166 166| 99  34  16  
|147 143 147| 95  49  17  
|124 124 130| 100 50  18  
|121 122 132| 107 51  20  
|134 139 148| 114 48  20  
|151 159 166| 117 49  17  
|149 159 162| 128 58  16  
|133 142 144| 117 64  16  
|125 137 137| 107 58  17  
|125 138 140| 107 32  18  
|125 132 139| 90  0   18  
|134 137 141| 153 26  14  
|143 144 144| 124 23  16  
|113 113 108| 104 19  18  
|122 124 119| 133 43  15  
|146 148 144| 129 73  15  
|132 130 123| 133 79  14  
|141 137 122| 133 89  15  
|141 138 120| 124 81  15  
|148 144 124| 118 78  16  
|141 134 120| 114 85  16  
|144 133 123| 121 81  15  
|144 130 121| 126 73  15  
|140 131 119| 153 61  14  
|138 133 120| 129 77  14  
|133 131 120| 130 85  14  
|132 130 115| 125 89  15  
|137 131 115| 117 94  16  
|146 138 122| 115 100 16  
|152 138 124| 117 128 12  
|151 134 120| 115 128 11  
|119 101 83 | 110 128 10  
|97  79  57 | 104 128 11  
|78  56  35 | 105 128 12  
|74  47  28 | 102 128 13  
|74  45  23 | 106 128 14  
|80  46  23 | 102 128 16  
|94  59  29 | 100 128 16  
|96  56  27 | 98  128 16  
|98  55  32 | 97  128 15  
|96  51  31 | 99  128 14  
|92  49  32 | 99  128 15  
|88  48  28 | 98  128 16  
|88  45  22 | 98  128 16  
|88  43  19 | 101 128 16  
|90  44  18 | 99  128 16  
|94  49  21 | 98  128 16  
|95  51  26 | 100 128 16  
|96  49  26 | 99  128 14  
|99  57  36 | 100 128 12  
|91  51  32 | 101 128 12  
|79  45  25 | 98  128 10  
|75  43  26 | 90  128 8   
|68  38  27 | 112 128 8   
|35  8   0  | 124 106 14  
|73  57  47 | 121 128 6   
|132 122 104| 104 110 4   
|60  53  44 | 112 70  8   
|34  27  26 | 112 59  10  
|68  63  59 | 107 49  10  
|82  77  74 | 102 64  10  
|86  81  80 | 117 73  10  
|85  78  76 | 116 38  14  
|89  84  78 | 109 52  18  
|121 117 113| 121 78  16  
|146 136 133| 130 96  12  
|144 135 123| 133 88  12  
|126 120 102| 128 72  12  
|123 120 103| 107 43  12  
|104 100 90 | 101 34  13  
|103 98  95 | 124 24  14  
|103 97  99 | 110 8   16  
|113 115 117| 132 34  13  
|121 122 121| 127 43  12  
|104 106 101| 132 51  12  
|98  102 94 | 101 34  13  
|98  101 93 | 104 21  16  
|99  102 96 | 132 32  14  
|128 131 133| 153 43  10  
|108 112 114| 112 47  9   
|80  86  86 | 90  0   0   
|69  75  72 | 90  0   0   
|68  75  72 | 90  0   0   
|72  77  77 | 99  58  8   
|65  66  71 | 102 90  6   
|62  62  69 | 102 128 4   
|46  45  54 | 90  128 2   
|23  22  31 | 102 75  8   
|11  11  19 | 90  50  14  
|56  60  66 | 106 45  19  
|103 105 114| 101 47  18  
|148 146 157| 104 70  8   
|134 132 143| 108 69  10  
|60  58  67 | 133 47  9   
|71  68  78 | 112 23  10  
|76  71  78 | 133 7   18  
|79  78  80 | 133 6   20  
|140 138 140| 112 43  20  
|157 157 158| 123 79  14  
|156 163 167| 153 13  28  
|99  108 118| 153 14  26  
|230 234 234| 132 10  25  
|205 209 209| 107 26  22  
|197 198 195| 126 35  19  
|178 181 175| 112 53  19  
|154 162 162| 105 78  16  
|145 153 159| 110 74  14  
|114 124 134| 122 57  14  
|99  108 115| 123 52  18  
|109 119 120| 128 52  18  
|139 151 151| 106 56  20  
|142 155 154| 110 59  18  
|143 152 160| 114 52  18  
|137 146 152| 122 49  17  
|136 145 149| 119 55  16  
|137 147 148| 112 49  17  
|127 138 140| 99  53  19  
|129 137 141| 104 64  18  
|137 143 152| 121 64  16  
|130 138 148| 116 77  18  
|128 141 144| 109 76  19  
|133 148 154| 105 72  18  
|137 149 159| 98  59  18  
|131 141 151| 90  23  20  
|132 137 148| 119 17  22  
|151 152 158| 122 41  21  
|174 172 170| 107 27  22  
|177 173 166| 112 23  20  
|176 170 169| 112 26  18  
|163 158 161| 101 47  18  
|143 141 146| 103 51  20  
|133 137 145| 104 57  21  
|146 152 161| 112 56  18  
|155 164 173| 119 55  16  
|139 148 153| 129 64  15  
|128 138 140| 121 67  16  
|121 136 135| 110 64  16  
|123 136 138| 130 64  16  
|122 132 138| 153 48  13  
|124 133 139| 97  55  11  
|106 114 113| 133 34  16  
|82  87  79 | 127 45  16  
|142 140 133| 126 73  15  
|143 140 132| 130 87  14  
|141 135 123| 153 85  14  
|141 137 118| 129 73  15  
|138 135 117| 129 73  15  
|139 138 121| 118 78  16  
|142 137 124| 115 70  16  
|144 133 124| 123 76  16  
|139 129 121| 123 76  16  
|141 133 121| 129 73  15  
|142 135 122| 125 91  16  
|142 137 123| 121 103 16  
|147 139 122| 114 113 14  
|151 138 120| 111 128 12  
|137 119 104| 106 128 12  
|115 92  78 | 103 128 12  
|96  69  55 | 104 128 12  
|84  54  37 | 98  128 13  
|82  51  30 | 98  128 14  
|84  47  34 | 100 128 15  
|91  51  36 | 101 128 16  
|96  55  34 | 102 128 16  
|98  55  29 | 103 128 17  
|100 55  23 | 99  128 16  
|103 58  26 | 99  128 16  
|100 53  27 | 97  128 16  
|97  51  27 | 98  128 16  
|93  47  28 | 98  128 16  
|94  50  30 | 98  128 16  
|95  47  24 | 98  128 16  
|93  47  23 | 99  128 16  
|92  45  20 | 101 128 16  
|93  47  21 | 99  128 16  
|96  52  25 | 100 128 16  
|95  51  26 | 99  128 15  
|97  53  31 | 101 128 14  
|97  55  36 | 99  128 12  
|90  53  35 | 96  128 11  
|75  42  28 | 92  128 10  
|73  41  32 | 93  128 7   
|57  27  21 | 119 117 12  
|37  15  9  | 113 108 8   
|126 111 95 | 112 64  6   
|69  60  54 | 133 64  10  
|49  46  43 | 116 64  8   
|96  94  85 | 104 35  10  
|66  61  59 | 108 69  10  
|74  70  72 | 123 92  12  
|82  75  72 | 110 64  16  
|111 103 92 | 103 58  17  
|141 131 126| 121 78  16  
|138 126 125| 149 77  14  
|146 138 126| 129 83  12  
|132 127 113| 133 68  11  
|110 109 95 | 116 46  12  
|102 100 90 | 153 18  13  
|96  92  89 | 153 9   14  
|108 107 105| 139 26  14  
|118 119 119| 139 51  12  
|107 111 110| 144 43  12  
|100 102 94 | 112 32  14  
|106 107 100| 90  9   14  
|112 114 109| 90  46  12  
|114 114 116| 96  64  10  
|84  85  91 | 104 64  9   
|72  72  82 | 122 47  9   
|66  69  75 | 90  0   0   
|69  74  75 | 90  0   0   
|60  65  67 | 90  0   0   
|55  58  62 | 102 112 4   
|40  40  48 | 107 116 6   
|28  27  36 | 112 80  11  
|45  41  55 | 101 49  17  
|87  83  97 | 100 48  20  
|128 127 138| 102 39  20  
|144 148 157| 97  33  20  
|150 149 158| 99  49  21  
|148 148 156| 103 71  13  
|157 156 169| 102 101 8   
|95  93  106| 107 49  10  
|58  56  71 | 119 38  8   
