|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|0   0   0  | 128 27  189 
|0   0   0  | 128 20  249 
|0   0   0  | 128 96  53  
|0   0   0  | 128 45  113 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 32  157 
|0   0   0  | 128 24  217 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 36  141 
|0   0   0  | 128 25  201 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 41  125 
|0   0   0  | 128 28  185 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 47  109 
|0   0   0  | 128 30  169 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 33  153 
|0   0   0  | 128 24  213 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 37  137 
|0   0   0  | 128 26  197 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 42  121 
|0   0   0  | 128 28  181 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 49  105 
|0   0   0  | 128 31  165 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 34  149 
|0   0   0  | 128 24  209 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 38  133 
|0   0   0  | 128 26  193 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 44  117 
|0   0   0  | 128 29  177 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 50  101 
|0   0   0  | 128 32  161 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 204 25  
|0   0   0  | 128 204 25  
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 204 25  
|0   0   0  | 128 27  189 
|0   0   0  | 128 20  249 
|0   0   0  | 128 96  53  
|0   0   0  | 128 45  113 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 24  217 
|0   0   0  | 128 243 21  
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 25  201 
|0   0   0  | 245 250 251 
|0   0   0  | 0   0   0   
|0   0   0  | 0   0   0   
|0   0   0  | 128 28  185 
