INDEX  ROW  COLUMN R   G   B
705    12   1      205 193 181
706    12   2      194 180 171
764    12   60     240 222 203
765    12   61     238 216 196
766    12   62     233 207 185
767    12   63     219 198 179
768    12   64     219 198 179
769    13   1      191 173 152
770    13   2      185 166 151
771    13   3      181 161 139
772    13   4      182 168 152
773    13   5      169 160 153
788    13   20     186 175 167
820    13   52     224 211 187
821    13   53     227 211 193
822    13   54     224 209 188
823    13   55     229 207 188
824    13   56     238 220 203
825    13   57     181 163 145
826    13   58     251 231 211
827    13   59     245 224 197
828    13   60     255 237 211
829    13   61     245 227 202
830    13   62     228 211 188
831    13   63     221 202 177
832    13   64     221 202 177
833    14   1      196 182 165
834    14   2      180 168 154
835    14   3      173 159 138
836    14   4      136 123 111
837    14   5      125 112 103
838    14   6      142 131 120
839    14   7      137 123 113
840    14   8      95  86  79
852    14   20     204 182 159
853    14   21     188 168 148
854    14   22     183 164 146
855    14   23     174 155 144
856    14   24     179 163 152
857    14   25     188 173 162
858    14   26     196 181 172
878    14   46     221 210 186
879    14   47     231 212 190
880    14   48     231 213 187
881    14   49     244 225 202
882    14   50     233 213 199
883    14   51     241 223 203
884    14   52     242 223 204
885    14   53     240 220 198
886    14   54     234 214 185
887    14   55     212 194 178
888    14   56     115 105 92
894    14   62     239 222 205
895    14   63     235 213 190
896    14   64     235 213 190
897    15   1      165 149 131
898    15   2      140 123 107
899    15   3      102 97  88
908    15   12     134 118 104
909    15   13     174 154 137
910    15   14     196 175 155
911    15   15     214 187 166
912    15   16     212 186 165
913    15   17     210 184 163
914    15   18     209 182 161
915    15   19     234 220 198
916    15   20     224 209 189
917    15   21     211 194 177
918    15   22     198 180 165
919    15   23     190 173 147
920    15   24     185 168 145
921    15   25     181 164 141
922    15   26     183 166 143
923    15   27     184 162 141
924    15   28     193 172 150
925    15   29     197 175 154
926    15   30     206 183 162
927    15   31     203 191 169
928    15   32     209 196 174
929    15   33     212 198 179
930    15   34     215 201 181
931    15   35     220 206 189
932    15   36     218 205 186
933    15   37     220 206 187
934    15   38     220 207 185
935    15   39     226 207 185
936    15   40     224 203 181
937    15   41     226 203 182
938    15   42     227 202 180
939    15   43     225 204 185
940    15   44     226 204 183
941    15   45     228 206 185
942    15   46     231 209 184
943    15   47     223 207 184
944    15   48     233 218 195
945    15   49     193 181 163
946    15   50     122 110 100
952    15   56     126 120 115
959    15   63     95  93  89
960    15   64     95  93  89
971    16   11     201 189 175
972    16   12     206 191 175
973    16   13     204 185 168
974    16   14     210 189 169
975    16   15     200 188 166
976    16   16     200 188 166
977    16   17     195 183 161
978    16   18     189 178 155
979    16   19     242 222 198
980    16   20     237 219 194
981    16   21     228 209 187
982    16   22     214 197 174
983    16   23     205 187 170
984    16   24     193 174 157
985    16   25     191 171 151
986    16   26     187 167 147
987    16   27     192 173 154
988    16   28     193 174 154
989    16   29     201 182 163
990    16   30     207 185 167
991    16   31     207 191 165
992    16   32     210 192 170
993    16   33     214 195 174
994    16   34     216 194 176
995    16   35     217 198 180
996    16   36     220 201 182
997    16   37     222 202 182
998    16   38     220 201 180
999    16   39     222 204 179
1000   16   40     220 201 179
1001   16   41     223 204 185
1002   16   42     225 206 187
1003   16   43     224 204 186
1004   16   44     226 206 187
1005   16   45     221 204 181
1006   16   46     223 207 184
1007   16   47     223 204 185
1008   16   48     169 154 135
1009   16   49     134 125 114
1030   17   6      162 151 139
1031   17   7      201 185 164
1032   17   8      217 198 182
1033   17   9      214 196 179
1034   17   10     202 186 169
1035   17   11     203 182 161
1036   17   12     205 185 165
1037   17   13     201 184 165
1038   17   14     199 182 163
1039   17   15     195 176 160
1040   17   16     191 172 156
1041   17   17     187 168 152
1042   17   18     184 165 149
1043   17   19     234 216 194
1044   17   20     232 214 192
1045   17   21     230 212 190
1046   17   22     221 204 182
1047   17   23     213 193 169
1048   17   24     203 183 160
1049   17   25     196 177 156
1050   17   26     191 171 151
