INDEX  ROW  COLUMN R   G   B
1532   24   60     169 145 122
1533   24   61     170 146 123
1534   24   62     173 147 119
1551   25   15     108 110 107
1552   25   16     135 131 132
1553   25   17     176 175 179
1555   25   19     183 179 180
1556   25   20     170 167 161
1557   25   21     164 161 159
1558   25   22     166 160 151
1559   25   23     167 156 141
1560   25   24     161 151 142
1561   25   25     161 145 129
1562   25   26     159 148 131
1563   25   27     166 147 128
1564   25   28     156 138 124
1565   25   29     154 132 114
1566   25   30     151 124 96
1567   25   31     143 122 102
1568   25   32     144 123 98
1569   25   33     147 120 94
1570   25   34     148 123 98
1571   25   35     146 121 98
1572   25   36     158 133 106
1573   25   37     167 138 121
1574   25   38     174 152 121
1575   25   39     172 152 118
1576   25   40     162 137 118
1577   25   41     154 127 106
1578   25   42     148 125 99
1579   25   43     142 117 95
1580   25   44     141 114 99
1581   25   45     137 118 94
1582   25   46     143 121 98
1583   25   47     146 124 104
1584   25   48     149 129 107
1585   25   49     152 134 111
1586   25   50     163 132 114
1587   25   51     163 134 117
1588   25   52     166 139 110
1589   25   53     165 139 114
1590   25   54     167 137 116
1591   25   55     165 144 114
1592   25   56     167 147 117
1593   25   57     166 145 117
1594   25   58     165 146 117
1595   25   59     169 141 118
1596   25   60     170 143 116
1597   25   61     169 140 114
1598   25   62     162 139 120
1616   26   16     138 132 134
1617   26   17     172 173 178
1618   26   18     176 175 174
1619   26   19     178 172 164
1620   26   20     163 153 147
1621   26   21     162 158 136
1622   26   22     163 146 133
1623   26   23     158 140 121
1624   26   24     162 137 117
1625   26   25     157 133 114
1626   26   26     154 132 112
1627   26   27     157 132 104
1628   26   28     154 132 106
1629   26   29     147 123 98
1630   26   30     146 126 102
1631   26   31     151 119 90
1632   26   32     140 123 102
1633   26   33     144 117 92
1634   26   34     141 116 93
1635   26   35     144 121 95
1636   26   36     151 125 106
1637   26   37     167 146 112
1638   26   38     173 151 124
1639   26   39     176 154 127
1640   26   40     173 150 120
1641   26   41     160 145 117
1642   26   42     156 127 108
1643   26   43     147 134 102
1644   26   44     146 117 95
1645   26   45     137 120 100
1646   26   46     136 117 99
1647   26   47     145 128 93
1648   26   48     150 121 101
1649   26   49     153 128 105
1650   26   50     157 134 109
1651   26   51     158 135 110
1652   26   52     161 138 116
1653   26   53     161 136 115
1654   26   54     162 149 118
1655   26   55     164 137 115
1656   26   56     166 140 120
1657   26   57     165 139 119
1658   26   58     166 140 120
1659   26   59     167 145 109
1660   26   60     165 147 120
1661   26   61     160 136 121
1662   26   62     162 143 114
1681   27   17     173 171 170
1682   27   18     176 166 164
1683   27   19     176 159 149
1684   27   20     159 149 123
1685   27   21     158 134 118
1686   27   22     164 139 118
1687   27   23     160 134 110
1688   27   24     153 136 113
1689   27   25     161 134 103
1690   27   26     158 133 105
1691   27   27     157 131 104
1692   27   28     155 132 104
1693   27   29     158 128 111
1694   27   30     153 131 104
1695   27   31     150 130 106
1696   27   32     150 122 102
1697   27   33     145 123 98
1698   27   34     138 120 100
1699   27   35     149 118 93
1700   27   36     156 139 105
1701   27   37     164 145 120
1702   27   38     176 154 123
1703   27   39     175 153 124
1704   27   40     171 155 120
1705   27   41     171 146 118
1706   27   42     161 146 117
1707   27   43     158 128 116
1708   27   44     149 138 106
1709   27   45     151 123 105
1710   27   46     150 124 104
1711   27   47     148 120 105
1712   27   48     147 134 103
1713   27   49     155 131 105
1714   27   50     156 133 112
1715   27   51     159 136 115
1716   27   52     162 140 112
1717   27   53     163 138 119
1718   27   54     164 137 114
1719   27   55     165 139 120
1720   27   56     167 147 114
1721   27   57     167 147 114
1722   27   58     165 137 122
1723   27   59     164 146 118
1724   27   60     164 139 117
1725   27   61     159 146 120
1726   27   62     159 138 126
1743   28   15     113 109 114
1744   28   16     136 134 130
1746   28   18     163 160 149
1747   28   19     158 143 133
1748   28   20     151 135 109
1749   28   21     152 130 113
1750   28   22     161 145 127
1751   28   23     170 147 137
1752   28   24     169 151 130
1753   28   25     170 151 134
1754   28   26     168 147 129
1755   28   27     159 151 138
1756   28   28     169 147 127
1757   28   29     159 151 137
1758   28   30     165 145 126
1759   28   31     162 142 129
1760   28   32     154 146 114
1761   28   33     151 131 113
1762   28   34     155 127 101
1763   28   35     148 133 102
1764   28   36     161 133 114
1765   28   37     173 151 117
1766   28   38     180 150 129
1767   28   39     178 152 132
1768   28   40     177 149 134
1769   28   41     175 154 124
1770   28   42     172 149 121
1771   28   43     166 151 116
1772   28   44     169 134 119
1773   28   45     157 142 107
1774   28   46     155 137 105
1775   28   47     154 137 100
1776   28   48     154 131 110
1777   28   49     155 129 112
1778   28   50     158 135 112
1779   28   51     158 136 110
1780   28   52     164 133 118
1781   28   53     160 146 116
1782   28   54     162 144 121
1783   28   55     164 147 120
1784   28   56     165 143 116
1785   28   57     168 145 119
1786   28   58     163 146 110
1787   28   59     158 138 118
1788   28   60     160 139 106
1789   28   61     160 139 116
1790   28   62     159 149 118
1807   29   15     111 107 112
1809   29   17     172 168 173
1810   29   18     169 155 143
1811   29   19     157 137 121
1812   29   20     148 129 102
1813   29   21     151 144 120
1814   29   22     173 156 140
1815   29   23     176 167 164
1816   29   24     185 171 162
1817   29   25     172 168 159
1818   29   26     175 170 160
1819   29   27     177 165 159
1820   29   28     175 165 160
1821   29   29     176 170 157
1822   29   30     176 165 161
1823   29   31     169 165 159
1824   29   32     171 155 146
1825   29   33     168 149 133
1826   29   34     158 147 134
1827   29   35     165 145 125
1828   29   36     166 151 138
1829   29   37     174 154 139
1830   29   38     181 164 134
1831   29   39     186 163 130
1832   29   40     181 161 130
1833   29   41     180 158 127
1834   29   42     175 156 128
1835   29   43     182 151 127
1836   29   44     177 151 125
1837   29   45     176 147 124
1838   29   46     175 144 118
1839   29   47     170 139 123
1840   29   48     167 138 120
1841   29   49     169 139 111
1842   29   50     159 144 111
1843   29   51     160 135 121
1844   29   52     163 147 111
1845   29   53     162 135 122
1846   29   54     167 145 113
1847   29   55     163 141 114
1848   29   56     173 147 116
1849   29   57     164 144 119
1850   29   58     161 140 116
1851   29   59     167 135 106
1852   29   60     157 141 109
1853   29   61     158 142 109
1854   29   62     154 141 116
1871   30   15     102 110 109
1873   30   17     164 176 162
1874   30   18     156 148 145
1875   30   19     145 136 120
1876   30   20     137 121 96
1877   30   21     146 138 120
1878   30   22     168 158 159
1879   30   23     176 181 170
1880   30   24     176 175 181
1882   30   26     176 175 174
1885   30   29     177 175 180
1887   30   31     177 187 178
1888   30   32     179 176 173
1889   30   33     170 171 167
1890   30   34     174 168 156
1891   30   35     176 163 162
1893   30   37     183 168 155
1894   30   38     181 167 153
1895   30   39     182 161 148
1896   30   40     180 168 143
1897   30   41     187 156 135
1898   30   42     181 162 130
1899   30   43     183 150 127
1900   30   44     181 156 122
1901   30   45     182 154 121
1902   30   46     172 154 125
1903   30   47     172 153 122
1904   30   48     174 152 118
1905   30   49     174 151 119
1906   30   50     173 145 116
1907   30   51     169 149 117
1908   30   52     171 143 114
1909   30   53     168 145 112
1910   30   54     164 144 119
1911   30   55     164 144 119
1912   30   56     169 145 116
1913   30   57     170 145 115
1914   30   58     169 142 112
1915   30   59     158 139 113
1916   30   60     160 143 102
1917   30   61     162 141 103
1918   30   62     158 145 99
1935   31   15     114 106 111
1936   31   16     128 136 137
1937   31   17     175 165 168
1938   31   18     158 149 141
1939   31   19     142 133 111
1940   31   20     126 115 97
1941   31   21     144 135 113
1942   31   22     158 154 142
1943   31   23     164 161 155
1944   31   24     161 167 159
1946   31   26     162 158 160
1947   31   27     157 154 156
1948   31   28     162 160 156
1949   31   29     165 167 162
1950   31   30     175 176 170
