INDEX  ROW  COLUMN R   G   B
899    15   3      96  136 185
900    15   4      153 189 228
901    15   5      171 193 215
903    15   7      118 132 142
904    15   8      160 169 176
951    15   55     100 155 211
952    15   56     183 233 255
953    15   57     91  127 162
964    16   4      201 228 255
968    16   8      224 235 238
1010   16   50     166 217 255
1011   16   51     203 244 255
1017   16   57     140 150 163
1025   17   1      110 148 189
1026   17   2      205 238 255
1027   17   3      175 186 199
1041   17   17     91  99  95
1042   17   18     91  101 97
1076   17   52     167 170 172
1080   17   56     129 135 140
1081   17   57     129 135 140
1087   17   63     160 162 166
1088   17   64     160 162 166
1105   18   17     141 130 124
1106   18   18     140 128 123
1140   18   52     149 156 161
1169   19   17     136 139 120
1170   19   18     144 147 129
1198   19   46     110 145 184
1203   19   51     147 165 211
1205   19   53     149 156 161
1233   20   17     132 136 122
1234   20   18     123 127 112
1261   20   45     182 231 255
1262   20   46     226 253 255
1270   20   54     195 204 209
1279   20   63     119 132 144
1280   20   64     119 132 144
1281   21   1      211 236 255
1282   21   2      157 179 221
1283   21   3      128 163 204
1284   21   4      111 144 188
1285   21   5      103 145 177
1286   21   6      107 149 186
1287   21   7      114 147 201
1288   21   8      113 145 198
1289   21   9      121 153 196
1290   21   10     125 157 197
1291   21   11     119 155 198
1297   21   17     146 138 136
1298   21   18     144 137 141
1307   21   27     95  84  72
1308   21   28     103 97  89
1309   21   29     98  94  85
1325   21   45     163 192 237
1327   21   47     134 136 162
1334   21   54     195 204 209
1335   21   55     129 114 99
1340   21   60     195 205 216
1341   21   61     102 92  87
1359   22   15     120 160 205
1360   22   16     135 169 213
1361   22   17     155 170 187
1362   22   18     138 129 123
1403   22   59     202 199 203
1404   22   60     199 169 144
1411   23   3      126 133 154
1424   23   16     101 142 184
1425   23   17     101 142 184
1453   23   45     101 130 207
1454   23   46     187 230 255
1468   23   60     152 155 160
1473   24   1      93  139 151
1474   24   2      187 225 255
1517   24   45     162 204 255
1518   24   46     209 245 255
1537   25   1      201 235 254
1538   25   2      210 233 255
1541   25   5      103 114 140
1581   25   45     153 192 253
1582   25   46     107 132 199
1601   26   1      134 129 110
1606   26   6      222 221 247
1609   26   9      119 116 108
1610   26   10     156 168 160
1643   26   43     112 150 175
1646   26   46     134 167 226
1656   26   56     160 191 212
1657   26   57     148 178 212
1658   26   58     136 168 207
1659   26   59     168 205 227
1660   26   60     185 218 255
1661   26   61     181 216 255
1662   26   62     197 228 255
1663   26   63     205 235 255
1664   26   64     205 235 255
1665   27   1      209 235 255
1666   27   2      218 237 255
1668   27   4      102 59  39
1669   27   5      96  69  22
1670   27   6      177 166 127
1674   27   10     204 178 164
1675   27   11     167 142 134
1686   27   22     192 244 255
1688   27   24     92  134 174
1689   27   25     95  134 176
1690   27   26     110 146 186
1691   27   27     108 152 184
1692   27   28     104 155 181
1693   27   29     105 151 179
1694   27   30     98  137 175
1707   27   43     197 229 255
1721   27   57     98  140 168
1722   27   58     103 141 184
1723   27   59     114 151 193
1724   27   60     133 170 202
1725   27   61     126 157 195
1726   27   62     112 143 172
1727   27   63     113 143 165
1728   27   64     113 143 165
1729   28   1      97  125 157
1738   28   10     129 149 188
1745   28   17     114 168 218
1746   28   18     99  150 198
1747   28   19     137 174 202
1748   28   20     207 237 255
1749   28   21     184 216 241
1750   28   22     182 214 243
1751   28   23     213 235 254
1752   28   24     115 121 125
1768   28   40     111 121 155
1770   28   42     157 194 203
1773   28   45     165 174 181
1775   28   47     181 185 201
1776   28   48     181 185 201
1802   29   10     94  151 215
1803   29   11     127 179 240
1810   29   18     120 164 225
1832   29   40     111 121 155
1833   29   41     111 121 155
1863   30   7      95  135 181
1864   30   8      133 168 203
1865   30   9      120 153 186
1866   30   10     132 164 194
1867   30   11     197 221 255
1868   30   12     120 129 148
1871   30   15     93  103 97
1874   30   18     217 238 255
1938   31   18     153 183 219
1939   31   19     153 164 167
2988   47   44     192 195 210
3053   48   45     192 195 210
3118   49   46     202 211 217
3182   50   46     202 211 217
3183   50   47     202 211 217
