INDEX  ROW  COLUMN R   G   B
556    5    44     175 159 145
686    6    46     133 119 103
802    7    34     108 86  75
803    7    35     95  73  66
804    7    36     107 86  76
805    7    37     104 86  78
806    7    38     205 196 188
942    8    46     245 236 214
1068   9    44     102 62  46
1070   9    46     156 142 125
1071   9    47     180 170 153
1189   10   37     131 108 92
1191   10   39     94  73  52
1193   10   41     94  68  53
1196   10   44     106 58  47
1199   10   47     145 131 119
1200   10   48     164 153 138
1310   11   30     104 79  58
1311   11   31     96  70  51
1312   11   32     98  76  56
1313   11   33     111 85  65
1314   11   34     123 97  77
1315   11   35     101 78  57
1316   11   36     119 91  74
1319   11   39     95  71  51
1321   11   41     100 73  54
1323   11   43     91  63  47
1324   11   44     116 70  58
1325   11   45     92  58  43
1327   11   47     92  77  62
1361   11   81     162 134 103
1362   11   82     158 137 117
1363   11   83     139 113 94
1437   12   29     115 90  61
1438   12   30     118 87  67
1439   12   31     116 91  65
1440   12   32     140 111 90
1441   12   33     171 142 117
1442   12   34     187 159 138
1443   12   35     153 124 99
1448   12   40     94  66  45
1451   12   43     105 75  58
1452   12   44     102 64  50
1454   12   46     91  59  47
1456   12   48     106 84  73
1564   13   28     157 129 104
1565   13   29     162 136 106
1566   13   30     161 138 116
1567   13   31     152 127 103
1568   13   32     131 104 82
1576   13   40     98  70  49
1577   13   41     94  62  44
1578   13   42     107 77  63
1580   13   44     92  63  50
1585   13   49     175 151 136
1586   13   50     155 136 120
1691   14   27     119 99  77
1703   14   39     94  70  43
1704   14   40     98  71  49
1706   14   42     111 85  69
1710   14   46     97  59  48
1711   14   47     102 60  51
1712   14   48     99  62  51
1714   14   50     153 136 121
1715   14   51     160 159 153
1824   15   32     95  68  45
1826   15   34     100 73  50
1828   15   36     97  68  46
1829   15   37     91  68  44
1830   15   38     92  70  45
1831   15   39     91  67  44
1833   15   41     108 81  62
1834   15   42     95  60  49
1837   15   45     108 74  57
1838   15   46     121 80  69
1840   15   48     113 75  61
1841   15   49     107 69  53
1844   15   52     144 118 108
1861   15   69     169 142 97
1862   15   70     197 170 134
1863   15   71     187 172 127
1955   16   35     91  65  41
1956   16   36     98  71  48
1957   16   37     93  72  47
1958   16   38     94  70  44
1960   16   40     101 71  54
1965   16   45     140 105 90
1966   16   46     97  58  44
1968   16   48     128 91  76
1969   16   49     114 74  61
1970   16   50     93  53  39
1971   16   51     94  63  57
1973   16   53     95  84  67
1982   16   62     245 233 215
1983   16   63     240 226 211
1984   16   64     217 203 163
2083   17   35     102 75  52
2084   17   36     100 77  55
2085   17   37     93  71  45
2086   17   38     94  70  45
2087   17   39     92  63  42
2088   17   40     97  66  48
2090   17   42     161 132 119
2091   17   43     105 72  60
2093   17   45     139 100 84
2095   17   47     101 60  44
2096   17   48     124 86  71
2097   17   49     104 66  48
2099   17   51     101 63  57
2102   17   54     170 147 131
2103   17   55     255 252 237
2110   17   62     251 240 225
2111   17   63     249 235 223
2112   17   64     250 240 211
2209   18   33     96  70  46
2211   18   35     104 78  54
2212   18   36     92  68  43
2213   18   37     98  71  49
2215   18   39     95  65  44
2216   18   40     102 74  55
2217   18   41     95  64  44
2218   18   42     132 98  85
2219   18   43     163 130 116
2220   18   44     143 90  76
2222   18   46     128 82  70
2223   18   47     110 66  51
2224   18   48     119 77  60
2225   18   49     101 65  47
2226   18   50     107 67  54
2227   18   51     97  53  44
2228   18   52     106 66  56
2229   18   53     99  63  52
2230   18   54     91  54  41
2339   19   35     101 75  53
2340   19   36     91  68  44
2342   19   38     95  71  47
2343   19   39     102 70  50
2344   19   40     113 81  64
2345   19   41     132 97  80
2352   19   48     98  55  38
2353   19   49     114 72  57
2354   19   50     106 69  52
2355   19   51     103 58  48
2356   19   52     114 70  59
2357   19   53     103 61  47
2358   19   54     101 57  46
2359   19   55     99  60  47
2360   19   56     100 67  52
2363   19   59     160 128 113
2364   19   60     129 103 86
2369   19   65     242 223 209
2377   19   73     241 214 171
2381   19   77     255 246 208
2467   20   35     98  72  49
2469   20   37     102 72  51
2470   20   38     113 85  60
2471   20   39     93  61  44
2472   20   40     95  63  45
2476   20   44     133 69  53
2477   20   45     158 100 89
2481   20   49     140 100 84
2482   20   50     101 65  45
2483   20   51     107 68  53
2484   20   52     122 77  61
2485   20   53     112 64  49
2486   20   54     115 61  49
2487   20   55     108 63  47
2490   20   58     173 119 97
2491   20   59     122 78  56
2492   20   60     109 65  46
2590   21   30     112 85  57
2594   21   34     100 71  49
2595   21   35     113 89  67
2596   21   36     108 86  63
2597   21   37     109 75  56
2598   21   38     111 80  57
2600   21   40     126 99  81
2601   21   41     97  71  56
2603   21   43     104 60  47
2605   21   45     178 124 112
2606   21   46     228 180 163
2609   21   49     132 94  74
2611   21   51     121 83  66
2612   21   52     125 80  66
2613   21   53     134 79  68
2614   21   54     128 76  63
2615   21   55     120 76  63
2617   21   57     143 94  69
2618   21   58     255 221 192
2621   21   61     113 63  48
2623   21   63     94  41  34
2719   22   31     135 100 65
2720   22   32     125 92  59
2721   22   33     132 99  67
2722   22   34     134 105 69
2723   22   35     133 104 71
2724   22   36     134 100 67
2725   22   37     143 107 71
2726   22   38     155 117 89
2727   22   39     135 98  73
2728   22   40     201 153 139
2729   22   41     193 130 116
2733   22   45     235 171 156
2734   22   46     250 193 179
2740   22   52     138 84  68
2741   22   53     135 86  70
2742   22   54     124 77  60
2743   22   55     139 92  75
2744   22   56     126 78  59
2745   22   57     163 106 85
2746   22   58     222 162 141
2747   22   59     121 71  52
2756   22   68     94  72  58
2757   22   69     115 94  81
2759   22   71     110 96  77
2760   22   72     155 139 124
2761   22   73     200 185 166
2764   22   76     110 94  73
2765   22   77     118 102 80
2766   22   78     91  81  90
2848   23   32     148 124 100
2855   23   39     109 87  70
2857   23   41     255 208 196
2858   23   42     255 188 167
2861   23   45     220 168 155
2865   23   49     106 62  51
2867   23   51     129 77  60
2868   23   52     148 102 83
2869   23   53     151 102 85
2870   23   54     136 90  69
2871   23   55     140 94  75
2872   23   56     127 84  61
2873   23   57     153 103 86
2875   23   59     181 134 114
2877   23   61     91  51  36
2884   23   68     101 77  62
2885   23   69     122 103 89
2888   23   72     115 100 84
2889   23   73     114 98  82
2985   24   41     107 71  62
2987   24   43     129 74  51
2994   24   50     143 88  71
2995   24   51     128 79  61
2996   24   52     153 104 88
2997   24   53     158 110 93
2998   24   54     109 64  45
2999   24   55     98  54  38
3000   24   56     114 68  45
3001   24   57     127 86  68
3011   24   67     96  68  56
3012   24   68     112 91  78
3016   24   72     95  80  64
3018   24   74     132 116 100
3019   24   75     98  82  66
3023   24   79     107 87  88
3024   24   80     148 130 123
3025   24   81     112 93  91
3026   24   82     112 98  96
3064   24   120    119 65  48
3065   24   121    92  70  66
3115   25   43     124 94  70
3121   25   49     172 114 102
3123   25   51     136 86  68
3124   25   52     127 79  63
3125   25   53     122 74  57
3126   25   54     101 55  37
3127   25   55     114 79  56
3128   25   56     113 75  46
3129   25   57     113 79  63
3130   25   58     133 105 94
3133   25   61     114 78  65
3134   25   62     148 109 98
3138   25   66     97  72  55
3140   25   68     96  79  63
3143   25   71     118 103 86
3144   25   72     105 89  73
3149   25   77     120 106 84
3151   25   79     130 113 107
3152   25   80     124 108 99
3153   25   81     128 109 104
3154   25   82     135 122 117
3192   25   120    174 139 108
3194   25   122    137 129 122
3248   26   48     158 106 97
3252   26   52     119 73  55
3253   26   53     126 78  59
3254   26   54     201 159 139
3258   26   58     102 79  68
3263   26   63     129 73  56
3265   26   65     113 88  76
3266   26   66     155 135 120
3267   26   67     162 139 127
3272   26   72     203 187 171
3276   26   76     118 102 86
3277   26   77     220 206 185
3278   26   78     93  74  71
3280   26   80     98  82  78
3375   27   47     144 108 93
3376   27   48     108 67  49
3377   27   49     146 103 81
3382   27   54     197 162 139
3390   27   62     93  45  27
3391   27   63     233 166 142
3394   27   66     128 104 91
3402   27   74     151 135 120
3403   27   75     158 143 128
3408   27   80     125 116 114
3449   27   121    234 211 191
3506   28   50     175 125 109
3510   28   54     168 132 109
3511   28   55     177 144 123
3514   28   58     92  69  53
3518   28   62     186 129 107
3519   28   63     255 211 186
3521   28   65     167 152 139
3522   28   66     189 165 152
3523   28   67     118 103 85
3525   28   69     129 116 99
3526   28   70     226 216 198
3528   28   72     154 137 126
3531   28   75     151 135 120
3532   28   76     255 244 227
3535   28   79     91  74  66
3538   28   82     229 218 206
3605   29   21     122 87  48
3634   29   50     157 111 95
3635   29   51     143 95  76
3638   29   54     204 169 148
3639   29   55     184 159 139
3649   29   65     109 92  79
3650   29   66     135 113 100
3653   29   69     126 113 97
3655   29   71     92  78  64
3659   29   75     196 174 145
3665   29   81     113 83  57
3666   29   82     100 63  39
3667   29   83     246 216 190
3700   29   116    137 98  79
3705   29   121    212 160 153
3708   29   124    215 178 154
3709   29   125    154 135 110
3763   30   51     149 100 84
3764   30   52     155 115 96
3765   30   53     93  54  36
3774   30   62     118 85  59
3779   30   67     106 86  67
3781   30   69     132 118 96
3782   30   70     105 94  75
3783   30   71     94  78  67
3786   30   74     107 90  60
3787   30   75     218 197 166
3788   30   76     234 210 187
3791   30   79     181 155 133
3794   30   82     169 135 114
3795   30   83     172 140 119
3796   30   84     93  60  39
3825   30   113    102 50  21
3865   31   25     124 106 86
3866   31   26     151 137 121
3885   31   45     105 74  48
3888   31   48     246 212 190
3889   31   49     123 93  66
3890   31   50     133 98  77
3891   31   51     101 47  36
3901   31   61     140 108 86
3902   31   62     139 108 86
3903   31   63     118 84  60
3904   31   64     122 98  81
3905   31   65     106 77  64
3906   31   66     140 114 95
3907   31   67     150 128 107
3909   31   69     118 103 78
3910   31   70     110 95  73
3912   31   72     93  73  53
3913   31   73     202 182 154
3917   31   77     131 111 93
3928   31   88     124 109 98
3929   31   89     120 102 93
3962   31   122    225 178 169
3996   32   28     112 76  50
3997   32   29     109 63  31
3998   32   30     94  58  40
3999   32   31     117 87  63
4000   32   32     111 84  50
4001   32   33     113 85  52
4002   32   34     120 97  60
4003   32   35     110 86  52
4004   32   36     132 100 74
4005   32   37     129 97  56
4006   32   38     141 116 81
4007   32   39     137 114 86
4008   32   40     146 123 103
4009   32   41     151 126 108
4010   32   42     161 139 113
4011   32   43     136 109 84
4012   32   44     255 209 176
4013   32   45     230 176 153
4016   32   48     119 59  39
4017   32   49     111 59  38
4021   32   53     151 108 90
4022   32   54     204 166 150
4023   32   55     205 173 155
4025   32   57     146 116 103
4026   32   58     117 89  76
4027   32   59     177 151 133
4028   32   60     145 117 97
4029   32   61     173 147 129
4030   32   62     143 115 93
4031   32   63     127 95  78
4032   32   64     127 95  77
4033   32   65     134 104 87
4034   32   66     130 101 79
4035   32   67     131 106 85
4037   32   69     103 86  62
4038   32   70     120 108 84
4040   32   72     101 80  57
4041   32   73     216 198 169
4045   32   77     125 107 89
4050   32   82     98  66  47
4051   32   83     111 80  59
4052   32   84     109 81  56
4053   32   85     119 86  63
4054   32   86     93  63  41
4056   32   88     118 93  74
4057   32   89     154 133 118
4058   32   90     102 82  70
4083   32   115    155 117 98
4123   33   27     142 98  45
4124   33   28     161 107 63
4125   33   29     113 55  29
4126   33   30     132 114 56
4127   33   31     133 115 47
4128   33   32     146 127 44
4129   33   33     111 92  6
4131   33   35     105 84  15
4137   33   41     108 91  80
4138   33   42     102 78  55
4140   33   44     124 63  42
4147   33   51     125 72  54
4148   33   52     115 62  44
4149   33   53     118 73  51
4150   33   54     200 160 138
4151   33   55     204 167 144
4154   33   58     183 147 126
4155   33   59     199 171 147
4156   33   60     143 116 94
4157   33   61     161 134 111
4158   33   62     156 126 104
4159   33   63     125 90  72
4160   33   64     159 126 105
4161   33   65     179 147 126
4162   33   66     144 114 91
4163   33   67     128 98  81
4164   33   68     113 90  64
4165   33   69     123 101 79
4166   33   70     147 131 103
4168   33   72     132 104 78
4169   33   73     225 200 169
4170   33   74     211 188 153
4178   33   82     106 71  52
4179   33   83     99  69  46
4180   33   84     105 76  51
4181   33   85     124 87  70
4182   33   86     111 76  55
4183   33   87     95  56  38
4207   33   111    180 135 110
4211   33   115    148 113 91
4269   34   45     164 116 96
4270   34   46     155 96  70
