INDEX  ROW  COLUMN R   G   B
870    7    102    101 98  95
871    7    103    91  89  83
945    8    49     146 143 140
946    8    50     146 143 140
947    8    51     147 144 141
948    8    52     147 144 141
949    8    53     146 143 140
950    8    54     145 141 138
951    8    55     145 141 138
952    8    56     147 144 141
999    8    103    135 131 128
1000   8    104    130 124 119
1001   8    105    126 120 115
1002   8    106    125 119 114
1003   8    107    125 119 114
1004   8    108    125 119 114
1005   8    109    125 119 114
1006   8    110    125 119 114
1007   8    111    125 119 114
1008   8    112    125 119 114
1009   8    113    125 119 114
1010   8    114    125 119 114
1011   8    115    123 119 116
1012   8    116    126 119 115
1013   8    117    126 119 115
1014   8    118    126 119 115
1015   8    119    126 119 115
1016   8    120    126 119 115
1017   8    121    123 119 116
1018   8    122    123 119 116
1019   8    123    125 119 114
1020   8    124    125 119 114
1021   8    125    123 119 116
1070   9    46     168 165 162
1071   9    47     162 158 155
1072   9    48     158 152 147
1073   9    49     155 148 141
1074   9    50     156 149 140
1075   9    51     157 150 141
1076   9    52     159 149 140
1077   9    53     156 149 140
1078   9    54     156 146 137
1079   9    55     156 149 140
1080   9    56     160 154 149
1081   9    57     165 162 159
1129   9    105    160 157 154
1130   9    106    159 156 153
1131   9    107    159 156 153
1132   9    108    159 156 153
1133   9    109    159 156 153
1134   9    110    159 156 153
1135   9    111    159 156 153
1136   9    112    159 156 153
1137   9    113    159 156 153
1138   9    114    159 156 153
1139   9    115    159 156 153
1141   9    117    160 156 155
1142   9    118    160 156 155
1143   9    119    160 156 155
1146   9    122    159 156 153
1147   9    123    159 156 153
1148   9    124    159 156 153
1149   9    125    159 156 153
1197   10   45     173 169 168
1198   10   46     169 163 158
1199   10   47     159 152 145
1200   10   48     153 142 131
1201   10   49     148 136 123
1202   10   50     148 134 121
1203   10   51     148 135 119
1204   10   52     148 134 118
1205   10   53     147 133 117
1206   10   54     147 133 117
1207   10   55     152 138 125
1208   10   56     158 148 139
1209   10   57     167 161 156
1322   11   42     171 168 165
1323   11   43     167 163 160
1324   11   44     164 160 157
1325   11   45     162 155 151
1326   11   46     157 147 140
1327   11   47     148 136 123
1328   11   48     137 123 107
1329   11   49     131 114 95
1330   11   50     130 108 89
1331   11   51     128 107 84
1332   11   52     126 105 82
1333   11   53     126 105 82
1334   11   54     130 109 86
1335   11   55     137 120 101
1336   11   56     149 136 120
1337   11   57     162 152 143
1338   11   58     170 168 162
1449   12   41     167 163 160
1450   12   42     161 154 150
1451   12   43     153 146 142
1452   12   44     148 141 134
1453   12   45     146 136 129
1454   12   46     140 129 118
1455   12   47     134 115 102
1456   12   48     125 103 84
1457   12   49     117 95  70
1458   12   50     111 87  63
1459   12   51     109 83  54
1460   12   52     106 80  51
1461   12   53     107 81  50
1462   12   54     114 88  59
1463   12   55     126 102 78
1464   12   56     140 124 103
1465   12   57     154 144 130
1466   12   58     167 161 156
1467   12   59     176 173 170
1569   13   33     175 172 169
1570   13   34     171 169 163
1571   13   35     170 164 159
1572   13   36     168 162 157
1573   13   37     167 161 156
1574   13   38     166 160 155
1575   13   39     164 158 153
1576   13   40     160 155 146
1577   13   41     152 145 136
1578   13   42     143 132 121
1579   13   43     132 120 107
1580   13   44     126 112 99
1581   13   45     122 108 92
1582   13   46     120 103 87
1583   13   47     115 93  74
1584   13   48     110 83  61
1585   13   49     102 76  47
1586   13   50     98  69  37
1587   13   51     97  61  30
1588   13   52     94  59  25
1589   13   53     96  60  25
1590   13   54     101 70  35
1591   13   55     115 86  54
1592   13   56     130 108 80
1593   13   57     146 131 114
1594   13   58     161 153 141
1595   13   59     171 167 164
1696   14   32     172 169 166
1697   14   33     165 160 151
1698   14   34     157 149 137
1699   14   35     149 143 127
1700   14   36     146 136 122
1701   14   37     144 134 120
1702   14   38     144 132 119
1703   14   39     143 130 114
1704   14   40     139 126 109
1705   14   41     132 117 100
1706   14   42     121 104 85
1707   14   43     112 92  71
1708   14   44     104 84  63
1709   14   45     100 80  59
1710   14   46     101 79  54
1711   14   47     100 72  47
1712   14   48     97  68  36
1713   14   49     95  59  28
1717   14   53     92  50  12
1718   14   54     95  56  18
1719   14   55     105 69  34
1720   14   56     118 88  61
1721   14   57     133 113 92
1722   14   58     148 136 123
1723   14   59     161 156 147
1724   14   60     170 167 164
1756   14   92     178 175 172
1757   14   93     177 174 171
1823   15   31     175 172 169
1824   15   32     165 158 151
1825   15   33     151 141 127
1826   15   34     139 122 103
1827   15   35     130 111 86
1828   15   36     124 105 79
1829   15   37     124 102 74
1830   15   38     123 101 73
1831   15   39     121 99  71
1832   15   40     118 96  68
1833   15   41     112 89  61
1834   15   42     105 79  50
1835   15   43     96  70  39
1845   15   53     91  43  5
1846   15   54     94  46  8
1847   15   55     99  54  19
1848   15   56     106 69  40
1849   15   57     117 89  64
1850   15   58     130 110 96
1851   15   59     144 134 122
1852   15   60     156 150 145
1853   15   61     166 163 160
1884   15   92     174 170 167
1885   15   93     172 170 164
1886   15   94     173 170 167
1951   16   31     171 167 164
1952   16   32     159 149 135
1953   16   33     142 124 100
1954   16   34     125 101 67
1955   16   35     113 87  48
1956   16   36     108 79  41
1957   16   37     107 75  38
1958   16   38     106 74  37
1959   16   39     105 73  36
1960   16   40     105 73  33
1961   16   41     103 70  29
1962   16   42     99  66  25
1963   16   43     94  61  20
1972   16   52     92  42  3
1973   16   53     92  41  4
1974   16   54     93  42  5
1975   16   55     94  44  11
1976   16   56     97  52  22
1977   16   57     102 68  39
1978   16   58     112 85  63
1979   16   59     123 106 87
1980   16   60     137 125 112
1981   16   61     150 145 136
1982   16   62     163 160 157
2010   16   90     179 176 173
2012   16   92     172 170 164
2013   16   93     170 168 162
2014   16   94     172 168 165
2015   16   95     175 172 169
2079   17   31     171 165 160
2080   17   32     156 143 127
2081   17   33     137 118 87
2082   17   34     120 91  53
2083   17   35     110 76  34
2084   17   36     106 70  25
2085   17   37     103 67  22
2086   17   38     104 65  19
2087   17   39     103 64  18
2088   17   40     102 63  17
2089   17   41     101 62  16
2090   17   42     100 58  16
2091   17   43     98  56  14
2092   17   44     95  56  10
2093   17   45     92  53  7
2098   17   50     91  46  3
2099   17   51     91  45  3
2100   17   52     92  42  3
2101   17   53     94  41  2
2104   17   56     93  43  10
2105   17   57     98  48  21
2106   17   58     101 62  36
2107   17   59     108 78  58
2108   17   60     117 97  83
2109   17   61     136 122 109
2110   17   62     151 146 137
2111   17   63     167 164 161
2140   17   92     174 170 167
2141   17   93     172 170 164
2142   17   94     173 170 167
2207   18   31     172 166 161
2208   18   32     158 145 129
2209   18   33     139 120 94
2210   18   34     127 98  61
2211   18   35     117 85  43
2212   18   36     113 78  33
2213   18   37     108 72  27
2214   18   38     105 66  20
2215   18   39     103 61  12
2216   18   40     101 59  10
2217   18   41     101 58  9
2218   18   42     101 58  9
2219   18   43     100 56  9
2220   18   44     98  56  7
2221   18   45     96  54  5
2222   18   46     91  53  2
2226   18   50     91  46  3
2227   18   51     93  43  3
2228   18   52     92  41  4
2233   18   57     95  41  11
2234   18   58     97  47  20
2235   18   59     100 60  34
2236   18   60     105 78  56
2237   18   61     119 99  85
2238   18   62     138 128 116
2239   18   63     158 151 144
2240   18   64     171 169 163
2244   18   68     181 178 175
2246   18   70     180 177 174
2247   18   71     180 178 172
2248   18   72     180 178 172
2249   18   73     180 178 172
2250   18   74     180 177 174
2268   18   92     178 175 172
2269   18   93     177 174 171
2335   19   31     173 169 166
2336   19   32     164 154 142
2337   19   33     152 136 115
2338   19   34     141 122 91
2339   19   35     134 110 76
2340   19   36     128 101 64
2341   19   37     119 91  47
2342   19   38     110 75  30
2343   19   39     102 64  15
2344   19   40     99  58  5
2345   19   41     100 53  3
2346   19   42     97  54  5
2347   19   43     97  54  5
2348   19   44     96  53  4
2349   19   45     95  52  3
2354   19   50     93  46  1
2355   19   51     93  43  3
2356   19   52     94  41  2
2362   19   58     98  43  13
2363   19   59     100 49  22
2364   19   60     102 62  39
2365   19   61     112 82  60
2366   19   62     127 107 93
2367   19   63     146 135 124
2368   19   64     163 156 147
2369   19   65     174 168 163
2370   19   66     179 173 168
2371   19   67     178 176 170
2372   19   68     181 176 167
2373   19   69     180 175 166
2374   19   70     182 174 162
2375   19   71     182 176 160
2376   19   72     183 173 161
2377   19   73     182 174 162
2378   19   74     180 175 166
2379   19   75     180 178 172
2380   19   76     181 178 175
2383   19   79     179 177 171
2464   20   32     171 166 157
2465   20   33     163 155 143
2466   20   34     158 145 128
2467   20   35     153 138 117
2468   20   36     144 126 102
2469   20   37     129 109 75
2470   20   38     114 85  47
2471   20   39     103 66  17
2472   20   40     96  54  5
2473   20   41     93  50  1
2475   20   43     93  50  1
2476   20   44     93  50  1
2477   20   45     93  50  1
2482   20   50     95  46  1
2483   20   51     96  43  4
2484   20   52     95  42  3
2491   20   59     103 45  14
2492   20   60     102 51  24
2493   20   61     108 66  41
2494   20   62     119 88  64
2495   20   63     135 113 94
2496   20   64     152 137 120
2497   20   65     166 153 137
2498   20   66     172 162 148
2499   20   67     177 167 153
2500   20   68     181 168 152
2501   20   69     182 169 152
2502   20   70     182 169 152
2503   20   71     185 170 149
2504   20   72     182 171 149
2505   20   73     181 172 152
2506   20   74     180 174 158
2507   20   75     180 178 166
2508   20   76     180 177 174
2509   20   77     181 178 175
2510   20   78     180 177 174
2512   20   80     178 176 170
2593   21   33     173 169 166
2594   21   34     169 168 159
2595   21   35     166 161 152
2596   21   36     158 148 136
2597   21   37     141 125 104
2598   21   38     121 95  64
2599   21   39     104 70  28
2600   21   40     96  54  5
2609   21   49     96  47  1
2610   21   50     96  47  2
2611   21   51     98  45  3
2612   21   52     99  42  6
2614   21   54     103 41  3
2618   21   58     109 41  6
2619   21   59     106 42  9
2620   21   60     105 43  15
2621   21   61     104 53  25
2622   21   62     112 68  41
2623   21   63     124 90  64
2624   21   64     139 111 86
2625   21   65     153 131 106
2626   21   66     162 143 118
2627   21   67     170 151 126
2628   21   68     175 156 131
2629   21   69     179 160 134
2630   21   70     181 162 136
2631   21   71     184 165 134
2632   21   72     182 166 135
2633   21   73     182 168 139
2634   21   74     181 170 148
2635   21   75     180 174 158
2636   21   76     178 177 168
2637   21   77     179 177 171
2638   21   78     179 177 171
2639   21   79     178 176 170
2640   21   80     178 176 170
2641   21   81     179 176 173
2724   22   36     165 163 157
2725   22   37     152 139 123
2726   22   38     127 108 82
2727   22   39     110 78  38
2728   22   40     97  57  10
2737   22   49     97  48  2
2738   22   50     99  46  3
2739   22   51     100 46  7
2740   22   52     104 44  7
2741   22   53     108 42  8
2742   22   54     111 43  8
2743   22   55     115 41  7
2744   22   56     115 43  4
2746   22   58     113 42  5
2749   22   61     108 44  12
2750   22   62     110 50  23
2751   22   63     116 65  37
2752   22   64     126 83  54
2753   22   65     137 100 68
2754   22   66     148 112 81
2755   22   67     155 126 93
2756   22   68     165 136 103
2757   22   69     172 143 110
2758   22   70     175 148 115
2759   22   71     177 150 117
2760   22   72     177 153 119
2761   22   73     177 155 126
2762   22   74     178 162 134
2763   22   75     177 166 144
2764   22   76     178 168 154
2765   22   77     176 171 162
2766   22   78     178 172 167
2767   22   79     177 175 169
2769   22   81     180 177 174
2774   22   86     180 177 174
2775   22   87     178 175 172
2776   22   88     175 172 169
2777   22   89     173 170 167
2778   22   90     174 171 168
2852   23   36     172 169 166
2853   23   37     158 150 138
2854   23   38     137 119 95
2855   23   39     116 85  50
2856   23   40     101 62  18
2857   23   41     94  50  3
2865   23   49     99  46  3
2866   23   50     102 46  2
2867   23   51     103 44  5
2868   23   52     109 42  5
2869   23   53     115 43  8
2870   23   54     118 44  10
2871   23   55     124 45  9
2872   23   56     122 45  8
2873   23   57     120 43  6
2874   23   58     118 41  6
2878   23   62     109 43  12
2879   23   63     114 50  18
2880   23   64     118 61  26
2881   23   65     124 73  36
2882   23   66     133 82  47
2883   23   67     140 96  58
2884   23   68     151 107 69
2885   23   69     157 118 80
2886   23   70     162 123 85
2887   23   71     161 125 90
2888   23   72     162 126 95
2889   23   73     161 132 100
2890   23   74     164 138 109
2891   23   75     164 145 120
2892   23   76     166 151 130
2893   23   77     168 155 139
2894   23   78     169 161 149
2895   23   79     171 166 157
2896   23   80     173 171 165
2899   23   83     177 175 169
2900   23   84     177 175 169
2901   23   85     176 174 168
2902   23   86     175 169 164
2903   23   87     170 163 156
2904   23   88     165 158 149
2905   23   89     160 155 146
2906   23   90     160 156 153
2907   23   91     167 164 161
2981   24   37     163 156 149
2982   24   38     142 127 110
2983   24   39     120 94  65
2984   24   40     104 68  27
2985   24   41     95  55  8
2986   24   42     94  51  2
2989   24   45     96  54  1
2990   24   46     99  52  2
2991   24   47     101 52  2
2992   24   48     103 51  1
2993   24   49     104 48  4
2994   24   50     104 47  4
2995   24   51     106 43  3
2996   24   52     112 41  4
2997   24   53     118 41  6
2998   24   54     126 45  8
2999   24   55     131 48  8
3000   24   56     131 48  8
3001   24   57     127 46  8
3002   24   58     121 44  7
3003   24   59     116 44  5
3004   24   60     115 43  4
3006   24   62     115 41  7
3007   24   63     115 43  8
3008   24   64     115 47  12
3009   24   65     119 52  15
3010   24   66     121 61  22
3011   24   67     130 70  31
3012   24   68     137 83  41
3013   24   69     144 90  51
3014   24   70     147 93  54
3015   24   71     143 92  57
3016   24   72     139 93  62
3017   24   73     139 97  65
3018   24   74     142 105 76
3019   24   75     146 113 84
3020   24   76     149 121 96
3021   24   77     151 130 107
3022   24   78     154 139 122
3023   24   79     159 150 131
3024   24   80     163 155 143
3025   24   81     167 159 147
3026   24   82     166 162 151
3027   24   83     167 163 152
3028   24   84     167 163 152
3029   24   85     165 161 150
3030   24   86     162 154 142
3031   24   87     154 144 132
3032   24   88     148 135 119
3033   24   89     142 130 117
3034   24   90     145 135 126
3035   24   91     155 149 144
3036   24   92     168 165 162
3108   25   36     178 175 172
3109   25   37     168 161 154
3110   25   38     149 135 119
3111   25   39     127 104 76
3112   25   40     112 74  36
3113   25   41     101 61  14
3114   25   42     101 54  4
3115   25   43     101 55  3
3116   25   44     101 54  4
3117   25   45     99  57  4
3118   25   46     102 56  4
3119   25   47     104 55  5
3120   25   48     108 53  6
3121   25   49     110 49  8
3122   25   50     111 48  5
3123   25   51     114 44  4
3125   25   53     122 41  4
3126   25   54     131 43  8
3127   25   55     136 48  10
3128   25   56     137 49  11
3129   25   57     131 48  8
3130   25   58     126 45  7
3131   25   59     122 43  5
3132   25   60     120 43  6
3133   25   61     120 43  6
3134   25   62     120 43  6
3135   25   63     121 42  6
3136   25   64     121 42  6
3137   25   65     121 44  7
3138   25   66     124 50  9
3139   25   67     131 57  14
3140   25   68     135 64  23
3141   25   69     139 68  27
3142   25   70     137 67  27
3143   25   71     129 66  26
3144   25   72     120 63  27
3145   25   73     117 64  31
3146   25   74     117 70  40
3147   25   75     121 78  49
3148   25   76     123 89  60
3149   25   77     128 98  71
3150   25   78     132 110 82
3151   25   79     138 119 94
3152   25   80     143 129 105
3153   25   81     147 132 115
3154   25   82     149 138 116
3155   25   83     150 137 120
3156   25   84     151 138 121
3157   25   85     149 138 116
3158   25   86     145 130 109
3159   25   87     134 117 98
3160   25   88     126 106 86
3161   25   89     119 102 86
3162   25   90     123 111 98
3163   25   91     139 129 122
3164   25   92     156 152 149
3237   26   37     170 166 163
3238   26   38     156 145 134
3239   26   39     137 117 96
3240   26   40     119 90  57
3241   26   41     112 73  29
3242   26   42     107 64  15
3243   26   43     105 64  11
3244   26   44     105 64  11
3245   26   45     107 65  12
3246   26   46     110 63  13
3247   26   47     111 62  16
3248   26   48     113 62  14
3249   26   49     118 57  16
3250   26   50     121 56  13
3251   26   51     126 49  12
3252   26   52     128 47  9
3253   26   53     133 44  6
3254   26   54     138 46  9
3255   26   55     143 47  11
3256   26   56     139 50  12
3257   26   57     135 47  9
3258   26   58     128 45  5
3259   26   59     124 44  3
3260   26   60     125 45  4
3261   26   61     126 46  5
3262   26   62     127 46  8
3263   26   63     126 45  7
3264   26   64     127 44  4
3265   26   65     127 45  4
3266   26   66     129 47  6
3267   26   67     134 53  10
3268   26   68     138 57  14
3269   26   69     139 58  15
3270   26   70     133 53  12
3271   26   71     120 49  9
3272   26   72     111 43  8
3273   26   73     105 41  9
3274   26   74     103 45  14
3275   26   75     102 51  23
3276   26   76     104 62  30
3277   26   77     107 71  40
3278   26   78     110 81  49
3279   26   79     114 89  59
3280   26   80     119 97  68
3281   26   81     122 103 77
3282   26   82     126 110 82
3283   26   83     129 110 84
3284   26   84     130 114 86
3285   26   85     128 112 84
3286   26   86     123 104 78
3287   26   87     113 94  69
3288   26   88     104 83  60
3289   26   89     100 77  61
3290   26   90     106 87  74
3291   26   91     122 107 103
3292   26   92     144 137 133
3293   26   93     164 160 159
3365   27   37     175 171 170
3366   27   38     163 156 149
3367   27   39     149 135 119
3368   27   40     134 111 83
3369   27   41     124 92  55
3370   27   42     117 81  37
3371   27   43     113 77  32
3372   27   44     113 77  32
3373   27   45     118 79  33
3374   27   46     119 80  36
3375   27   47     120 78  36
3376   27   48     121 77  36
3377   27   49     126 73  34
3378   27   50     132 69  29
3379   27   51     138 61  24
3380   27   52     143 55  17
3381   27   53     143 51  12
3382   27   54     144 50  10
3383   27   55     144 48  12
3384   27   56     139 50  12
3385   27   57     135 47  9
3386   27   58     128 45  5
3387   27   59     127 44  4
3388   27   60     128 46  5
3389   27   61     130 48  7
3390   27   62     133 49  8
3391   27   63     131 49  8
3392   27   64     132 48  7
3393   27   65     130 47  7
3394   27   66     131 50  7
3395   27   67     136 52  7
3396   27   68     136 55  8
3397   27   69     134 53  10
3398   27   70     129 47  6
3399   27   71     118 41  4
3404   27   76     92  45  15
3405   27   77     93  51  19
3406   27   78     94  57  25
3407   27   79     94  65  32
3408   27   80     98  71  38
3409   27   81     101 76  46
3410   27   82     106 81  51
3411   27   83     107 87  53
3412   27   84     109 89  55
3413   27   85     108 88  54
3414   27   86     105 83  54
3415   27   87     99  75  51
3416   27   88     94  66  46
3418   27   90     94  68  58
3419   27   91     107 90  82
3420   27   92     130 116 112
3422   27   94     168 164 163
3488   28   32     158 155 152
3494   28   38     171 169 163
3495   28   39     163 153 144
3496   28   40     151 136 119
3497   28   41     138 119 93
3498   28   42     130 105 75
3499   28   43     127 100 67
3500   28   44     127 100 67
3501   28   45     131 104 71
3502   28   46     134 107 74
3503   28   47     137 104 74
3504   28   48     137 101 70
3505   28   49     137 94  65
3506   28   50     141 88  55
3507   28   51     147 79  44
3508   28   52     150 69  32
3509   28   53     147 59  21
3510   28   54     141 53  15
3511   28   55     138 49  12
3512   28   56     136 48  10
3513   28   57     134 46  8
3514   28   58     132 44  6
3515   28   59     132 44  6
3516   28   60     133 45  7
3517   28   61     134 50  9
3518   28   62     137 51  9
3519   28   63     135 51  10
3520   28   64     133 52  9
3521   28   65     131 49  8
3522   28   66     130 48  7
3523   28   67     128 50  6
3524   28   68     127 49  5
3525   28   69     125 45  4
3526   28   70     119 42  5
3538   28   82     92  65  32
3539   28   83     95  68  35
3540   28   84     95  71  37
3541   28   85     96  72  38
3542   28   86     96  70  39
3543   28   87     94  66  41
3544   28   88     92  62  42
3547   28   91     100 74  66
3548   28   92     116 96  92
3549   28   93     138 124 120
3550   28   94     157 150 146
3613   29   29     176 173 170
3614   29   30     166 163 160
3615   29   31     156 155 146
3616   29   32     154 152 146
3617   29   33     161 158 155
3623   29   39     172 168 165
3624   29   40     165 158 149
3625   29   41     155 145 131
3626   29   42     148 133 116
3627   29   43     145 128 109
3628   29   44     145 130 109
3629   29   45     150 133 114
3630   29   46     153 136 117
3631   29   47     153 136 117
3632   29   48     152 132 112
3633   29   49     151 123 103
3634   29   50     150 113 90
3635   29   51     151 100 73
3636   29   52     147 86  56
3637   29   53     141 69  34
3638   29   54     130 58  19
3639   29   55     127 48  12
3640   29   56     128 47  9
3641   29   57     129 48  10
3642   29   58     132 49  9
3643   29   59     136 47  9
3644   29   60     137 48  10
3645   29   61     140 50  8
3646   29   62     139 53  11
3647   29   63     136 55  12
3648   29   64     134 57  9
3649   29   65     131 54  9
3650   29   66     125 51  8
3651   29   67     121 47  4
3652   29   68     117 43  2
3669   29   85     91  62  29
3670   29   86     91  65  34
3671   29   87     94  64  39
3672   29   88     93  63  41
3673   29   89     91  60  45
3674   29   90     91  60  46
3675   29   91     94  66  55
3676   29   92     106 80  72
3677   29   93     124 103 95
3678   29   94     142 132 125
3679   29   95     159 155 152
3702   29   118    171 168 165
3703   29   119    163 159 156
3704   29   120    158 154 151
3705   29   121    158 156 150
3706   29   122    164 161 158
3741   30   29     174 171 168
3742   30   30     167 162 153
3743   30   31     159 155 144
3744   30   32     159 155 144
3745   30   33     164 162 156
3752   30   40     174 171 168
3753   30   41     168 164 161
3754   30   42     164 157 150
3755   30   43     162 155 146
3756   30   44     163 156 147
3757   30   45     165 160 151
3758   30   46     168 161 154
3759   30   47     168 161 154
3760   30   48     166 159 150
3761   30   49     163 152 141
3762   30   50     163 140 126
3763   30   51     158 124 107
3764   30   52     148 106 81
3765   30   53     133 82  54
3766   30   54     121 60  30
3767   30   55     116 47  15
3768   30   56     117 45  10
3769   30   57     126 47  11
3770   30   58     134 49  14
3771   30   59     139 51  13
3772   30   60     142 52  10
3773   30   61     142 52  10
3774   30   62     140 56  11
3775   30   63     139 58  15
3776   30   64     137 60  15
3777   30   65     132 59  13
3778   30   66     124 56  10
3779   30   67     114 49  6
3780   30   68     107 42  2
3787   30   75     98  44  14
3788   30   76     95  49  18
3789   30   77     91  51  18
3798   30   86     94  65  33
3799   30   87     94  68  39
3800   30   88     94  64  42
3801   30   89     92  61  46
3802   30   90     92  61  47
3803   30   91     93  66  49
3804   30   92     100 71  57
3805   30   93     110 89  77
3806   30   94     130 114 104
3807   30   95     148 141 134
3808   30   96     164 160 159
3830   30   118    161 157 154
3831   30   119    146 139 135
3832   30   120    134 127 120
3833   30   121    134 124 117
3834   30   122    141 134 127
3835   30   123    150 146 143
3836   30   124    162 159 156
3869   31   29     174 168 163
3870   31   30     167 159 147
3871   31   31     162 152 138
3872   31   32     162 156 140
3873   31   33     165 163 157
3883   31   43     174 171 168
3884   31   44     175 172 169
3888   31   48     176 173 170
3889   31   49     173 169 166
3890   31   50     171 160 158
3891   31   51     164 148 138
3892   31   52     151 128 112
3893   31   53     134 97  78
3894   31   54     115 71  44
3895   31   55     105 50  20
3896   31   56     107 43  11
3897   31   57     118 44  11
3898   31   58     129 50  14
3899   31   59     137 54  14
3900   31   60     141 52  14
3901   31   61     141 55  13
3902   31   62     142 58  13
3903   31   63     141 64  16
3904   31   64     140 67  21
3905   31   65     134 68  20
3906   31   66     125 62  17
3907   31   67     113 52  11
3908   31   68     103 43  4
3913   31   73     111 43  6
3914   31   74     108 47  13
3915   31   75     104 50  20
3916   31   76     98  56  24
3917   31   77     94  58  23
3925   31   85     96  67  30
3926   31   86     99  70  37
3927   31   87     101 68  39
3928   31   88     96  66  41
3929   31   89     93  63  41
3930   31   90     93  63  43
3931   31   91     97  63  46
3932   31   92     102 68  51
3933   31   93     108 81  64
3934   31   94     123 100 86
3935   31   95     139 123 113
3936   31   96     152 141 139
3937   31   97     157 153 152
3957   31   117    169 166 163
3958   31   118    148 144 141
3959   31   119    131 114 108
3960   31   120    112 95  85
3961   31   121    109 90  77
3962   31   122    116 102 89
3963   31   123    129 118 107
3964   31   124    144 134 125
3965   31   125    152 147 138
3966   31   126    104 102 96
3997   32   29     170 163 156
3998   32   30     164 151 135
3999   32   31     156 143 126
4000   32   32     154 144 130
4001   32   33     160 153 144
4002   32   34     167 164 161
4018   32   50     177 174 171
4019   32   51     171 164 160
4020   32   52     160 144 134
4021   32   53     138 115 99
4022   32   54     115 84  60
4023   32   55     102 54  30
4024   32   56     101 41  14
4025   32   57     110 41  9
4026   32   58     120 46  12
4027   32   59     132 51  13
4028   32   60     136 53  13
4029   32   61     140 56  11
4030   32   62     140 59  16
4031   32   63     140 65  21
4032   32   64     140 72  26
4033   32   65     136 73  28
4034   32   66     128 68  22
4035   32   67     115 58  15
