INDEX  ROW  COLUMN R   G   B
2373   19   69     182 179 180
2374   19   70     178 183 179
2376   19   72     179 180 176
2377   19   73     179 180 176
2378   19   74     180 178 175
2379   19   75     179 177 175
2380   19   76     182 177 180
2382   19   78     178 180 183
2383   19   79     181 183 180
2387   19   83     181 182 177
2393   19   89     182 183 178
2394   19   90     179 180 182
2396   19   92     177 179 174
2397   19   93     177 174 172
2398   19   94     176 173 171
2399   19   95     174 178 176
2400   19   96     182 177 179
2401   19   97     179 182 183
2463   20   31     179 180 182
2464   20   32     176 172 171
2465   20   33     156 149 140
2466   20   34     139 124 109
2467   20   35     120 109 89
2468   20   36     122 106 85
2469   20   37     122 107 86
2470   20   38     112 97  73
2471   20   39     98  80  54
2494   20   62     99  80  67
2495   20   63     119 110 103
2496   20   64     146 140 139
2497   20   65     166 163 160
2500   20   68     176 179 180
2501   20   69     181 179 172
2502   20   70     178 175 173
2503   20   71     178 173 168
2504   20   72     179 177 165
2505   20   73     180 171 165
2506   20   74     178 174 165
2507   20   75     175 173 167
2509   20   77     182 179 177
2510   20   78     182 178 181
2511   20   79     179 181 176
2512   20   80     178 176 170
2513   20   81     174 176 173
2514   20   82     176 177 173
2517   20   85     182 183 178
2524   20   92     180 181 176
2528   20   96     182 183 178
2591   21   31     178 179 181
2593   21   33     168 164 154
2594   21   34     154 150 143
2595   21   35     150 141 130
2596   21   36     151 143 131
2597   21   37     144 139 127
2598   21   38     128 119 100
2599   21   39     104 89  68
2623   21   63     107 88  74
2624   21   64     130 118 111
2625   21   65     151 146 134
2626   21   66     167 162 153
2627   21   67     171 167 158
2628   21   68     176 172 163
2629   21   69     177 168 162
2630   21   70     178 171 159
2631   21   71     176 169 162
2632   21   72     181 170 157
2633   21   73     176 169 157
2634   21   74     174 171 155
2635   21   75     175 171 162
2636   21   76     176 179 169
2640   21   80     174 178 170
2641   21   81     177 173 171
2642   21   82     174 176 173
2644   21   84     179 178 185
2645   21   85     182 183 179
2720   22   32     181 177 176
2724   22   36     173 171 168
2726   22   38     144 134 125
2727   22   39     111 96  81
2751   22   63     96  69  53
2752   22   64     112 95  80
2753   22   65     131 119 105
2754   22   66     149 138 124
2755   22   67     158 147 134
2756   22   68     165 154 140
2757   22   69     168 157 143
2758   22   70     173 163 145
2759   22   71     177 164 148
2760   22   72     178 165 145
2761   22   73     174 166 147
2762   22   74     176 167 145
2763   22   75     177 170 157
2764   22   76     178 175 165
2765   22   77     179 181 178
2766   22   78     179 180 175
2767   22   79     180 177 174
2768   22   80     176 175 170
2769   22   81     176 175 170
2771   22   83     179 181 178
2773   22   85     183 184 179
2774   22   86     182 184 181
