INDEX  ROW  COLUMN R   G   B
954    15   58     168 127 110
955    15   59     167 127 104
956    15   60     170 134 111
957    15   61     174 144 124
958    15   62     118 99  86
985    16   25     179 176 173
987    16   27     179 176 173
991    16   31     181 177 174
992    16   32     187 167 157
993    16   33     191 148 119
994    16   34     194 124 72
995    16   35     188 107 33
996    16   36     181 103 27
997    16   37     177 115 53
998    16   38     180 134 92
999    16   39     183 152 128
1000   16   40     185 161 147
1001   16   41     182 165 155
1002   16   42     180 166 153
1003   16   43     178 164 148
1004   16   44     179 162 146
1005   16   45     179 162 146
1006   16   46     177 163 150
1007   16   47     176 162 149
1008   16   48     176 155 143
1009   16   49     183 143 129
1010   16   50     187 138 119
1011   16   51     185 136 117
1012   16   52     181 144 125
1013   16   53     177 154 140
1014   16   54     175 165 156
1015   16   55     177 170 163
1016   16   56     176 165 163
1017   16   57     170 159 148
1018   16   58     165 148 138
1019   16   59     165 146 133
1020   16   60     168 154 141
1021   16   61     173 162 151
1022   16   62     117 110 103
1048   17   24     179 176 173
1049   17   25     176 174 168
1050   17   26     175 174 165
1051   17   27     176 174 168
1052   17   28     179 176 173
1055   17   31     181 177 176
1056   17   32     186 168 163
1057   17   33     190 152 134
1058   17   34     191 130 100
1059   17   35     187 113 72
1060   17   36     176 111 68
1061   17   37     172 125 90
1062   17   38     175 142 123
1063   17   39     179 159 149
1064   17   40     181 164 156
1065   17   41     181 158 151
1066   17   42     180 151 137
1067   17   43     176 151 134
1068   17   44     177 154 140
1069   17   45     177 163 150
1070   17   46     175 168 159
1071   17   47     171 164 157
1072   17   48     172 155 149
1073   17   49     175 143 130
1074   17   50     181 132 120
1075   17   51     185 130 114
1076   17   52     181 140 123
1077   17   53     177 153 139
1078   17   54     177 164 158
1079   17   55     177 173 170
1081   17   57     173 170 167
1082   17   58     168 164 161
1083   17   59     167 163 160
1084   17   60     170 166 163
1085   17   61     175 172 169
1113   18   25     175 174 165
1114   18   26     176 171 162
1115   18   27     175 174 165
1119   18   31     181 178 175
1120   18   32     184 169 165
1121   18   33     190 152 142
1122   18   34     192 133 114
1123   18   35     187 118 94
1124   18   36     180 119 94
1125   18   37     176 134 109
1126   18   38     176 147 133
1127   18   39     179 156 149
1128   18   40     182 151 146
1129   18   41     182 141 129
1130   18   42     181 126 110
1131   18   43     177 126 102
1132   18   44     177 135 110
1133   18   45     178 147 133
1134   18   46     178 161 153
1135   18   47     172 165 158
1136   18   48     172 159 153
1137   18   49     176 145 134
1138   18   50     181 135 120
1139   18   51     185 130 114
1140   18   52     183 140 121
1141   18   53     181 152 138
1142   18   54     177 167 160
1143   18   55     178 175 172
1146   18   58     177 174 171
1176   19   24     179 176 173
1177   19   25     176 174 168
1178   19   26     175 174 165
1179   19   27     176 174 168
1180   19   28     179 176 173
1184   19   32     187 167 166
1185   19   33     192 150 145
1186   19   34     195 133 116
1187   19   35     193 120 93
1188   19   36     188 122 94
1189   19   37     184 132 110
1190   19   38     181 146 131
1191   19   39     182 148 140
1192   19   40     181 143 133
1193   19   41     181 128 114
1194   19   42     181 113 91
1195   19   43     178 109 77
1196   19   44     180 114 83
1197   19   45     183 131 109
1198   19   46     182 151 137
1199   19   47     180 163 155
1200   19   48     177 162 158
1201   19   49     176 153 146
1202   19   50     180 143 132
1203   19   51     184 140 125
1204   19   52     183 148 133
1205   19   53     180 160 150
1206   19   54     179 168 166
1207   19   55     179 176 173
1208   19   56     181 178 175
1241   20   25     178 176 170
1248   20   32     187 167 166
1249   20   33     193 152 140
1250   20   34     198 130 108
1251   20   35     197 116 78
1252   20   36     198 114 69
1253   20   37     194 123 86
1254   20   38     189 137 111
1255   20   39     186 143 130
1256   20   40     183 142 132
1257   20   41     180 131 119
1258   20   42     183 118 98
1259   20   43     181 111 82
1260   20   44     182 110 82
1261   20   45     185 124 99
1262   20   46     187 141 126
1263   20   47     184 158 150
1264   20   48     182 164 159
1265   20   49     180 163 157
1266   20   50     178 157 145
1267   20   51     179 155 141
1268   20   52     180 159 147
1269   20   53     180 165 161
1270   20   54     180 173 169
1272   20   56     181 174 170
1273   20   57     182 171 169
1274   20   58     181 174 167
1275   20   59     181 174 170
1276   20   60     181 174 170
1277   20   61     182 175 171
1278   20   62     121 117 114
1290   21   10     106 103 100
1306   21   26     178 176 170
1308   21   28     181 178 175
1311   21   31     181 177 176
1312   21   32     185 170 166
1313   21   33     191 154 143
1314   21   34     194 136 105
1315   21   35     197 116 69
1316   21   36     195 110 54
1317   21   37     194 116 67
1318   21   38     193 129 97
1319   21   39     186 142 127
1320   21   40     182 148 140
1321   21   41     178 147 138
1322   21   42     180 139 127
1323   21   43     181 133 111
1324   21   44     183 125 102
1325   21   45     183 128 108
1326   21   46     187 135 120
1327   21   47     184 150 142
1328   21   48     182 161 153
1329   21   49     181 164 158
1330   21   50     178 162 152
1331   21   51     180 161 148
1332   21   52     179 163 153
1333   21   53     181 168 162
1334   21   54     180 169 167
1335   21   55     184 167 161
1336   21   56     184 161 154
1337   21   57     185 159 149
1338   21   58     185 159 149
1339   21   59     186 160 150
1340   21   60     184 163 151
1341   21   61     188 162 154
1342   21   62     124 109 105
1354   22   10     107 105 93
1355   22   11     133 131 125
1356   22   12     161 158 155
1358   22   14     181 177 174
1359   22   15     180 178 172
1366   22   22     180 177 174
1367   22   23     179 173 168
1368   22   24     175 171 160
1369   22   25     177 169 157
1370   22   26     176 172 161
1371   22   27     179 173 168
1372   22   28     181 174 170
1373   22   29     182 171 169
1374   22   30     180 173 166
1375   22   31     181 174 170
1376   22   32     183 173 166
1377   22   33     184 164 151
1378   22   34     188 148 115
1379   22   35     191 129 78
1380   22   36     194 114 55
1381   22   37     193 114 62
1382   22   38     191 127 94
1383   22   39     186 145 128
1384   22   40     180 160 150
1385   22   41     176 161 157
1386   22   42     177 160 152
1387   22   43     178 152 142
1388   22   44     181 144 133
1389   22   45     180 139 127
1390   22   46     181 138 125
1391   22   47     181 144 133
1392   22   48     181 153 142
1393   22   49     180 160 150
1394   22   50     179 162 146
1395   22   51     178 163 146
1396   22   52     178 164 148
1397   22   53     180 168 155
1398   22   54     184 164 154
1399   22   55     187 156 141
1400   22   56     190 146 126
1401   22   57     192 141 113
1402   22   58     192 142 109
1403   22   59     194 140 110
1404   22   60     195 141 114
1405   22   61     196 142 121
1406   22   62     129 97  84
1418   23   10     107 104 89
1419   23   11     133 132 123
1420   23   12     163 157 152
1421   23   13     175 168 161
1422   23   14     183 173 161
1423   23   15     182 173 154
1424   23   16     180 174 156
1425   23   17     179 176 161
1426   23   18     182 175 166
1427   23   19     182 175 168
1428   23   20     182 175 168
1429   23   21     183 173 166
1430   23   22     180 170 158
1431   23   23     180 165 144
