INDEX  ROW  COLUMN R   G   B
872    7    104    100 98  96
947    8    51     145 143 141
948    8    52     145 143 141
949    8    53     146 144 142
950    8    54     146 144 142
951    8    55     145 143 141
952    8    56     144 141 139
953    8    57     144 141 139
954    8    58     146 144 142
1001   8    105    134 131 129
1002   8    106    128 124 121
1003   8    107    124 120 117
1004   8    108    123 119 116
1005   8    109    123 119 116
1006   8    110    123 119 116
1007   8    111    123 119 116
1008   8    112    123 119 116
1009   8    113    123 119 116
1010   8    114    123 119 116
1011   8    115    123 119 116
1012   8    116    123 119 116
1013   8    117    122 119 117
1014   8    118    124 119 117
1015   8    119    124 119 117
1016   8    120    124 119 117
1017   8    121    124 119 117
1018   8    122    124 119 117
1019   8    123    122 119 117
1020   8    124    122 119 117
1021   8    125    123 119 116
1022   8    126    123 119 116
1023   8    127    122 119 117
1024   8    128    122 119 117
1072   9    48     167 165 163
1073   9    49     161 158 156
1074   9    50     156 152 149
1075   9    51     153 148 144
1076   9    52     153 148 143
1077   9    53     154 149 144
1078   9    54     156 149 144
1079   9    55     153 148 143
1080   9    56     153 146 141
1081   9    57     153 148 143
1082   9    58     158 154 151
1083   9    59     164 162 160
1131   9    107    159 157 155
1132   9    108    158 156 154
1133   9    109    158 156 154
1134   9    110    158 156 154
1135   9    111    158 156 154
1136   9    112    158 156 154
1137   9    113    158 156 154
1138   9    114    158 156 154
1139   9    115    158 156 154
1140   9    116    158 156 154
1141   9    117    158 156 154
1148   9    124    158 156 154
1149   9    125    158 156 154
1150   9    126    158 156 154
1151   9    127    158 156 154
1152   9    128    158 156 154
1200   10   48     167 163 160
1201   10   49     157 152 148
1202   10   50     149 141 135
1203   10   51     144 135 128
1204   10   52     143 133 126
1205   10   53     143 134 125
1206   10   54     143 133 124
1207   10   55     142 132 123
1208   10   56     142 132 123
1209   10   57     147 137 130
1210   10   58     155 148 143
1211   10   59     165 161 158
1324   11   44     170 168 166
1325   11   45     166 163 161
1326   11   46     163 160 158
1327   11   47     160 155 153
1328   11   48     154 147 143
1329   11   49     144 135 128
1330   11   50     132 122 113
1331   11   51     125 113 102
1332   11   52     123 107 97
1333   11   53     121 106 93
1334   11   54     119 104 91
1335   11   55     119 104 91
1336   11   56     123 108 95
1337   11   57     131 119 108
1338   11   58     144 135 126
1339   11   59     159 152 147
1340   11   60     169 167 164
1451   12   43     166 163 161
1452   12   44     159 154 152
1453   12   45     151 146 144
1454   12   46     146 141 137
1455   12   47     143 136 132
1456   12   48     136 128 122
1457   12   49     128 115 108
1458   12   50     118 102 92
1459   12   51     109 93  79
1460   12   52     103 86  72
1461   12   53     100 81  65
1462   12   54     97  78  62
1463   12   55     98  79  61
1464   12   56     105 86  70
1465   12   57     118 101 87
1466   12   58     134 122 110
1467   12   59     150 143 135
1468   12   60     165 161 158
1469   12   61     175 173 171
1571   13   35     174 172 170
1572   13   36     170 168 165
1573   13   37     168 164 161
1574   13   38     166 162 159
1575   13   39     165 161 158
1576   13   40     164 160 157
1577   13   41     162 158 155
1578   13   42     158 154 149
1579   13   43     149 144 139
1580   13   44     139 131 125
1581   13   45     128 119 112
1582   13   46     121 111 104
1583   13   47     117 107 98
1584   13   48     114 102 93
1585   13   49     108 92  82
1586   13   50     101 82  70
1587   13   51     93  74  58
1593   13   57     105 84  66
1594   13   58     122 106 90
1595   13   59     141 130 120
1596   13   60     158 152 145
1597   13   61     170 167 165
1698   14   34     171 169 167
1699   14   35     163 159 154
1700   14   36     154 148 141
1701   14   37     146 141 132
1702   14   38     142 135 127
1703   14   39     140 133 125
1704   14   40     140 131 124
1705   14   41     138 129 120
1706   14   42     134 125 115
1707   14   43     127 116 106
1708   14   44     115 103 92
1709   14   45     105 91  79
1710   14   46     97  83  71
1711   14   47     93  79  67
1712   14   48     93  77  63
1713   14   49     91  71  57
1721   14   57     93  67  48
1722   14   58     108 87  72
1723   14   59     126 112 100
1724   14   60     144 135 128
1725   14   61     159 155 150
1726   14   62     169 167 165
1758   14   94     177 175 173
1759   14   95     176 174 172
1825   15   33     174 172 170
1826   15   34     163 158 154
1827   15   35     147 140 132
1828   15   36     133 121 110
1829   15   37     123 109 95
1830   15   38     117 103 88
1831   15   39     116 100 84
1832   15   40     115 99  83
1833   15   41     113 97  81
1834   15   42     110 94  78
1835   15   43     104 87  71
1836   15   44     96  77  61
1850   15   58     94  68  52
1851   15   59     108 88  74
1852   15   60     124 110 102
1853   15   61     140 133 126
1854   15   62     154 150 147
1855   15   63     165 163 161
1886   15   94     173 170 168
1887   15   95     171 169 166
1888   15   96     172 170 168
1953   16   33     170 167 165
