INDEX  ROW  COLUMN R   G   B
2369   38   1      255 73  11
2370   38   2      255 84  24
2371   38   3      255 76  30
2373   38   5      255 69  52
2374   38   6      255 69  52
2376   38   8      255 69  52
2377   38   9      255 69  52
2378   38   10     240 70  61
2443   39   11     255 95  6
2445   39   13     255 96  14
2446   39   14     255 108 7
2448   39   16     255 126 14
2449   39   17     244 118 36
2450   39   18     216 125 43
2451   39   19     199 125 52
2454   39   22     176 123 69
2457   39   25     135 130 83
2462   39   30     255 190 1
2497   40   1      218 97  20
2498   40   2      217 102 16
2499   40   3      201 103 28
2500   40   4      167 93  53
2501   40   5      167 93  53
2502   40   6      167 93  53
2503   40   7      167 93  53
2506   40   10     145 106 52
2510   40   14     139 105 63
2511   40   15     139 134 32
2513   40   17     141 118 45
2543   40   47     234 68  10
2545   40   49     249 45  11
2546   40   50     255 55  8
2549   40   53     255 52  3
2551   40   55     255 52  1
2552   40   56     255 41  18
2557   40   61     188 46  43
2562   41   2      164 52  44
2563   41   3      162 64  38
2564   41   4      164 64  40
2565   41   5      164 64  40
2566   41   6      164 64  40
2567   41   7      164 64  40
2568   41   8      164 64  40
2569   41   9      164 64  40
2571   41   11     140 107 32
2572   41   12     124 106 33
2575   41   15     114 111 39
2615   41   55     234 77  7
2616   41   56     225 80  12
2617   41   57     204 64  22
2620   41   60     193 50  41
2663   42   39     198 61  23
