INDEX  ROW  COLUMN R   G   B
550    5    38     92  77  63
551    5    39     255 245 234
552    5    40     213 197 180
553    5    41     141 125 110
554    5    42     175 159 145
555    5    43     92  74  64
675    6    35     134 109 98
677    6    37     167 154 146
679    6    39     181 170 159
680    6    40     243 233 218
681    6    41     123 108 97
682    6    42     154 141 134
683    6    43     249 236 228
684    6    44     133 119 103
800    7    32     108 86  75
801    7    33     95  73  66
802    7    34     107 86  76
803    7    35     104 86  78
804    7    36     205 196 188
805    7    37     224 215 206
806    7    38     187 173 169
811    7    43     255 248 241
812    7    44     196 185 173
939    8    43     126 106 85
940    8    44     245 236 214
941    8    45     121 109 83
1054   9    30     99  77  56
1064   9    40     93  67  42
1066   9    42     102 62  46
1068   9    44     156 142 125
1069   9    45     180 170 153
1186   10   34     96  78  61
1187   10   35     131 108 92
1189   10   37     94  73  52
1191   10   39     94  68  53
1194   10   42     106 58  47
1197   10   45     145 131 119
1198   10   46     164 153 138
1308   11   28     104 79  58
1309   11   29     96  70  51
1310   11   30     98  76  56
1311   11   31     111 85  65
1312   11   32     123 97  77
1313   11   33     101 78  57
1314   11   34     119 91  74
1317   11   37     95  71  51
1319   11   39     100 73  54
1321   11   41     91  63  47
1322   11   42     116 70  58
1323   11   43     92  58  43
1325   11   45     92  77  62
1359   11   79     162 134 103
1360   11   80     158 137 117
1361   11   81     139 113 94
1430   12   22     110 87  61
1431   12   23     118 95  69
1432   12   24     94  71  45
1433   12   25     101 78  51
1435   12   27     115 90  61
1436   12   28     118 87  67
1437   12   29     116 91  65
1438   12   30     140 111 90
1439   12   31     171 142 117
1440   12   32     187 159 138
1441   12   33     153 124 99
1446   12   38     94  66  45
1449   12   41     105 75  58
1450   12   42     102 64  50
1452   12   44     91  59  47
1454   12   46     106 84  73
1558   13   22     128 96  72
1559   13   23     131 102 76
1560   13   24     136 107 81
1561   13   25     155 126 102
1562   13   26     157 129 104
1563   13   27     162 136 106
1564   13   28     161 138 116
1565   13   29     152 127 103
1566   13   30     131 104 82
1567   13   31     118 95  69
1568   13   32     92  69  44
1573   13   37     91  66  43
1574   13   38     98  70  49
1575   13   39     94  62  44
1576   13   40     107 77  63
1578   13   42     92  63  50
1583   13   47     175 151 136
1584   13   48     155 136 120
1689   14   25     119 99  77
1698   14   34     102 78  58
1701   14   37     94  70  43
1702   14   38     98  71  49
1704   14   40     111 85  69
1708   14   44     97  59  48
1709   14   45     102 60  51
1710   14   46     99  62  51
1712   14   48     153 136 121
1713   14   49     160 159 153
1822   15   30     95  68  45
1824   15   32     100 73  50
1826   15   34     97  68  46
1827   15   35     91  68  44
1828   15   36     92  70  45
1829   15   37     91  67  44
1831   15   39     108 81  62
1832   15   40     95  60  49
1835   15   43     108 74  57
1836   15   44     121 80  69
1838   15   46     113 75  61
1839   15   47     107 69  53
1842   15   50     144 118 108
1849   15   57     153 132 98
1850   15   58     255 235 210
1851   15   59     227 207 182
1852   15   60     225 202 172
1853   15   61     213 190 162
1854   15   62     162 138 91
1859   15   67     169 142 97
1860   15   68     197 170 134
1861   15   69     187 172 127
1947   16   27     97  67  35
1949   16   29     92  66  44
1950   16   30     97  71  49
1953   16   33     91  65  41
1954   16   34     98  71  48
1955   16   35     93  72  47
1956   16   36     94  70  44
1958   16   38     101 71  54
1963   16   43     140 105 90
1964   16   44     97  58  44
1966   16   46     128 91  76
1967   16   47     114 74  61
1968   16   48     93  53  39
1969   16   49     94  63  57
1971   16   51     95  84  67
1973   16   53     202 190 163
1974   16   54     105 85  62
1975   16   55     220 207 183
1976   16   56     255 238 214
1977   16   57     248 230 206
1978   16   58     255 243 228
1979   16   59     240 232 213
1980   16   60     245 233 215
1981   16   61     240 226 211
1982   16   62     217 203 163
2076   17   28     91  63  43
2077   17   29     93  67  44
2078   17   30     93  67  45
2081   17   33     102 75  52
2082   17   34     100 77  55
2083   17   35     93  71  45
2084   17   36     94  70  45
2085   17   37     92  63  42
2086   17   38     97  66  48
2088   17   40     161 132 119
2089   17   41     105 72  60
2090   17   42     114 70  54
2091   17   43     139 100 84
2093   17   45     101 60  44
2094   17   46     124 86  71
2095   17   47     104 66  48
2097   17   49     101 63  57
2100   17   52     170 147 131
2101   17   53     255 252 237
2104   17   56     255 242 226
2105   17   57     239 228 212
2106   17   58     242 234 217
2107   17   59     254 244 225
2108   17   60     251 240 225
2109   17   61     249 235 223
2110   17   62     250 240 211
2204   18   28     100 71  47
2205   18   29     91  65  41
2207   18   31     96  70  46
2209   18   33     104 78  54
2210   18   34     92  68  43
2211   18   35     98  71  49
2213   18   37     95  65  44
2214   18   38     102 74  55
2215   18   39     95  64  44
2216   18   40     132 98  85
2217   18   41     163 130 116
2218   18   42     143 90  76
2219   18   43     130 84  71
2220   18   44     128 82  70
2221   18   45     110 66  51
2222   18   46     119 77  60
2223   18   47     101 65  47
2224   18   48     107 67  54
2225   18   49     97  53  44
2226   18   50     106 66  56
2227   18   51     99  63  52
2228   18   52     91  54  41
2232   18   56     186 165 148
2332   19   28     104 71  51
2335   19   31     93  67  44
2337   19   33     101 75  53
2338   19   34     91  68  44
2340   19   36     95  71  47
2341   19   37     102 70  50
2342   19   38     113 81  64
2343   19   39     132 97  80
2346   19   42     143 85  74
2347   19   43     134 83  69
2348   19   44     159 110 94
2349   19   45     124 77  64
2350   19   46     98  55  38
2351   19   47     114 72  57
2352   19   48     106 69  52
2353   19   49     103 58  48
2354   19   50     114 70  59
2355   19   51     103 61  47
2356   19   52     101 57  46
2357   19   53     99  60  47
2358   19   54     100 67  52
2361   19   57     160 128 113
2362   19   58     129 103 86
2363   19   59     100 71  60
2365   19   61     131 106 96
2366   19   62     176 160 141
2367   19   63     242 223 209
2368   19   64     162 140 125
2369   19   65     117 101 85
2375   19   71     241 214 171
2379   19   75     255 246 208
2380   19   76     255 251 232
2381   19   77     163 145 126
2460   20   28     108 77  52
2462   20   30     99  73  50
2463   20   31     99  74  51
2465   20   33     98  72  49
2467   20   35     102 72  51
2468   20   36     113 85  60
2469   20   37     93  61  44
2470   20   38     95  63  45
2474   20   42     133 69  53
2475   20   43     158 100 89
2476   20   44     162 113 101
2477   20   45     137 90  73
2479   20   47     140 100 84
2480   20   48     101 65  45
2481   20   49     107 68  53
2482   20   50     122 77  61
2483   20   51     112 64  49
2484   20   52     115 61  49
2485   20   53     108 63  47
2488   20   56     173 119 97
2489   20   57     122 78  56
2490   20   58     109 65  46
2496   20   64     186 159 146
2497   20   65     255 239 225
2500   20   68     255 254 219
2502   20   70     247 226 186
2504   20   72     244 234 203
2507   20   75     255 252 220
2509   20   77     244 227 217
2588   21   28     112 85  57
2589   21   29     94  69  45
2590   21   30     118 93  70
2591   21   31     109 85  63
2592   21   32     100 71  49
2593   21   33     113 89  67
2594   21   34     108 86  63
2595   21   35     109 75  56
2596   21   36     111 80  57
2598   21   38     126 99  81
2599   21   39     97  71  56
2601   21   41     104 60  47
2603   21   43     178 124 112
2604   21   44     228 180 163
2605   21   45     133 83  69
2607   21   47     132 94  74
2608   21   48     114 83  62
2609   21   49     121 83  66
2610   21   50     125 80  66
2611   21   51     134 79  68
2612   21   52     128 76  63
2613   21   53     120 76  63
2615   21   55     143 94  69
2616   21   56     255 221 192
2617   21   57     184 125 101
2618   21   58     189 130 115
2619   21   59     113 63  48
2621   21   61     94  41  34
2633   21   73     131 117 102
2638   21   78     130 125 118
2717   22   29     135 100 65
2718   22   30     125 92  59
2719   22   31     132 99  67
2720   22   32     134 105 69
2721   22   33     133 104 71
2722   22   34     134 100 67
2723   22   35     143 107 71
2724   22   36     155 117 89
2725   22   37     135 98  73
2726   22   38     201 153 139
2727   22   39     193 130 116
2728   22   40     255 170 155
2729   22   41     242 151 134
2731   22   43     235 171 156
2732   22   44     250 193 179
2735   22   47     116 78  63
2736   22   48     125 80  67
2737   22   49     136 82  65
2738   22   50     138 84  68
2739   22   51     135 86  70
2740   22   52     124 77  60
2741   22   53     139 92  75
2742   22   54     126 78  59
2743   22   55     163 106 85
2744   22   56     222 162 141
2745   22   57     121 71  52
2746   22   58     174 124 106
2747   22   59     118 76  60
2754   22   66     94  72  58
2755   22   67     115 94  81
2757   22   69     110 96  77
2758   22   70     155 139 124
2759   22   71     200 185 166
2760   22   72     151 132 117
2761   22   73     122 106 91
2762   22   74     110 94  73
2763   22   75     118 102 80
2764   22   76     91  81  90
2765   22   77     98  81  80
2846   23   30     148 124 100
2853   23   37     109 87  70
2855   23   39     255 208 196
2856   23   40     255 188 167
2859   23   43     220 168 155
2860   23   44     141 93  81
2863   23   47     106 62  51
2864   23   48     132 83  67
2865   23   49     129 77  60
2866   23   50     148 102 83
2867   23   51     151 102 85
2868   23   52     136 90  69
2869   23   53     140 94  75
2870   23   54     127 84  61
2871   23   55     153 103 86
2873   23   57     181 134 114
2874   23   58     182 138 125
2875   23   59     91  51  36
2876   23   60     101 63  48
2878   23   62     95  63  54
