INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
129    3    1      |0   0   0  | 17  27  37
130    3    2      |0   0   0  | 77  87  97
131    3    3      |0   0   0  | 137 147 157
132    3    4      |0   0   0  | 197 207 217
193    4    1      |0   0   0  | 17  27  37
194    4    2      |0   0   0  | 77  87  97
195    4    3      |0   0   0  | 137 147 157
196    4    4      |0   0   0  | 197 207 217
257    5    1      |0   0   0  | 17  27  37
258    5    2      |0   0   0  | 77  87  97
259    5    3      |0   0   0  | 137 147 157
260    5    4      |0   0   0  | 197 207 217
321    6    1      |0   0   0  | 17  27  37
322    6    2      |0   0   0  | 77  87  97
323    6    3      |0   0   0  | 137 147 157
324    6    4      |0   0   0  | 197 207 217
385    7    1      |0   0   0  | 17  27  37
386    7    2      |0   0   0  | 77  87  97
387    7    3      |0   0   0  | 137 147 157
388    7    4      |0   0   0  | 197 207 217
449    8    1      |0   0   0  | 17  27  37
450    8    2      |0   0   0  | 77  87  97
451    8    3      |0   0   0  | 137 147 157
452    8    4      |0   0   0  | 197 207 217
513    9    1      |0   0   0  | 17  27  37
514    9    2      |0   0   0  | 77  87  97
515    9    3      |0   0   0  | 137 147 157
516    9    4      |0   0   0  | 197 207 217
577    10   1      |0   0   0  | 17  27  37
578    10   2      |0   0   0  | 77  87  97
579    10   3      |0   0   0  | 137 147 157
580    10   4      |0   0   0  | 197 207 217
641    11   1      |0   0   0  | 17  27  37
642    11   2      |0   0   0  | 77  87  97
643    11   3      |0   0   0  | 137 147 157
644    11   4      |0   0   0  | 197 207 217
705    12   1      |0   0   0  | 17  27  37
706    12   2      |0   0   0  | 77  87  97
707    12   3      |0   0   0  | 137 147 157
708    12   4      |0   0   0  | 197 207 217
769    13   1      |0   0   0  | 17  27  37
770    13   2      |0   0   0  | 77  87  97
771    13   3      |0   0   0  | 137 147 157
772    13   4      |0   0   0  | 197 207 217
833    14   1      |0   0   0  | 17  27  37
834    14   2      |0   0   0  | 77  87  97
835    14   3      |0   0   0  | 137 147 157
836    14   4      |0   0   0  | 197 207 217
897    15   1      |0   0   0  | 17  27  37
898    15   2      |0   0   0  | 77  87  97
899    15   3      |0   0   0  | 137 147 157
900    15   4      |0   0   0  | 197 207 217
961    16   1      |0   0   0  | 17  27  37
962    16   2      |0   0   0  | 77  87  97
963    16   3      |0   0   0  | 137 147 157
964    16   4      |0   0   0  | 197 207 217
1025   17   1      |0   0   0  | 17  27  37
1026   17   2      |0   0   0  | 77  87  97
1027   17   3      |0   0   0  | 137 147 157
1028   17   4      |0   0   0  | 197 207 217
1089   18   1      |0   0   0  | 17  27  37
1090   18   2      |0   0   0  | 77  87  97
1091   18   3      |0   0   0  | 137 147 157
1092   18   4      |0   0   0  | 197 207 217
1153   19   1      |0   0   0  | 17  27  37
1154   19   2      |0   0   0  | 77  87  97
1155   19   3      |0   0   0  | 137 147 157
1156   19   4      |0   0   0  | 197 207 217
1217   20   1      |0   0   0  | 17  27  37
1218   20   2      |0   0   0  | 77  87  97
1219   20   3      |0   0   0  | 137 147 157
1220   20   4      |0   0   0  | 197 207 217
1281   21   1      |0   0   0  | 17  27  37
1282   21   2      |0   0   0  | 77  87  97
1283   21   3      |0   0   0  | 137 147 157
1284   21   4      |0   0   0  | 197 207 217
1345   22   1      |0   0   0  | 17  27  37
1346   22   2      |0   0   0  | 77  87  97
1347   22   3      |0   0   0  | 137 147 157
1348   22   4      |0   0   0  | 197 207 217
1409   23   1      |0   0   0  | 17  27  37
1410   23   2      |0   0   0  | 77  87  97
1411   23   3      |0   0   0  | 137 147 157
1412   23   4      |0   0   0  | 197 207 217
1473   24   1      |0   0   0  | 17  27  37
1474   24   2      |0   0   0  | 77  87  97
1475   24   3      |0   0   0  | 137 147 157
1476   24   4      |0   0   0  | 197 207 217
1537   25   1      |0   0   0  | 17  27  37
1538   25   2      |0   0   0  | 77  87  97
1539   25   3      |0   0   0  | 137 147 157
1540   25   4      |0   0   0  | 197 207 217
1601   26   1      |0   0   0  | 17  27  37
1602   26   2      |0   0   0  | 77  87  97
1603   26   3      |0   0   0  | 137 147 157
1604   26   4      |0   0   0  | 197 207 217
1665   27   1      |0   0   0  | 17  27  37
1666   27   2      |0   0   0  | 77  87  97
1667   27   3      |0   0   0  | 137 147 157
1668   27   4      |0   0   0  | 197 207 217
1729   28   1      |0   0   0  | 17  27  37
1730   28   2      |0   0   0  | 77  87  97
1731   28   3      |0   0   0  | 137 147 157
1732   28   4      |0   0   0  | 197 207 217
1793   29   1      |0   0   0  | 17  27  37
