INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
1      1    1      |0   0   0  | 132 12  195
2      1    2      |0   0   0  | 131 123 132
3      1    3      |0   0   0  | 112 37  59
4      1    4      |0   0   0  | 112 20  119
9      1    9      |0   0   0  | 112 15  163
10     1    10     |0   0   0  | 112 11  223
13     1    13     |0   0   0  | 112 16  147
14     1    14     |0   0   0  | 112 12  207
17     1    17     |0   0   0  | 112 18  131
18     1    18     |0   0   0  | 132 13  191
21     1    21     |0   0   0  | 112 20  115
22     1    22     |0   0   0  | 112 14  175
26     1    26     |0   0   0  | 112 15  159
27     1    27     |0   0   0  | 112 11  219
30     1    30     |0   0   0  | 112 17  143
31     1    31     |0   0   0  | 112 12  203
34     1    34     |0   0   0  | 112 19  127
35     1    35     |0   0   0  | 132 13  187
38     1    38     |0   0   0  | 112 21  111
39     1    39     |0   0   0  | 112 14  171
43     1    43     |0   0   0  | 112 16  155
44     1    44     |0   0   0  | 112 11  215
47     1    47     |0   0   0  | 112 17  139
48     1    48     |0   0   0  | 112 12  199
51     1    51     |0   0   0  | 112 19  123
52     1    52     |0   0   0  | 112 13  183
55     1    55     |0   0   0  | 112 22  107
56     1    56     |0   0   0  | 112 14  167
60     1    60     |0   0   0  | 112 16  151
61     1    61     |0   0   0  | 112 12  211
64     1    64     |0   0   0  | 112 102 15
65     2    1      |0   0   0  | 132 12  195
66     2    2      |0   0   0  | 131 123 132
67     2    3      |0   0   0  | 112 37  59
68     2    4      |0   0   0  | 112 20  119
74     2    10     |0   0   0  | 112 11  223
75     2    11     |0   0   0  | 112 69  27
78     2    14     |0   0   0  | 112 12  207
79     2    15     |0   0   0  | 112 122 11
82     2    18     |0   0   0  | 132 13  191
83     2    19     |0   0   0  | 131 125 128
86     2    22     |0   0   0  | 112 14  175
87     2    23     |0   0   0  | 112 10  235
91     2    27     |0   0   0  | 112 11  219
92     2    28     |0   0   0  | 112 78  23
95     2    31     |0   0   0  | 112 12  203
96     2    32     |0   0   0  | 92  124 130
99     2    35     |0   0   0  | 132 13  187
100    2    36     |0   0   0  | 131 127 124
103    2    39     |0   0   0  | 112 14  171
104    2    40     |0   0   0  | 112 11  231
108    2    44     |0   0   0  | 112 11  215
109    2    45     |0   0   0  | 112 88  19
112    2    48     |0   0   0  | 112 12  199
113    2    49     |0   0   0  | 92  126 126
116    2    52     |0   0   0  | 112 13  183
117    2    53     |0   0   0  | 112 10  243
120    2    56     |0   0   0  | 112 14  167
121    2    57     |0   0   0  | 112 11  227
125    2    61     |0   0   0  | 112 12  211
126    2    62     |0   0   0  | 112 102 15
129    3    1      |0   0   0  | 132 12  195
130    3    2      |0   0   0  | 131 123 132
131    3    3      |0   0   0  | 112 37  59
132    3    4      |0   0   0  | 112 20  119
193    4    1      |0   0   0  | 132 12  195
194    4    2      |0   0   0  | 131 123 132
195    4    3      |0   0   0  | 112 37  59
