INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
1      1    1      |0   0   0  | 128 27  189
2      1    2      |0   0   0  | 128 20  249
3      1    3      |0   0   0  | 128 96  53
4      1    4      |0   0   0  | 128 45  113
9      1    9      |0   0   0  | 128 32  157
10     1    10     |0   0   0  | 128 24  217
13     1    13     |0   0   0  | 128 36  141
14     1    14     |0   0   0  | 128 25  201
17     1    17     |0   0   0  | 128 41  125
18     1    18     |0   0   0  | 128 28  185
21     1    21     |0   0   0  | 128 47  109
22     1    22     |0   0   0  | 128 30  169
26     1    26     |0   0   0  | 128 33  153
27     1    27     |0   0   0  | 128 24  213
30     1    30     |0   0   0  | 128 37  137
31     1    31     |0   0   0  | 128 26  197
34     1    34     |0   0   0  | 128 42  121
35     1    35     |0   0   0  | 128 28  181
38     1    38     |0   0   0  | 128 49  105
39     1    39     |0   0   0  | 128 31  165
43     1    43     |0   0   0  | 128 34  149
44     1    44     |0   0   0  | 128 24  209
47     1    47     |0   0   0  | 128 38  133
48     1    48     |0   0   0  | 128 26  193
51     1    51     |0   0   0  | 128 44  117
52     1    52     |0   0   0  | 128 29  177
55     1    55     |0   0   0  | 128 50  101
56     1    56     |0   0   0  | 128 32  161
60     1    60     |0   0   0  | 128 204 25
61     1    61     |0   0   0  | 128 204 25
64     1    64     |0   0   0  | 128 204 25
65     2    1      |0   0   0  | 128 27  189
66     2    2      |0   0   0  | 128 20  249
67     2    3      |0   0   0  | 128 96  53
68     2    4      |0   0   0  | 128 45  113
74     2    10     |0   0   0  | 128 24  217
75     2    11     |0   0   0  | 128 243 21
78     2    14     |0   0   0  | 128 25  201
79     2    15     |0   0   0  | 245 250 251
82     2    18     |0   0   0  | 128 28  185
83     2    19     |0   0   0  | 128 21  245
86     2    22     |0   0   0  | 128 30  169
87     2    23     |0   0   0  | 128 22  229
91     2    27     |0   0   0  | 128 24  213
92     2    28     |0   0   0  | 10  248 253
95     2    31     |0   0   0  | 128 26  197
96     2    32     |0   0   0  | 245 254 247
