INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
811    7    43     |151 152 158| 1   1   1
824    7    56     |122 132 138| 1   1   1
837    7    69     |141 133 121| 1   1   1
844    7    76     |96  69  55 | 1   1   1
931    8    35     |133 138 142| 1   1   1
932    8    36     |150 155 162| 1   2   1
935    8    39     |140 155 160| 1   1   1
939    8    43     |153 154 159| 2   2   1
940    8    44     |173 171 167| 2   1   1
944    8    48     |175 175 179| 1   1   1
946    8    50     |139 146 156| 1   1   3
948    8    52     |126 138 144| 2   1   1
949    8    53     |122 133 139| 2   1   2
950    8    54     |126 138 140| 3   1   1
952    8    56     |123 134 140| 1   1   2
956    8    60     |135 133 121| 1   1   1
957    8    61     |137 131 118| 1   1   1
958    8    62     |139 133 118| 1   1   1
965    8    69     |146 135 122| 1   1   2
967    8    71     |151 134 116| 1   2   1
969    8    73     |133 109 90 | 1   1   2
1019   8    123    |84  83  88 | 1   1   1
1037   9    13     |80  79  86 | 1   1   2
1041   9    17     |154 150 159| 1   1   1
1058   9    34     |134 138 144| 1   2   2
1059   9    35     |138 143 147| 1   1   3
1063   9    39     |129 142 148| 1   2   2
1064   9    40     |134 148 157| 1   3   1
1065   9    41     |126 138 149| 2   2   1
1067   9    43     |144 146 149| 3   2   1
1068   9    44     |148 146 144| 2   2   1
1069   9    45     |164 156 149| 1   1   3
1072   9    48     |195 194 195| 1   1   3
1076   9    52     |121 131 139| 2   1   3
1077   9    53     |127 138 144| 2   3   1
1078   9    54     |133 144 149| 2   2   2
1079   9    55     |126 135 140| 2   2   2
1080   9    56     |119 129 134| 1   2   2
1081   9    57     |108 117 118| 1   2   1
1086   9    62     |139 130 118| 1   1   3
1091   9    67     |145 131 125| 1   1   3
1093   9    69     |150 133 120| 1   2   1
1094   9    70     |146 125 108| 1   2   2
1097   9    73     |119 81  58 | 3   1   1
1098   9    74     |123 79  60 | 1   1   2
1099   9    75     |122 73  56 | 1   2   2
1157   10   5      |148 147 158| 1   1   1
1165   10   13     |66  65  70 | 1   1   2
1166   10   14     |80  79  82 | 2   1   1
1168   10   16     |136 131 133| 1   1   1
1180   10   28     |146 151 153| 1   1   2
1190   10   38     |153 163 167| 1   1   2
1192   10   40     |125 138 146| 1   2   2
1193   10   41     |113 127 135| 1   4   1
1194   10   42     |138 146 151| 2   2   1
1195   10   43     |130 134 135| 1   2   3
1196   10   44     |140 137 135| 1   1   3
1197   10   45     |167 159 154| 1   1   3
1203   10   51     |124 134 142| 1   1   4
1204   10   52     |125 134 144| 1   1   3
1205   10   53     |131 142 150| 1   2   3
1206   10   54     |132 143 149| 3   2   1
1207   10   55     |129 137 143| 1   3   3
1208   10   56     |118 126 131| 2   1   3
1210   10   58     |95  98  91 | 1   1   2
1211   10   59     |111 110 98 | 1   1   2
1212   10   60     |130 124 110| 1   2   2
1213   10   61     |136 127 114| 1   1   3
1220   10   68     |152 127 117| 1   2   2
1221   10   69     |138 110 98 | 2   2   2
1222   10   70     |131 100 81 | 4   2   1
1226   10   74     |129 78  56 | 2   2   1
1227   10   75     |124 71  52 | 2   2   1
1270   10   118    |152 152 151| 1   1   1
1273   10   121    |63  64  66 | 1   1   1
1281   11   1      |149 148 154| 1   1   1
1285   11   5      |145 144 150| 1   1   1
1304   11   24     |172 181 186| 1   1   1
1306   11   26     |152 161 162| 3   1   1
1307   11   27     |201 203 206| 2   1   2
1320   11   40     |111 125 128| 1   2   2
1321   11   41     |109 125 127| 2   3   1
1322   11   42     |139 149 150| 1   2   3
1323   11   43     |145 151 150| 1   1   4
1332   11   52     |126 136 145| 1   2   3
1334   11   54     |126 136 144| 2   1   3
1335   11   55     |127 134 141| 1   3   2
1336   11   56     |116 119 125| 1   2   2
1337   11   57     |111 112 112| 1   1   3
1338   11   58     |102 101 93 | 2   1   2
1340   11   60     |128 120 106| 2   1   2
1342   11   62     |137 125 116| 1   1   3
1347   11   67     |146 120 107| 1   1   3
1348   11   68     |132 99  85 | 1   1   4
1349   11   69     |132 96  79 | 1   2   2
1350   11   70     |136 94  73 | 2   2   1
1352   11   72     |137 88  57 | 1   2   2
1353   11   73     |132 78  49 | 1   1   1
1354   11   74     |131 76  50 | 1   1   3
1355   11   75     |124 66  47 | 1   1   1
1409   12   1      |140 139 144| 1   1   1
1434   12   26     |169 173 174| 2   1   1
1435   12   27     |194 194 198| 1   1   2
1442   12   34     |110 119 126| 1   1   3
1459   12   51     |125 136 145| 1   1   3
1463   12   55     |125 132 135| 1   1   3
1464   12   56     |119 118 125| 2   2   1
1465   12   57     |135 131 131| 1   2   2
1466   12   58     |120 113 106| 3   1   2
1467   12   59     |104 99  85 | 1   2   2
1469   12   61     |139 132 122| 1   1   3
1477   12   69     |144 96  74 | 1   1   3
1478   12   70     |144 91  62 | 2   2   1
1480   12   72     |134 80  49 | 1   1   2
1481   12   73     |132 80  53 | 1   1   1
1482   12   74     |128 74  51 | 1   1   1
1526   12   118    |143 144 146| 1   1   1
1529   12   121    |47  52  54 | 1   1   1
1537   13   1      |153 154 158| 1   1   1
1556   13   20     |129 137 146| 1   1   1
1561   13   25     |169 175 173| 1   1   1
1564   13   28     |207 207 214| 1   1   2
1568   13   32     |167 174 177| 1   1   4
1569   13   33     |140 149 154| 1   2   3
1579   13   43     |166 167 162| 1   1   4
1591   13   55     |117 123 125| 1   2   2
1592   13   56     |117 117 117| 1   2   2
1593   13   57     |128 124 120| 3   2   1
1594   13   58     |115 108 99 | 3   1   2
1595   13   59     |116 109 95 | 2   2   1
1597   13   61     |143 135 123| 1   1   4
1598   13   62     |152 143 129| 1   1   3
1606   13   70     |140 83  52 | 1   1   3
1608   13   72     |135 81  51 | 1   1   2
1665   14   1      |99  100 104| 1   1   1
1691   14   27     |159 167 165| 2   1   1
1692   14   28     |174 179 176| 1   1   3
1693   14   29     |208 210 206| 1   1   3
1696   14   32     |157 162 164| 2   2   2
1697   14   33     |134 144 149| 1   3   2
1699   14   35     |136 142 148| 1   3   2
1706   14   42     |184 185 185| 1   1   4
1719   14   55     |119 124 122| 1   1   3
1720   14   56     |122 123 115| 2   3   1
1722   14   58     |110 105 91 | 3   2   1
1723   14   59     |128 118 106| 2   1   2
1724   14   60     |153 141 126| 2   1   2
1725   14   61     |161 144 128| 1   1   3
1734   14   70     |141 83  53 | 1   1   1
1735   14   71     |130 73  43 | 1   3   1
1793   15   1      |77  78  81 | 1   1   1
1819   15   27     |147 154 156| 1   1   2
1820   15   28     |152 159 156| 1   2   2
1821   15   29     |185 189 183| 2   1   2
1823   15   31     |185 186 180| 1   2   3
1824   15   32     |118 126 127| 3   2   1
1825   15   33     |120 131 137| 2   3   1
1826   15   34     |120 131 140| 2   2   1
1827   15   35     |130 138 144| 1   2   2
1839   15   47     |187 184 174| 1   1   3
1847   15   55     |108 110 108| 1   1   3
1848   15   56     |130 130 117| 1   3   1
1851   15   59     |150 137 128| 3   1   1
1852   15   60     |169 148 133| 3   2   1
1853   15   61     |156 131 111| 2   1   3
1863   15   71     |125 70  42 | 1   1   2
1921   16   1      |127 128 130| 1   1   1
1947   16   27     |141 144 153| 1   2   1
1952   16   32     |137 145 147| 1   3   2
1953   16   33     |120 130 138| 1   3   1
1954   16   34     |115 128 139| 2   2   1
1975   16   55     |131 129 129| 1   1   2
1976   16   56     |135 133 118| 2   2   1
1980   16   60     |156 127 113| 2   2   3
2046   16   126    |122 122 120| 1   1   1
2049   17   1      |150 151 153| 1   1   1
2063   17   15     |86  83  73 | 1   1   3
2065   17   17     |95  91  86 | 1   1   4
2067   17   19     |104 91  78 | 1   1   3
2074   17   26     |182 184 194| 1   1   1
2076   17   28     |179 181 188| 2   1   2
2078   17   30     |191 190 183| 1   1   4
2079   17   31     |210 213 208| 2   1   2
2080   17   32     |155 160 161| 2   1   2
2081   17   33     |132 144 150| 1   2   2
2082   17   34     |125 139 149| 2   3   1
2083   17   35     |132 143 152| 1   1   2
2086   17   38     |206 205 210| 1   1   3
2090   17   42     |200 197 196| 1   1   3
2104   17   56     |136 125 114| 3   1   1
2108   17   60     |138 102 83 | 3   2   1
2109   17   61     |150 106 81 | 2   1   3
2118   17   70     |129 72  45 | 1   2   1
2175   17   127    |142 142 141| 2   1   1
2176   17   128    |153 153 152| 2   1   1
2177   18   1      |162 164 166| 1   1   1
2189   18   13     |85  82  79 | 1   1   2
2193   18   17     |91  85  83 | 2   1   3
2198   18   22     |139 127 105| 1   1   2
2200   18   24     |166 159 146| 2   1   2
2207   18   31     |214 214 207| 2   1   3
2209   18   33     |181 186 186| 1   1   2
2211   18   35     |152 162 167| 1   2   3
2215   18   39     |127 132 137| 1   2   3
2216   18   40     |125 126 131| 1   1   3
2224   18   48     |214 212 207| 1   1   3
2231   18   55     |141 131 129| 2   2   2
2236   18   60     |150 109 80 | 3   2   1
2245   18   69     |134 80  52 | 1   2   1
2301   18   125    |84  83  81 | 1   1   2
2303   18   127    |136 132 130| 1   1   1
2304   18   128    |144 146 146| 1   1   1
2318   19   14     |78  77  72 | 1   1   3
2319   19   15     |69  70  62 | 2   1   1
2321   19   17     |82  76  84 | 2   1   2
2328   19   24     |151 136 110| 1   1   2
2334   19   30     |227 225 216| 1   1   2
2338   19   34     |227 230 229| 2   1   3
2342   19   38     |119 129 133| 1   2   4
2343   19   39     |126 134 139| 1   2   3
2344   19   40     |126 132 136| 2   1   4
2345   19   41     |170 174 177| 1   2   3
2346   19   42     |178 178 176| 1   1   4
2347   19   43     |173 171 166| 1   1   3
2353   19   49     |195 193 193| 1   1   3
2354   19   50     |165 168 170| 1   2   3
2359   19   55     |106 96  87 | 2   2   1
2364   19   60     |169 123 83 | 3   1   2
2365   19   61     |161 111 70 | 1   3   2
2372   19   68     |132 80  52 | 1   1   2
2373   19   69     |132 77  49 | 1   2   1
2429   19   125    |79  76  75 | 1   1   2
2446   20   14     |47  48  46 | 3   1   1
2448   20   16     |44  44  47 | 2   1   2
2449   20   17     |67  65  73 | 2   1   1
2455   20   23     |158 134 101| 1   1   3
2458   20   26     |122 109 84 | 1   1   2
2460   20   28     |137 128 115| 1   1   2
2461   20   29     |151 145 131| 1   2   2
2466   20   34     |227 224 218| 1   1   3
2467   20   35     |203 200 202| 1   1   3
2469   20   37     |141 147 155| 1   2   3
2471   20   39     |128 138 144| 2   1   3
2473   20   41     |155 160 166| 1   3   2
2474   20   42     |168 170 173| 2   1   3
2476   20   44     |167 168 165| 1   1   4
2480   20   48     |182 180 176| 1   2   2
2481   20   49     |210 206 208| 3   1   2
2482   20   50     |182 177 185| 2   1   3
2483   20   51     |135 131 137| 1   1   4
2486   20   54     |136 133 127| 1   1   3
2487   20   55     |118 104 98 | 2   2   1
2492   20   60     |163 115 79 | 4   2   1
2494   20   62     |156 106 72 | 1   1   3
2558   20   126    |80  80  78 | 1   1   2
2559   20   127    |78  77  75 | 1   1   1
2560   20   128    |83  82  83 | 1   1   1
2574   21   14     |37  40  42 | 2   1   1
