INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
673    6    33     |147 158 162| 1   1   1
674    6    34     |138 150 154| 1   1   1
675    6    35     |134 145 150| 1   1   1
676    6    36     |131 140 145| 1   1   1
678    6    38     |136 148 152| 1   1   1
679    6    39     |132 146 151| 1   1   1
682    6    42     |123 131 138| 1   1   1
692    6    52     |149 159 162| 1   1   1
693    6    53     |133 142 144| 1   1   1
695    6    55     |125 138 140| 1   1   1
708    6    68     |144 130 121| 1   1   1
713    6    73     |137 131 115| 1   1   1
714    6    74     |146 138 122| 1   1   1
801    7    33     |137 147 148| 1   1   1
802    7    34     |127 138 140| 1   1   1
803    7    35     |129 137 141| 1   1   1
806    7    38     |128 141 144| 1   1   1
807    7    39     |133 148 154| 1   1   1
809    7    41     |131 141 151| 1   1   1
810    7    42     |132 137 148| 1   1   1
811    7    43     |151 152 158| 1   1   2
819    7    51     |155 164 173| 2   1   1
820    7    52     |139 148 153| 2   1   1
821    7    53     |128 138 140| 2   1   1
822    7    54     |121 136 135| 1   1   1
823    7    55     |123 136 138| 1   1   1
836    7    68     |139 129 121| 1   1   1
837    7    69     |141 133 121| 1   1   1
838    7    70     |142 135 122| 1   1   1
839    7    71     |142 137 123| 2   1   1
840    7    72     |147 139 122| 1   1   1
886    7    118    |118 119 119| 1   1   1
934    8    38     |139 152 154| 1   1   2
935    8    39     |140 155 160| 1   2   1
936    8    40     |142 157 167| 2   2   1
937    8    41     |140 151 162| 2   2   1
938    8    42     |138 145 155| 2   2   2
939    8    43     |153 154 159| 1   1   2
947    8    51     |137 146 155| 1   1   3
948    8    52     |126 138 144| 2   2   2
949    8    53     |122 133 139| 2   2   2
950    8    54     |126 138 140| 2   2   2
951    8    55     |127 138 141| 1   2   2
952    8    56     |123 134 140| 1   1   2
963    8    67     |142 132 126| 1   1   3
964    8    68     |146 133 125| 1   1   1
965    8    69     |146 135 122| 2   2   1
968    8    72     |144 125 106| 2   1   1
969    8    73     |133 109 90 | 1   1   1
970    8    74     |115 86  68 | 1   2   1
1036   9    12     |54  51  64 | 1   1   1
1037   9    13     |80  79  86 | 1   1   1
1049   9    25     |104 114 122| 1   1   1
1065   9    41     |126 138 149| 1   2   2
1076   9    52     |121 131 139| 1   2   3
1077   9    53     |127 138 144| 2   2   2
1078   9    54     |133 144 149| 1   2   2
1079   9    55     |126 135 140| 1   1   3
1080   9    56     |119 129 134| 1   2   2
1092   9    68     |153 134 126| 2   2   2
1096   9    72     |128 95  73 | 2   1   1
1097   9    73     |119 81  58 | 2   2   1
1177   10   25     |114 123 129| 2   1   1
1178   10   26     |105 111 116| 1   1   2
1205   10   53     |131 142 150| 1   2   3
1206   10   54     |132 143 149| 1   2   2
1207   10   55     |129 137 143| 1   2   2
1208   10   56     |118 126 131| 1   1   3
1209   10   57     |100 104 105| 1   1   3
1211   10   59     |111 110 98 | 1   1   3
1220   10   68     |152 127 117| 1   2   2
1221   10   69     |138 110 98 | 2   2   1
1223   10   71     |134 94  71 | 2   2   1
1224   10   72     |136 93  67 | 2   2   1
1225   10   73     |136 90  63 | 2   2   1
1304   11   24     |172 181 186| 1   1   1
1305   11   25     |162 172 175| 2   1   1
1306   11   26     |152 161 162| 1   1   2
1335   11   55     |127 134 141| 2   2   2
1336   11   56     |116 119 125| 2   2   2
1337   11   57     |111 112 112| 2   1   2
1338   11   58     |102 101 93 | 1   1   3
1349   11   69     |132 96  79 | 2   2   1
1351   11   71     |140 95  66 | 2   2   1
1432   12   24     |173 179 178| 1   1   1
1433   12   25     |172 178 176| 1   1   1
1435   12   27     |194 194 198| 1   1   3
1463   12   55     |125 132 135| 2   2   2
1464   12   56     |119 118 125| 3   1   1
1466   12   58     |120 113 106| 2   1   2
1477   12   69     |144 96  74 | 1   2   2
1562   13   26     |170 174 176| 2   1   1
1563   13   27     |164 167 169| 1   1   3
1591   13   55     |117 123 125| 2   2   2
1593   13   57     |128 124 120| 3   1   1
1605   13   69     |147 90  63 | 1   1   2
1691   14   27     |159 167 165| 1   1   2
1692   14   28     |174 179 176| 1   1   3
1695   14   31     |202 203 200| 2   2   2
1696   14   32     |157 162 164| 1   3   1
1697   14   33     |134 144 149| 1   2   2
1719   14   55     |119 124 122| 2   2   2
1722   14   58     |110 105 91 | 3   1   1
1723   14   59     |128 118 106| 2   1   2
1818   15   26     |133 142 148| 1   1   1
1822   15   30     |211 210 201| 1   1   3
1823   15   31     |185 186 180| 1   2   2
1824   15   32     |118 126 127| 1   3   1
1825   15   33     |120 131 137| 1   3   1
1847   15   55     |108 110 108| 2   2   1
1851   15   59     |150 137 128| 2   1   2
1950   16   30     |213 212 204| 1   1   3
1951   16   31     |200 201 197| 1   1   3
1952   16   32     |137 145 147| 1   2   2
1953   16   33     |120 130 138| 1   2   2
1980   16   60     |156 127 113| 1   1   3
2045   16   125    |85  85  80 | 2   1   1
2076   17   28     |179 181 188| 1   1   3
2102   17   54     |158 156 160| 1   2   2
2108   17   60     |138 102 83 | 1   2   3
2116   17   68     |135 80  53 | 1   2   1
2172   17   124    |79  84  80 | 2   1   1
2173   17   125    |81  83  78 | 1   1   1
2230   18   54     |153 149 151| 1   3   1
2236   18   60     |150 109 80 | 1   2   2
2243   18   67     |136 84  62 | 1   1   2
2300   18   124    |72  74  75 | 2   1   1
2301   18   125    |84  83  81 | 2   1   1
2330   19   26     |145 137 120| 1   1   1
2331   19   27     |163 157 144| 1   1   2
2345   19   41     |170 174 177| 1   2   3
2352   19   48     |190 187 181| 1   1   3
2353   19   49     |195 193 193| 1   1   3
2358   19   54     |119 116 108| 2   2   1
2371   19   67     |133 82  58 | 1   2   1
2429   19   125    |79  76  75 | 2   1   2
2445   20   13     |67  65  66 | 1   1   1
2446   20   14     |47  48  46 | 2   1   1
2447   20   15     |36  38  32 | 1   1   2
2448   20   16     |44  44  47 | 1   1   3
2457   20   25     |150 132 102| 1   1   1
2459   20   27     |126 115 100| 1   1   1
2460   20   28     |137 128 115| 1   2   1
2479   20   47     |153 155 149| 1   1   3
2480   20   48     |182 180 176| 2   1   3
2481   20   49     |210 206 208| 2   1   3
2482   20   50     |182 177 185| 1   1   3
2485   20   53     |134 137 134| 2   2   2
2557   20   125    |73  74  75 | 2   1   2
2573   21   13     |28  30  34 | 1   1   1
2574   21   14     |37  40  42 | 1   1   1
2575   21   15     |75  81  80 | 2   1   1
2576   21   16     |105 106 113| 1   1   2
2587   21   27     |117 102 87 | 1   1   1
2588   21   28     |119 105 90 | 1   1   1
2589   21   29     |119 110 92 | 1   2   1
2590   21   30     |127 121 106| 1   2   2
2591   21   31     |154 146 132| 1   2   1
2611   21   51     |147 138 146| 1   1   3
2613   21   53     |172 168 164| 3   2   1
2620   21   60     |167 115 86 | 1   2   2
2685   21   125    |60  64  69 | 3   1   1
2686   21   126    |77  79  79 | 1   1   2
2687   21   127    |76  78  75 | 1   1   1
2688   21   128    |81  83  82 | 1   1   1
2702   22   14     |123 127 135| 1   1   2
2721   22   33     |184 170 155| 1   2   1
2728   22   40     |130 134 141| 1   3   2
2729   22   41     |144 147 158| 1   3   2
2730   22   42     |171 177 183| 1   2   2
2736   22   48     |186 192 185| 1   1   3
2748   22   60     |169 116 87 | 1   3   1
2753   22   65     |142 89  59 | 1   2   2
2814   22   126    |74  75  77 | 1   1   1
2815   22   127    |74  77  75 | 1   1   1
2816   22   128    |77  81  76 | 1   1   1
2832   23   16     |158 160 170| 1   1   1
2852   23   36     |195 188 180| 2   2   2
2853   23   37     |167 165 162| 1   1   3
2854   23   38     |158 156 155| 2   1   3
2855   23   39     |165 164 167| 2   2   2
2856   23   40     |149 151 158| 1   3   2
2858   23   42     |144 151 160| 2   3   1
2867   23   51     |149 151 151| 1   1   3
2868   23   52     |183 170 168| 2   1   2
2876   23   60     |172 122 91 | 2   2   2
2881   23   65     |141 90  59 | 1   1   1
2942   23   126    |68  69  72 | 1   1   1
2943   23   127    |78  80  78 | 1   1   1
2944   23   128    |78  82  75 | 1   1   1
2959   24   15     |150 150 156| 1   1   1
2960   24   16     |152 154 162| 1   1   1
2965   24   21     |139 106 71 | 1   1   1
2987   24   43     |145 153 155| 2   4   1
2988   24   44     |158 162 159| 1   2   3
2995   24   51     |133 137 134| 1   1   3
2996   24   52     |164 156 154| 1   1   3
2997   24   53     |147 130 122| 3   2   1
3004   24   60     |165 115 89 | 2   2   1
3005   24   61     |159 107 88 | 1   1   3
3008   24   64     |146 96  69 | 1   1   2
3071   24   127    |74  77  81 | 1   1   1
3072   24   128    |69  80  66 | 1   1   1
3117   25   45     |197 194 189| 2   2   2
3125   25   53     |158 150 138| 2   2   2
3126   25   54     |106 79  65 | 2   2   1
3132   25   60     |161 117 93 | 2   2   1
3133   25   61     |161 114 93 | 2   1   2
3134   25   62     |151 102 82 | 1   1   3
3135   25   63     |147 97  73 | 2   2   2
3136   25   64     |151 101 74 | 2   1   1
3224   26   24     |158 135 95 | 1   1   1
3225   26   25     |161 142 100| 1   1   1
3226   26   26     |130 109 79 | 1   1   1
3227   26   27     |112 88  72 | 1   1   1
3246   26   46     |223 211 203| 3   2   1
3247   26   47     |229 213 208| 1   2   3
3253   26   53     |143 132 120| 1   1   3
3254   26   54     |115 85  67 | 2   2   2
3255   26   55     |171 131 106| 2   2   1
3260   26   60     |163 120 94 | 2   2   1
3261   26   61     |159 113 89 | 2   1   2
3262   26   62     |151 103 81 | 2   1   2
3263   26   63     |147 101 76 | 3   1   1
3349   27   21     |128 97  68 | 1   1   1
3350   27   22     |152 123 88 | 1   1   1
3375   27   47     |223 208 204| 3   2   1
3382   27   54     |122 85  66 | 1   2   3
3383   27   55     |173 131 104| 3   2   1
3387   27   59     |168 124 95 | 2   3   1
3388   27   60     |165 120 92 | 1   3   2
3389   27   61     |159 111 83 | 2   2   2
3390   27   62     |152 105 77 | 3   1   1
3468   28   12     |79  78  86 | 1   1   1
3469   28   13     |82  84  89 | 1   1   1
3470   28   14     |93  96  99 | 1   1   1
3471   28   15     |71  78  71 | 1   1   1
3504   28   48     |146 138 138| 3   1   1
3505   28   49     |129 128 130| 1   1   3
3511   28   55     |175 131 101| 2   2   2
3515   28   59     |173 126 99 | 2   3   1
3516   28   60     |168 122 94 | 1   3   1
3517   28   61     |157 110 81 | 2   2   2
3518   28   62     |151 106 78 | 3   1   1
3600   29   16     |73  79  76 | 1   1   1
3634   29   50     |127 133 140| 2   1   2
3635   29   51     |120 127 127| 1   1   3
3639   29   55     |178 135 99 | 2   2   2
3644   29   60     |169 123 98 | 1   3   1
3645   29   61     |152 110 88 | 1   3   1
3727   30   15     |29  33  27 | 1   1   1
3763   30   51     |122 131 128| 2   1   2
3764   30   52     |76  75  62 | 1   1   3
3767   30   55     |168 125 93 | 2   2   1
3773   30   61     |145 104 80 | 2   2   1
3853   31   13     |53  56  54 | 1   1   1
3854   31   14     |23  29  29 | 1   1   1
3892   31   52     |55  59  51 | 2   2   1
3893   31   53     |44  31  21 | 2   2   2
3894   31   54     |108 72  51 | 1   3   1
3981   32   13     |9   14  17 | 1   1   1
3996   32   28     |120 99  72 | 2   1   2
4111   33   15     |159 168 176| 1   1   1
4124   33   28     |155 134 104| 1   1   1
4157   33   61     |140 101 74 | 2   1   1
4240   34   16     |161 164 172| 2   1   1
4249   34   25     |161 133 99 | 1   1   1
4252   34   28     |168 145 115| 2   1   1
4284   34   60     |142 104 80 | 3   1   1
4368   35   16     |157 158 166| 2   1   1
4380   35   28     |160 134 104| 1   1   1
4413   35   61     |138 100 74 | 2   2   1
4496   36   16     |98  101 106| 2   1   1
4508   36   28     |139 112 82 | 1   1   1
4542   36   62     |128 87  64 | 1   1   1
4625   37   17     |96  100 110| 1   1   3
4636   37   28     |118 93  63 | 1   1   1
4751   38   15     |93  95  98 | 1   1   1
4752   38   16     |93  94  101| 2   1   1
4753   38   17     |92  92  102| 1   1   2
4764   38   28     |110 86  58 | 2   1   2
4879   39   15     |89  94  97 | 1   1   1
4880   39   16     |91  96  100| 1   1   1
4892   39   28     |120 96  70 | 2   1   2
5008   40   16     |91  100 99 | 1   1   1
5009   40   17     |93  97  101| 1   1   2
5010   40   18     |89  94  96 | 1   1   3
5020   40   28     |134 110 85 | 2   1   2
5137   41   17     |90  95  95 | 1   1   2
5138   41   18     |89  95  96 | 1   1   2
5148   41   28     |126 103 79 | 2   1   2
5266   42   18     |96  102 100| 2   1   1
5267   42   19     |130 107 86 | 2   1   1
5276   42   28     |130 107 82 | 2   1   1
5393   43   17     |92  100 99 | 1   1   1
5395   43   19     |131 106 86 | 2   1   1
5397   43   21     |130 106 85 | 2   1   1
5404   43   28     |132 106 82 | 1   1   1
5524   44   20     |137 114 92 | 1   1   1
5525   44   21     |134 109 86 | 2   1   1
5526   44   22     |126 99  76 | 1   1   1
5527   44   23     |123 96  75 | 1   1   2
5532   44   28     |132 106 83 | 1   1   1
5650   45   18     |95  97  102| 1   1   1
5652   45   20     |135 110 86 | 1   1   1
5654   45   22     |129 105 79 | 1   1   1
5660   45   28     |132 101 79 | 1   1   1
5781   46   21     |132 107 81 | 1   1   1
5782   46   22     |132 109 84 | 1   1   1
6168   49   24     |131 104 87 | 1   1   1
6171   49   27     |130 107 81 | 1   1   1
6172   49   28     |134 111 87 | 1   1   1
6293   50   21     |131 103 82 | 1   1   1
6299   50   27     |133 111 85 | 1   1   1
6300   50   28     |137 114 91 | 1   1   1
6422   51   22     |129 103 81 | 1   1   1
6428   51   28     |133 110 87 | 1   1   1
6551   52   23     |130 105 82 | 1   1   1
6552   52   24     |134 108 85 | 1   1   1
6553   52   25     |143 117 93 | 1   1   1
6556   52   28     |131 107 86 | 1   1   1
6666   53   10     |166 173 182| 1   1   1
6667   53   11     |164 166 176| 1   1   1
6668   53   12     |163 164 179| 1   1   3
6681   53   25     |140 114 87 | 1   1   1
6684   53   28     |128 102 82 | 1   1   1
6797   54   13     |161 167 179| 2   1   2
6926   55   14     |172 176 186| 2   1   2
7183   57   15     |170 173 184| 3   1   1
7312   58   16     |180 181 196| 2   1   2
7441   59   17     |179 181 189| 2   1   2
7569   60   17     |183 183 193| 3   1   1
7570   60   18     |185 180 193| 1   1   3
7698   61   18     |184 184 199| 3   1   2
8600   68   24     |162 135 102| 2   1   2
8729   69   25     |161 132 96 | 2   2   2
8858   70   26     |169 139 103| 2   1   3
8861   70   29     |169 136 107| 3   1   1
8987   71   27     |168 137 105| 2   1   2
9116   72   28     |171 142 109| 3   1   1
