INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
84     2    20     |138 148 153| 167 91  37
85     2    21     |132 146 149| 185 84  19
89     2    25     |153 156 161| 255 130 25
90     2    26     |123 131 138| 255 149 48
93     2    29     |142 149 153| 231 107 41
94     2    30     |193 194 194| 255 123 44
98     2    34     |136 140 146| 120 65  16
99     2    35     |137 141 148| 182 98  33
100    2    36     |146 155 157| 147 75  37
101    2    37     |139 144 149| 132 77  29
102    2    38     |182 177 175| 169 87  39
103    2    39     |176 172 163| 164 84  30
104    2    40     |121 121 128| 255 163 37
106    2    42     |143 139 124| 193 97  35
107    2    43     |152 142 132| 181 89  8
108    2    44     |149 140 130| 166 90  16
110    2    46     |139 129 118| 183 96  14
111    2    47     |131 120 112| 182 87  17
112    2    48     |134 123 112| 177 81  18
113    2    49     |137 129 113| 150 68  16
114    2    50     |139 126 113| 137 63  12
115    2    51     |123 110 93 | 146 64  2
116    2    52     |97  83  63 | 132 68  14
118    2    54     |89  59  33 | 140 81  3
121    2    57     |90  69  44 | 154 70  6
125    2    61     |71  62  53 | 120 50  9
126    2    62     |91  83  85 | 108 56  7
127    2    63     |87  85  85 | 108 57  16
128    2    64     |85  88  86 | 108 57  16
137    3    9      |115 120 113| 243 109 11
138    3    10     |81  83  76 | 224 80  24
141    3    13     |65  67  68 | 66  40  13
142    3    14     |54  56  56 | 88  52  12
143    3    15     |78  77  69 | 76  55  15
144    3    16     |114 110 104| 59  38  4
145    3    17     |167 164 169| 165 81  23
149    3    21     |132 143 147| 110 62  27
155    3    27     |137 147 152| 33  25  21
159    3    31     |161 163 164| 177 92  30
165    3    37     |124 134 139| 123 74  25
166    3    38     |148 148 148| 81  43  26
167    3    39     |111 111 107| 199 89  24
168    3    40     |129 130 130| 182 88  11
169    3    41     |141 138 124| 22  8   27
173    3    45     |134 132 120| 126 53  11
177    3    49     |97  79  58 | 116 54  9
200    4    8      |111 116 116| 52  30  5
202    4    10     |72  76  75 | 81  54  15
213    4    21     |147 155 159| 169 85  24
214    4    22     |117 128 137| 93  56  25
216    4    24     |146 157 162| 117 58  20
217    4    25     |137 144 151| 122 77  30
218    4    26     |130 138 140| 108 65  29
220    4    28     |137 147 153| 102 58  23
221    4    29     |142 156 165| 105 61  22
222    4    30     |134 142 154| 85  58  26
223    4    31     |167 166 167| 44  34  23
224    4    32     |177 170 166| 114 60  22
225    4    33     |165 161 166| 134 63  15
228    4    36     |122 135 136| 123 63  29
229    4    37     |126 138 142| 105 66  21
230    4    38     |106 116 119| 72  43  26
231    4    39     |108 110 101| 156 74  24
232    4    40     |144 138 126| 24  17  3
236    4    44     |145 136 123| 124 45  11
237    4    45     |148 137 122| 104 51  13
238    4    46     |135 115 98 | 87  55  16
239    4    47     |103 71  57 | 118 67  11
240    4    48     |92  56  36 | 151 74  16
265    5    9      |42  47  50 | 123 65  28
266    5    10     |39  40  46 | 17  22  2
271    5    15     |81  78  93 | 131 59  29
272    5    16     |65  63  70 | 29  11  7
273    5    17     |135 133 132| 21  7   8
274    5    18     |153 154 165| 193 96  28
278    5    22     |100 110 116| 113 62  27
284    5    28     |150 158 162| 106 49  23
287    5    31     |138 139 139| 78  40  33
288    5    32     |175 164 157| 150 73  23
289    5    33     |209 202 201| 143 65  12
290    5    34     |158 164 170| 136 59  24
292    5    36     |132 143 150| 111 65  29
293    5    37     |126 135 140| 69  49  17
294    5    38     |95  101 99 | 106 61  29
295    5    39     |117 114 101| 51  36  27
301    5    45     |133 96  72 | 112 64  11
302    5    46     |125 80  56 | 127 72  12
319    5    63     |95  87  82 | 73  48  7
320    5    64     |132 122 114| 73  48  7
333    6    13     |143 147 151| 143 59  35
334    6    14     |151 152 156| 156 81  35
338    6    18     |162 159 168| 133 70  13
339    6    19     |133 141 150| 131 60  37
342    6    22     |166 173 173| 5   6   14
344    6    24     |121 128 130| 71  38  11
