INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
3379   53   51     |34  37  47 | 15  2   3
3380   53   52     |33  38  44 | 12  3   7
3381   53   53     |31  34  48 | 16  10  5
3382   53   54     |30  32  45 | 15  2   4
3442   54   50     |31  34  43 | 16  6   9
3443   54   51     |34  37  45 | 17  4   4
3444   54   52     |33  37  48 | 25  5   2
3445   54   53     |34  38  48 | 17  3   9
3447   54   55     |25  34  41 | 18  6   5
3448   54   56     |25  31  38 | 12  2   5
3506   55   50     |36  38  47 | 16  2   4
3507   55   51     |34  37  48 | 18  7   4
3508   55   52     |31  35  47 | 21  7   3
3509   55   53     |31  35  39 | 24  6   2
3510   55   54     |30  34  40 | 25  11  3
3511   55   55     |30  38  44 | 14  7   7
3512   55   56     |30  36  44 | 16  2   6
3513   55   57     |32  34  43 | 15  2   2
3514   55   58     |33  36  46 | 14  4   6
3515   55   59     |26  29  41 | 17  2   4
3542   56   22     |172 152 123| 4   6   11
3543   56   23     |171 152 118| 7   2   15
3544   56   24     |173 151 125| 14  2   5
3571   56   51     |38  39  53 | 22  5   8
3572   56   52     |38  37  46 | 28  5   5
3573   56   53     |33  36  45 | 30  5   5
3574   56   54     |34  37  42 | 22  2   5
3575   56   55     |35  38  42 | 26  10  1
3576   56   56     |34  37  41 | 15  8   6
3577   56   57     |31  35  40 | 19  2   5
3578   56   58     |31  34  40 | 15  4   6
3579   56   59     |33  34  48 | 15  2   3
3580   56   60     |32  35  46 | 17  1   2
3581   56   61     |25  34  42 | 16  6   3
3582   56   62     |34  35  45 | 5   5   3
3583   56   63     |34  35  40 | 30  9   6
3584   56   64     |32  33  36 | 30  9   6
3605   57   21     |139 119 85 | 10  7   4
3606   57   22     |142 120 87 | 12  9   8
3607   57   23     |153 129 95 | 8   10  21
3608   57   24     |153 127 100| 12  9   11
3609   57   25     |142 118 80 | 19  6   2
3639   57   55     |28  34  38 | 22  6   5
3640   57   56     |27  36  39 | 16  10  1
3641   57   57     |26  39  41 | 19  1   6
3642   57   58     |34  37  41 | 17  12  4
3643   57   59     |39  35  48 | 19  1   6
3644   57   60     |36  38  48 | 17  7   4
3645   57   61     |32  36  46 | 10  5   4
3646   57   62     |38  34  47 | 15  5   5
3647   57   63     |36  35  44 | 34  10  2
3648   57   64     |33  39  45 | 34  10  2
3669   58   21     |136 115 86 | 8   2   6
3670   58   22     |139 113 88 | 16  8   9
3671   58   23     |147 120 93 | 8   14  19
3672   58   24     |179 151 123| 9   9   20
3673   58   25     |167 141 104| 18  5   7
3699   58   51     |41  44  56 | 17  1   2
3700   58   52     |35  45  49 | 16  8   4
3701   58   53     |38  41  54 | 21  7   4
3703   58   55     |34  38  44 | 20  7   5
3704   58   56     |30  38  44 | 23  7   3
3706   58   58     |37  40  47 | 16  2   6
3707   58   59     |40  37  52 | 19  3   7
3709   58   61     |38  39  48 | 19  6   5
3710   58   62     |41  35  47 | 12  5   4
3711   58   63     |38  40  47 | 28  11  8
3712   58   64     |34  41  47 | 28  11  8
3715   59   3      |38  39  44 | 4   2   3
