INDEX  ROW  COLUMN |iR  iG  iB | oR  oG  oB
1      1    1      |0   0   0  | 255 255 214
2      1    2      |0   0   0  | 255 255 78
3      1    3      |0   0   0  | 158 178 198
4      1    4      |0   0   0  | 255 255 255
5      1    5      |0   0   0  | 255 255 255
6      1    6      |0   0   0  | 255 255 255
7      1    7      |0   0   0  | 126 146 166
8      1    8      |0   0   0  | 246 255 255
9      1    9      |0   0   0  | 255 255 255
10     1    10     |0   0   0  | 230 250 255
11     1    11     |0   0   0  | 94  114 134
12     1    12     |0   0   0  | 214 234 254
13     1    13     |0   0   0  | 255 255 255
14     1    14     |0   0   0  | 198 218 238
15     1    15     |0   0   0  | 62  82  102
16     1    16     |0   0   0  | 182 202 222
17     1    17     |0   0   0  | 255 255 255
18     1    18     |0   0   0  | 255 255 206
19     1    19     |0   0   0  | 255 255 70
20     1    20     |0   0   0  | 150 170 190
21     1    21     |0   0   0  | 255 255 255
22     1    22     |0   0   0  | 255 255 255
23     1    23     |0   0   0  | 254 255 255
24     1    24     |0   0   0  | 118 138 158
25     1    25     |0   0   0  | 238 255 255
26     1    26     |0   0   0  | 255 255 255
27     1    27     |0   0   0  | 222 242 255
28     1    28     |0   0   0  | 86  106 126
29     1    29     |0   0   0  | 206 226 246
30     1    30     |0   0   0  | 255 255 255
31     1    31     |0   0   0  | 255 210 230
32     1    32     |0   0   0  | 255 74  94
33     1    33     |0   0   0  | 174 194 214
34     1    34     |0   0   0  | 255 255 255
35     1    35     |0   0   0  | 255 255 198
36     1    36     |0   0   0  | 255 255 62
37     1    37     |0   0   0  | 142 162 182
38     1    38     |0   0   0  | 255 255 255
39     1    39     |0   0   0  | 255 255 255
40     1    40     |0   0   0  | 246 255 255
41     1    41     |0   0   0  | 110 130 150
42     1    42     |0   0   0  | 230 250 255
43     1    43     |0   0   0  | 255 255 255
44     1    44     |0   0   0  | 214 234 254
45     1    45     |0   0   0  | 78  98  118
46     1    46     |0   0   0  | 198 218 238
47     1    47     |0   0   0  | 255 255 255
48     1    48     |0   0   0  | 255 202 222
49     1    49     |0   0   0  | 255 66  86
50     1    50     |0   0   0  | 166 186 206
51     1    51     |0   0   0  | 255 255 255
52     1    52     |0   0   0  | 255 255 255
53     1    53     |0   0   0  | 255 255 255
54     1    54     |0   0   0  | 134 154 174
55     1    55     |0   0   0  | 254 255 255
56     1    56     |0   0   0  | 255 255 255
57     1    57     |0   0   0  | 238 255 255
58     1    58     |0   0   0  | 102 122 142
59     1    59     |0   0   0  | 222 242 255
60     1    60     |0   0   0  | 255 255 255
61     1    61     |0   0   0  | 206 226 246
62     1    62     |0   0   0  | 10  30  50
63     1    63     |0   0   0  | 10  30  50
64     1    64     |0   0   0  | 10  30  50
65     2    1      |0   0   0  | 255 255 255
67     2    3      |0   0   0  | 22  42  62
68     2    4      |0   0   0  | 142 162 255
69     2    5      |0   0   0  | 255 255 255
70     2    6      |0   0   0  | 255 255 255
72     2    8      |0   0   0  | 110 130 150
73     2    9      |0   0   0  | 255 255 255
74     2    10     |0   0   0  | 255 255 255
76     2    12     |0   0   0  | 78  98  118
77     2    13     |0   0   0  | 255 255 255
78     2    14     |0   0   0  | 255 255 255
80     2    16     |0   0   0  | 46  66  86
81     2    17     |0   0   0  | 255 255 255
82     2    18     |0   0   0  | 255 255 255
84     2    20     |0   0   0  | 14  34  54
85     2    21     |0   0   0  | 134 154 255
86     2    22     |0   0   0  | 255 255 255
87     2    23     |0   0   0  | 255 255 255
89     2    25     |0   0   0  | 102 122 142
90     2    26     |0   0   0  | 255 255 255
91     2    27     |0   0   0  | 255 255 255
93     2    29     |0   0   0  | 70  90  110
94     2    30     |0   0   0  | 255 255 255
95     2    31     |0   0   0  | 255 255 255
97     2    33     |0   0   0  | 38  58  78
98     2    34     |0   0   0  | 158 255 255
99     2    35     |0   0   0  | 255 255 255
101    2    37     |0   0   0  | 6   26  46
102    2    38     |0   0   0  | 126 146 255
103    2    39     |0   0   0  | 255 255 255
104    2    40     |0   0   0  | 255 255 255
106    2    42     |0   0   0  | 94  114 134
107    2    43     |0   0   0  | 255 255 255
108    2    44     |0   0   0  | 255 255 255
110    2    46     |0   0   0  | 62  82  102
111    2    47     |0   0   0  | 255 255 255
112    2    48     |0   0   0  | 255 255 255
114    2    50     |0   0   0  | 30  50  70
115    2    51     |0   0   0  | 150 255 255
116    2    52     |0   0   0  | 255 255 255
117    2    53     |0   0   0  | 255 255 255
119    2    55     |0   0   0  | 118 138 158
120    2    56     |0   0   0  | 255 255 255
121    2    57     |0   0   0  | 255 255 255
123    2    59     |0   0   0  | 86  106 126
124    2    60     |0   0   0  | 255 255 255
125    2    61     |0   0   0  | 255 255 255
128    2    64     |0   0   0  | 10  30  50
129    3    1      |0   0   0  | 255 255 255
133    3    5      |0   0   0  | 224 224 255
134    3    6      |0   0   0  | 224 224 224
137    3    9      |0   0   0  | 224 224 224
138    3    10     |0   0   0  | 224 224 224
141    3    13     |0   0   0  | 224 224 224
142    3    14     |0   0   0  | 224 224 224
145    3    17     |0   0   0  | 224 224 224
146    3    18     |0   0   0  | 255 255 224
150    3    22     |0   0   0  | 224 224 255
151    3    23     |0   0   0  | 224 224 224
154    3    26     |0   0   0  | 224 224 224
155    3    27     |0   0   0  | 224 224 224
158    3    30     |0   0   0  | 224 224 224
159    3    31     |0   0   0  | 255 224 224
163    3    35     |0   0   0  | 224 255 224
167    3    39     |0   0   0  | 224 224 255
168    3    40     |0   0   0  | 224 224 224
171    3    43     |0   0   0  | 224 224 224
172    3    44     |0   0   0  | 224 224 224
175    3    47     |0   0   0  | 224 224 224
176    3    48     |0   0   0  | 255 224 224
180    3    52     |0   0   0  | 224 255 255
181    3    53     |0   0   0  | 224 224 224
184    3    56     |0   0   0  | 224 224 224
185    3    57     |0   0   0  | 224 224 224
188    3    60     |0   0   0  | 224 224 224
189    3    61     |0   0   0  | 224 224 224
193    4    1      |0   0   0  | 255 255 255
197    4    5      |0   0   0  | 224 224 255
198    4    6      |0   0   0  | 224 224 224
201    4    9      |0   0   0  | 224 224 224
202    4    10     |0   0   0  | 224 224 224
205    4    13     |0   0   0  | 224 224 224
206    4    14     |0   0   0  | 224 224 224
209    4    17     |0   0   0  | 224 224 224
210    4    18     |0   0   0  | 255 255 224
214    4    22     |0   0   0  | 224 224 255
215    4    23     |0   0   0  | 224 224 224
218    4    26     |0   0   0  | 224 224 224
219    4    27     |0   0   0  | 224 224 224
222    4    30     |0   0   0  | 224 224 224
223    4    31     |0   0   0  | 255 224 224
227    4    35     |0   0   0  | 224 255 224
231    4    39     |0   0   0  | 224 224 255
232    4    40     |0   0   0  | 224 224 224
235    4    43     |0   0   0  | 224 224 224
236    4    44     |0   0   0  | 224 224 224
239    4    47     |0   0   0  | 224 224 224
240    4    48     |0   0   0  | 255 224 224
244    4    52     |0   0   0  | 224 255 255
245    4    53     |0   0   0  | 224 224 224
248    4    56     |0   0   0  | 224 224 224
249    4    57     |0   0   0  | 224 224 224
252    4    60     |0   0   0  | 224 224 224
253    4    61     |0   0   0  | 224 224 224
257    5    1      |0   0   0  | 255 255 255
261    5    5      |0   0   0  | 224 224 255
262    5    6      |0   0   0  | 224 224 224
265    5    9      |0   0   0  | 224 224 224
266    5    10     |0   0   0  | 224 224 224
269    5    13     |0   0   0  | 224 224 224
270    5    14     |0   0   0  | 224 224 224
273    5    17     |0   0   0  | 224 224 224
274    5    18     |0   0   0  | 255 255 224
278    5    22     |0   0   0  | 224 224 255
279    5    23     |0   0   0  | 224 224 224
282    5    26     |0   0   0  | 224 224 224
283    5    27     |0   0   0  | 224 224 224
286    5    30     |0   0   0  | 224 224 224
